@relation 'cellcycle0.names'
@attribute cln3-2                                  numeric
@attribute alpha7                                  numeric
@attribute alpha98                                 numeric
@attribute alpha105                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_90                                numeric
@attribute cdc15_120                               numeric
@attribute cdc15_150                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_230                               numeric
@attribute cdc28_60                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_120                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_160                               numeric
@attribute elu30                                   numeric
@attribute elu90                                   numeric
@attribute elu120                                  numeric
@attribute elu150                                  numeric
@attribute elu210                                  numeric
@attribute elu300                                  numeric
@attribute elu360                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
3.84,-0.22,0.27,0.69,-0.530286,-0.664324,-0.83,0.59,-0.52,0.22,0.79,0.78,-0.11,0.05,-0.16,-0.05,-0.27,0.14,-0.17,0,-0.06,0.06,-0.04,-0.22,-1.37,0.24,01.05.02.07
-0.12,-0.51,-0.08,0.39,-0.166667,-0.0944737,-0.22,0.07,-0.18,0.07,0.12,0.46,-0.32,0.52,-0.19,0.06,0.16,0.36,0.06,0.07,0.09,-0.21,0.07,-0.25,0.06,0.32,32.07
-0.218,-0.41,-0.0452788,0.69,-0.32,-0.6,-0.27,0,-0.21,0.15,-0.33,0.07,1.05,0,0.27,0.34,0.11,0.49,-0.47,-0.01,-0.3,-0.32,0.36,0.04,0.01,0.34,16.01
-0.86,-0.35,0.16,0.16,0.29,0.31,0.31,-0.5,0.02,0.29,-0.73,-0.38,0.04,0.25,-0.02,0.3,-0.21,0.27,-0.27,0.16,0,0.05,0.44,-0.44,0.02,0.2,11.02.03.04
-0.4,-0.28,0.04,0.32,-0.0647126,0.54,-0.25,0.11,-0.34,-0.19,0.29,0.69,0.21,0.3,-0.97,0.6,0.1,0.03,-0.27,0.1,0.2,-0.02,-0.27,-0.3,-0.16,0.27,42.01
-0.06,-0.77,0.02,-0.11,0.03,0.26,-0.007,0.125333,0.27,0.0313333,0.104667,0.0255172,-0.18,0.27,-0.29,0.14,0.0217391,0.12,-0.25,-0.04,0.46,0.74,-0.04,-0.04,-0.14,0.12,20.09.04
-0.06,-0.75,0.04,-0.16,0.5,0.48,-0.28,-0.135286,-0.25,-0.126479,0.01,-0.136825,-0.26,0.15,0.45,-0.26,-0.08,0.3,-0.43,-0.03,0.23,0.53,-0.14,0.18,-0.58,-0.25,16.03.01
-0.58,0.65,0.05,0.05,-1.25,-0.98,-0.61,0.68,0.11,0.66,0.97,0.35,0.48,-1.31,0.37,0.85,0.64,1.29,-0.1,-0.41,-0.97,-0.77,0.23,-0.02,0.38,0.3,01.06
-0.76,0.12,-0.03,0.38,0.05,0.04,-0.69,0.32,0.09,0.04,0.64,0.19,0.3,0.64,-0.82,0.19,-0.31,-0.0610112,0,0.23,0.37,-0.16,0,-0.02,-0.05,-0.05,10.03.01
-0.79,-0.61,0.22,-0.44,-0.46,-0.55,-0.35,0.51,-0.11,0.34,0.72,0.32,0.2,-0.18,0.28,0.07,0.36,0.18,0.25,-0.03,-0.58,-0.38,0.34,-0.4,-0.24,0.35,34.01.01.01
-0.49,0.48,-0.13,0.27,-0.25,-0.15,-0.02,-0.09,-0.23,0.27,0.01,0.45,0.24,0.03,0.35,0.03,-0.26,-0.04,-0.42,0.36,0.34,0.55,0.27,0.27,-0.44,-0.33,11
0.14,0.54,-0.03,-0.05,0.31,0.45,0.1,-0.46,0.1,-0.51,-0.33,-0.11,0.39,0.01,0.45,0.08,-0.098,0.42,-0.22,0.47,0.24,0.06,-0.02,-0.18,0.16,0.14,01.03.01.03
-0.06,0.2,-0.6,-0.28,-0.33,1.86,-1.28,-0.42,1.51,0.45,-0.15,-0.73,-0.1,-0.39,0.38,0.89,-0.86,-0.58,-0.37,0.23,0.58,0.55,0.3,-0.03,-0.53,0.13,01.04
-0.09,0.3,-0.59,0.54,-1.03,-0.33,-1,0.29,-0.06,0.34,0.44,0.19,0.92,-0.16,0.01,0.13,-0.61,0.66,0.03,0.16,0.29,0.43,0.01,0.19,-0.57,-0.02,34.11.03.07
-0.25,0.11,-0.18,0.4,-0.71,-0.71,-0.18,-0.07,-0.12,0.12,0.3,0.05,0.43,-0.02,0.07,0.21,0.21,0.24,0.21,-0.41,-0.31,-0.33,-0.31,0.29,0,0.08,42.04
-0.36,0.33,-0.3,0.28,0.28,-0.09,-0.39,-0.53,-0.22,0.23,-0.01,-0.35,0.7,-0.21,0.42,-0.0194444,-0.24,0.16,-0.13,0.63,-0.14,-0.38,-0.04,-0.41,0.03,0.12,20.01.15
-0.66375,0.02,-1,0.07,-0.33,0.29,-0.56,0.27,-0.43,0.88,0.78,0.74,0.48,-0.43,-0.12,-0.2,0.16,-0.12,0.26,-0.33,0.23,0.16,-0.31,0.23,-0.85,-0.16,43.01.03.09
-1,0.08,-0.39,-0.28,0.16,-0.34,0.4,0.13,-0.19,-0.69,-0.27,0.04,-1.03,-0.21,0,0.0228,-0.39,0.39,-0.02,0.12,0.25,0.32,-0.01,0.2,-0.35,-0.16,11.02.03.04
-0.15,-0.27,-0.05,-0.03,0.39,0.13,0.44,0.01,-0.08,-0.26,-0.71,0.19,-0.5,0.23,0.12,0.12,-0.35,0.11,-0.53,0.36,0.23,0.18,0.06,0.12,-0.46,-0.21,01.04
-0.27,-0.07,-0.07,-0.08,-1,-1.81,-0.05,0.74,0.16,0.51,-0.31,0.91,-0.17,0.18,1.39,-0.48,0.51,0.35,0.32,0.5,0.01,-0.4,-0.43,-0.55,0.34,0.19,01.04
-0.69,0.01,-0.57,0.4,0.11,-0.04,-0.25,-0.08,0.09,0.2,0.61,0.34,0.09,0.08,0.43,-0.07,0,0.52,0.24,0.21,0.26,0.05,-0.27,0.03,-0.35,0.02,10.01.05.01
-0.62,-0.45,0.01,-0.18,-0.31,-0.12,-0.74,0.2,-0.17,0.18,0.56,0.74,0.63,-0.11,-0.32,0.31,-0.21,-0.09,-0.11,-0.06,0.38,0.05,0.16,0,-0.39,-0.15,01.05.25
-0.23,-0.34,0.14,-0.23,0.05,0.35,-0.75,0.2,0.29,0.16,0.4,0.13,-0.47,0.1,0.07,0.06,-0.19,0.07,0.02,-0.43,-0.1,-0.4,0.11,-0.28,0.41,-0.09,20.09
-0.3,-0.59,-0.22,0.02,1.24,1.07,0.34,-0.4,0.15,-0.66,-0.13,-0.21,-0.77,0.19,0.01,-0.11,0.05,-0.21,-0.12,0.17,1.13,0.24,0.05,-0.03,-0.39,-0.03,14.10
-0.84,0.11,-0.15,-0.23,-0.109565,-0.141458,-0.212766,0.150638,0.0222222,-0.00369565,0.136739,0.10913,0.0995745,-0.22,0.87,-0.21,-0.034,-0.1,0.26,-0.17,-0.13,0.03,0.07,-0.05,0.04,0.2,32.01
-0.124067,-0.14,-0.11,-0.3,0.12,0.4,-0.3,-0.32,-0.13,0.4,0.14,0.24,0.12,-0.13,0.56,-0.17,-0.6,-0.39,-0.22,0.45,0.49,0.05,-0.3,-0.1,-0.35,0.14,01.05
-0.22,0.68,0.59,0.18,-0.12,-0.151507,-0.0834266,-0.00971429,0.23,0.63,0.126838,0.0476336,-0.0907801,-0.06,-0.11,0.24,-0.17,0.06,-0.1,0.43,0.15,0.25,0.34,-0.31,-0.43,0.17,01.05
-0.76,-0.0914286,-0.31,0.27,-0.2,0.11,-0.3,0.22,-0.34,-0.03,0.55,0.03,0.54,0.21,-0.5,0.11,0.09,-0.05,0.29,0.44,0.02,-0.01,-0.3,0.19,-0.6,0.25,16.03.03
0.24,-0.34,0.04,-0.19,0.6,0.78,0.12,-0.18,0.54,-1,-0.7,-0.91,-0.73,-0.17,0.84,-0.11,0.0572674,0.18,-0.06,-0.13,0,-0.26,-0.12,-0.1,0.08,0.11,01.04
-0.14,-0.15,0.01,0.25,-0.65,-0.9,-0.27,0.57,-0.21,0.67,0.84,-0.42,0.35,0.06,-0.35,0.04,0.0905556,-0.44,0.1,-0.69,-0.54,-0.02,0.45,0.18,0.07,0.11,01.06
-0.51,-0.06,0.19,0.36,-0.18,0.26,-0.02,-0.38,0.06,-0.27,-0.44,-0.25,0.97,-0.11,1.03,-0.53,0.18,0.24,-0.22,0.21,0.27,0.36,0.59,-0.04,-0.24,-0.03,12.01.01
1.69,-0.66,0.24,0.14,0.26,-0.03,-0.54,-0.26,0.53,-0.29,-1.13,0.11,-0.38,-0.21,0.17,0.16,0.0399099,-0.47,-0.28,-0.41,-0.02,0.29,0.32,0.31,-0.3,-0.05,01.05
-0.22,-0.38,-0.09,0.8,0.7,0.47,0.29,0.12,0.27,-0.32,-0.81,0.33,-0.52,0.22,-0.08,-0.25,-0.24,-0.17,0.08,0.51,0.63,0.23,-0.13,0,-0.71,-0.13,11.04.01
0.15,-0.05,0.21,0.01,0.07,0.2,0.37,-0.13,0.04,-0.41,-1.17,-1.17,-0.01,-0.04,0.21,0.0869536,0.03,0.33,0.17,0.47,0.44,0.3,0.12,-0.02,-0.35,-0.02,01.05
-0.14,-0.37,-0.06,0.56,-0.03,0.06,0.16,0.24,-0.05,0.03,0.06,-0.03,-0.53,0.19,0.17,-0.0155072,0.52,-0.29,0.1,0.1,-0.48,-0.14,0.16,-0.14,-0.6,0.19,16.03.01
-0.2,-0.04,-0.1,-0.24,-0.163357,-0.151507,-0.0834266,-0.00971429,0.186596,0.0421277,0.126838,0.0476336,-0.0907801,0.17,-0.24,0.11,0.0399099,0.07,0.33,0.02,0.1,-0.02,0.07,0.01,0.04,0.52,01.05
-0.18,-0.07,-0.44,0,-0.27,-0.48,-0.0932171,-0.194783,-0.07,-0.200866,-0.0293117,-0.053125,0.175415,-0.02,-0.25,0.29,-0.0329412,0.24,-0.19,-0.61,0.12,0.19,-0.02,0.22,-0.13,-0.05,16.01
-0.74,-0.11,0.11,-0.02,-0.181158,-0.105625,0.00963918,-0.0545989,1.5,-0.151526,-0.145815,-0.256995,0.131164,0.14,-1.81,-0.39,0.46,0.73,0.01,0.26,0.6,0.13,0.19,0.15,-0.44,-0.5,12.01.01
0.67,-0.29,0.02,0.44,0.00308357,0.0985319,-0.0460724,-0.150625,0.109713,-0.0980737,0.027194,-0.0210703,0.0642286,-0.51,0.1,0.06,0.00829787,-0.32,-0.42,0.25,0.08,0.34,0.55,-0.24,0.01,0.08,11.02.03.04
-1.36,-0.39,-0.24,0.94,-0.0630769,-0.0452632,-0.064386,-0.110702,0.19037,-0.0852632,-0.00175439,-0.0385714,-0.0243103,0.21,-0.28,0.25,0.7,0.26,-0.51,0.52,0.11,-0.06,0.34,-0.12,-0.06,0.15,01.07.01
-0.89,-0.25,0.05,-0.14,-0.0577124,-0.025414,-0.0658974,-0.0716352,0.111154,-0.104277,0.0456129,0.000743243,0.0779747,0.33,-0.22,-0.04,0.36,0.23,0.05,0.12,0.29,-0.16,-0.08,0.05,0.01,0.14,14.04
-0.17,-0.18,-0.08,0.47,-0.41,0.11,-0.33,0.63,0.05,0.58,1.18,-0.0210703,0.35,0.16,-0.54,0.25,0.00829787,0.25,-0.12,-0.01,-0.2,-0.09,0.0772208,-0.08,0.31,-0.02,11.02.03.04
0.53,0.25,0.07,0.19,-0.15,0.25,-0.31,0.27,0.12,0.35,0.54,0.54,0.52,-0.07,0.1,0.34,0.4,0.76,-0.29,-0.35,-0.32,0.11,0.63,-0.01,0.12,0.09,20.09.18
-0.29,-0.23,-0.15,0.35,0.46,0.47,-0.07,0.17,-0.01,0.19,-0.17,-0.37,-0.03,0.18,-0.53,0.03,0.0572674,0.21,-0.09,0.06,0.33,0.33,0.07,0.09,-0.05,-0.11,01.04
-0.07,0.16,-0.01,-0.1,-0.00844961,-0.1,0.01,-0.29,0.15,-0.14,-0.43,-0.29,0.29,-0.26,0.01,-0.00847656,0.21,0.43,0.25,-0.05,-0.19,-0.44,-0.05,-0.34,-0.08,0.08,16.01
0.92,-0.023,0.48,-0.12,-0.83,-0.66,0.47,0.43,0.2,0.43,-0.22,1.12,-0.95,0.12,0.52,-0.39,0.64,0.27,-0.65,-0.98,-0.38,-0.03,0.36,0.39,0.41,0.39,99
-0.86,0.04,-0.24,0.06,0.15,0.1,-0.08,-0.31,0.06,0.43,-0.06,0.43,0.05,-0.45,-0.41,-0.14,-0.0329412,0.19,-0.33,-0.17,-0.12,-0.37,0.11,0.07,-0.19,0.17,16.01
0.19,-0.6,0.1,0.47,0.64,0.62,0.04,-0.45,-0.04,-0.66,0.06,-0.28,0.65,0.31,0.03,-0.08,0.0624242,0.23,0.05,0.04,0.07,0.49,0.32,-0.25,0.04,0.14,10.03.01
0,-0.01,-0.18,-0.18,-0.22,-0.21,0.17,-1.02,0.5,-0.15,-0.64,-1.02,0.34,-0.03,0.21,-0.04,-0.07,0.54,-0.29,-0.29,-0.13,-0.22,-0.19,-0.06,0.33,0.03,12.01.01
-0.97,-0.17,-0.27,-0.08,0.05,0.32,0.16,-0.27,0.05,0.1,-0.57,-0.29,0.31,-0.34,-0.69,-0.05,0.32,0.16,-0.18,-0.18,0.17,-0.27,-0.18,0.08,0.27,-0.09,10.01.09.05
0.19,0.11,0.02,0.13,0.15,-0.3,0.42,-0.18,-0.23,-0.18,-0.02,0.04,0.4,0.39,-0.39,-0.13,0.0572674,-0.08,-0.2,-0.04,0.12,0.04,-0.01,-0.2,-0.67,-0.2,01.04
-0.49,-0.05,-0.05,-0.14,-0.85,-0.85,0.18,-0.17,0.07,-0.36,-0.41,-0.53,0.54,-0.52,0.31,-0.18,-0.06,0.103594,0.13,0.15,-0.13,-0.34,-0.22,-0.21,0.07,-0.07,16.01
-0.104286,-0.0463333,0.0556667,-0.0345161,-0.44,-0.18,-0.08,0.04,1,0.15,-0.11,-0.03,-0.15,-0.45,-0.4,0.23,0.08,0.68,-0.0187097,-0.0454839,0.00419355,-0.109032,0.119355,-0.100323,-0.00387097,0.0903226,01.02
0.18,-0.232222,0.113929,-0.00357143,-0.46,0.14,-0.37,-0.15,0.37,0.07,0.0628,-0.09,-0.02,-0.38,-0.24,-0.51,0.27,0.05,-0.222963,-0.1175,0.0214286,0.0485185,0.167857,0.055,0.0185714,-0.00892857,20.09.07.03
0.54,1.07,-0.01,0.12,-0.29,-0.25,-0.48,-0.18,0.19,0.26,0.18,-0.7,0.53,-0.31,0.3,0.1,0.0317442,0.03,-0.28,-0.21,-0.35,-0.17,0.02,0.04,0.39,-0.01,43.01.03.05
-0.22,-0.05,-0.19,-0.08,-0.66,-0.73,-0.29,0.24,0.16,0.42,0.41,-0.03,0.23,-0.54,0.18,0.13,0.58,0.62,0.13,-0.86,-0.32,-0.15,0.09,0.13,0.05,0.16,01.04
-0.32,0.02,0.59,0.46,0.19,0.19,-0.08,0.05,-0.15,-0.08,-0.04,0.13,-0.11,0.08,-0.01,-0.11,0.0317442,0.37,-0.01,0.13,-0.49,-0.2,0.04,-0.29,0.35,0.01,43.01.03.05
-0.07,-0.43,0.48,0.03,0.2,0.11,0.35,-0.51,0.78,-0.7,0.27,0,0.67,0.33,-0.6,0.05,0.59,-0.04,-0.39,-0.16,0.03,-0.3,0.18,0.03,0.26,0.02,10.03.04
-0.22,0.15,-0.11,-0.26,-0.97,-0.36,-0.3,0.18,0.34,0.2,0.8,0.23,0.06,-0.09,0.42,0.13,0.11,0.42,-0.69,-0.11,-0.25,0.1,0.49,-0.06,0.13,0.08,01.01.09
-1.4,-0.07,0.3,-0.03,0.16,0.16,0.13,-0.17,0.06,-0.4,0.26,0.04,-0.04,0.1,0.02,-0.19,0.11,0.25,-0.34,0.11,0.09,0.09,-0.23,-0.13,-0.05,-0.15,14.04
-0.36,-0.11,-0.02,-0.08,0.05,-0.09,-0.06,-0.02,0.33,-0.21,0.22,-0.27,-0.21,-0.27,-0.12,0.15,0.3,0.36,0.05,-0.24,0.16,-0.03,0.07,-0.24,-0.15,0.11,01.06
-0.47,-0.21,0.24,0.36,-0.05,0.31,0.13,0.29,-0.11,0.18,0.33,-0.44,0.19,0.57,-0.32,-0.5,0.148286,0.16,-0.27,0.43,-0.23,0.21,0.01,-0.06,0.28,-0.31,14.10
-0.56,-0.3,0.04,-0.13,0.54,0.7,-0.08,-0.45,0.52,-0.28,-0.79,-0.39,-0.01,-0.29,0.69,-0.36,0.36,0.4,0.16,0.01,0.27,0.31,-0.2,0.1,-0.06,-0.16,11.02.03.04
-1.43,0.01,-0.15,0.01,-0.38,0.11,-0.48,-0.36,0.1,-0.08,0.76,0.29,0.59,-0.2,0.26,-0.28,-0.098,0.54,0.45,-0.11,0.02,-0.15,-0.02,0.17,-0.66,0.04,01.03.01.03
-0.36,-0.11,0.37,-0.14,-0.34,-0.01,0.4,-0.01,0.15,-0.34,-0.81,-0.54,0.01,-0.26,-1.94,-0.4,0.6,0.73,-0.29,0.09,0.52,0.31,0.05,0.08,-0.25,-0.31,12.01.01
-0.38,-0.2,0.33,0.47,-0.02,-0.44,-0.44,0.74,0.58,0.55,0.4,0.04,0.17,-0.44,-0.14,-0.47,-0.33,0.145,-0.01,0.27,-0.19,-0.35,0.09,-0.24,0.4,0.23,32.01.01
0.04,-0.04,0.45,0.09,-0.53,-0.62,-0.58,0.39,0.45,0.46,0.3,0.43,0.42,0.09,-0.02,0.06,0.43,0.1,-0.39,0.06,0.2,-0.02,0.29,-0.16,-0.49,0.27,32.01
-0.23,-0.73,0.22,0.61,-0.12,0.11,-0.12,0.29,-0.32,0.01,0.16,-0.1,0.02,0.41,0.41,-0.1,0.35,0.05,-0.15,0.21,-0.33,-0.54,-0.11,0.43,0.23,0.13,16.01
-0.25,-0.06,0.05,-0.1,-0.31,-0.07,0.1,-0.33,0.34,-0.14,-0.05,-0.43,0.07,0.25,-0.22,-0.15,0.52,0.24,-0.1,-0.24,0.01,-0.22,-0.14,0.11,0.05,0.38,14.04
-0.25,-0.21,0.03,-0.33,0,-0.12,-0.23,-0.3,0.65,0.32,0.04,-0.1,-0.63,0.21,0.15,-0.0805556,0.4,-0.04,-0.4,-0.5,-0.2,0.06,0.39,0.2,0.16,0.4,14.01
-0.1,0.01,0.12,0.07,-0.41,-0.54,-0.11,0.5,-0.27,0.16,0.8,0.22,0.51,0.04,0.82,-0.27,-0.2,0.23,-0.05,0.07,0.09,0.19,-0.18,0.03,-0.32,-0.08,16.03.01
-0.1,0.12,-0.03,0.00457249,-0.22,-0.15,-0.0932171,-0.02,0.0961111,-0.05,0.28,-0.053125,-0.06,0.15,0.42,-0.05,0.13,0.2,0.22,-0.14,-0.03,-0.01,0.05,0.22,-0.72,0.04,16.01
1,-0.67,0.31,0.14,0.42,0.3,0.54,-0.28,0.21,0.23,0.28,0.0252632,-1.17,0.39,-0.23,0.14,0.0572674,-0.6,-0.7,-0.29,0.14,0.35,0.65,0.39,-0.28,0.02,01.04
-0.12,0.31,-0.15,0.16,0.03,0.09,-0.29,0.09,0.05,0.25,0.37,-0.29,0.02,0.15,0.17,-0.14,0.0399099,0.1,-0.19,-0.25,-0.16,-0.24,0.09,0.15,0.31,0.38,01.05
-0.34,-0.01,-0.08,-0.2,0.32,0.28,0.11,-0.17,-0.23,-0.15,-0.31,-0.41,-0.17,-0.43,-0.39,0.1,-0.01,-0.07,-0.06,0.52,0.24,0.12,-0.08,0.27,-0.37,-0.02,16.01
0.36,-0.42,0.07,0.44,0.23,0.34,0.14,-0.16,-0.06,-0.32,0.82,-0.77,-0.02,0.29,-0.13,0.1,0.23625,-0.13,-0.43,0.46,0.51,0.54,0.15,-0.01,-0.36,-0.12,12.04.01
0,-1.01,0.64,0.38,-0.49,-0.17,0.56,-0.19,-0.25,-0.51,0.3,-0.13,-0.69,0.73,-0.45,0.43,0.34,0.11,-0.42,-0.39,0.05,-0.22,0.49,-0.15,0.42,-0.1,11.04
-0.4,0.65,0.03,0.15,0.09,-0.04,-0.24,-0.36,0.25,-0.21,-0.61,-0.47,0.62,-0.04,0.31,-0.2,0.22,0.12,-0.12,0.08,0.07,0.02,-0.01,0.16,-0.16,-0.32,12.01.01
-0.14,0.03,0.08,0.25,-0.04,-0.09,0.12,0.06,0.08,-0.09,-0.57,-0.24,-0.01,-0.07,0.41,0.24,0.28,0.08,-0.08,0.48,0.08,0.33,-0.3,-0.04,0.06,-0.15,42.16
-0.29,-0.57,0.54,0.25,0.22,0.14,0.21,0.14,-0.08,-0.28,0.05,-0.24,-0.57,-0.65,0.02,0.4,-0.0189583,-0.07,-0.18,0.33,-0.09,-0.31,-0.16,-0.09,0.06,0.15,14.04
-0.07,-0.35,0.12,-0.01,0.59,0.43,0.3,-0.52,0.21,-0.46,-1.09,-0.54,0.06,-0.06,0.1,-0.04,0.00829787,0.26,-0.2,0.2,0.45,0.25,0.02,0.03,-0.36,-0.16,11.02.03.04
-0.17,0.11,-0.41,0.19,0.00308357,0.0985319,-0.0460724,-0.150625,0.109713,-0.0980737,0.027194,-0.0210703,0.0642286,0.25,0.28,0.15,0.00829787,-0.23,0.15,-0.01,0.25,0.15,0,0.25,-0.33,-0.14,11.02.03.04
-0.540536,0.43,0.0496429,-0.61,-0.39,-0.27,-1.09,1.86,-0.35,0.67,0.49,0.38,-0.38,-0.139483,-0.19,0.0296296,0.128649,0.39,0.17,-0.18,-0.14,-0.62,0.03,0.07,0,0.05,20.09.18
0.15,-0.3,0.02,0.07,-1.09,0.43,-0.07,-0.28,0.03,0.05,0.33,-0.99,0.88,-0.27,0.06,0.19,0.00894737,0.09,-0.18,0.04,0.09,0,0.56,-0.21,0.28,0.37,12.10
0.04,0.17,-0.03,0,-0.5,-0.68,-0.38,0.74,-0.23,0.37,0.45,0.86,-0.08,-0.21,0.86,-0.19,-0.15,0.15,-0.48,-0.24,-0.46,-0.29,0.12,0,0.59,0.36,11.02.03.04
-0.409319,-0.166474,0.151128,0.0230928,-0.52,-0.21,0.45,-0.59,0.3,0.05,-0.21,-0.12,-0.34,-0.16,0.61,-0.31,-0.3,0.02,-0.280102,0.163959,0.275939,0.24,0.220761,0.0511224,-0.199188,-0.17066,12.01.01
0.18,0.12,-0.16,0.01,-0.31,-0.19,-0.27,-0.43,0.28,-0.14,-0.61,-0.52,0.59,0.04,0.3,-0.06,-0.0542857,0.1,0.15,-0.21,-0.41,-0.37,0.08,-0.01,0.12,-0.05,14.13.01.01
