@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute alpha0                                  numeric
@attribute alpha14                                 numeric
@attribute alpha28                                 numeric
@attribute alpha77                                 numeric
@attribute alpha112                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_120                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_190                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_220                               numeric
@attribute cdc15_230                               numeric
@attribute cdc28_50                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_100                               numeric
@attribute cdc28_120                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_140                               numeric
@attribute cdc28_150                               numeric
@attribute cdc28_160                               numeric
@attribute elu0                                    numeric
@attribute elu120                                  numeric
@attribute elu330                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-0.27,-0.24,-0.17,-0.05,0.04,0.2,-0.02,-0.47,-0.16,0.1,-0.05,0.07,0.24,-0.09,-0.05,0.34,-0.02,0,0.11,0.0113043,-0.07,0.02,0.42,-0.14,0.08,-0.14,11.02.03.04
1.51,-0.61,0.69,0.03,0.34,-0.09,0.19,-0.09,0.23,0.11,0.05,0.04,0.44,-0.21,0.05,0.64,0.16,-0.1,-0.09,-0.23,-0.86,-0.07,-0.62,-0.13,0.31,-0.01,11
0.36,0.07,0.63,0.09,-0.07,-0.62,-0.39,0.403333,0.78,-0.12,0.79,0.67,0.39,-0.22,-0.44,0.34,-0.17,0.02,0.34,0.02,0.18,-0.52,0.21,-0.71,0.07,0.59,20.01.03
-0.29,0.11,0.21,0.02,0.02,-0.03,0.34,-0.26,0.05,0.07,-0.13,-0.22,-0.1,-0.63,-0.34,0.76,0.22,-0.2,0.14,0.42,0.34,0.38,-1.47,0.05,0.28,0.03,01
-0.54,0.05,0.04,0.08,0.08,-0.02,-0.26,-0.35,-0.26,0.04,-0.52,-0.49,0.55,-0.16,-0.28,0.72,0.25,-0.36,0.229435,0.3,0.44,0.55,-0.18,0.24,0.15,0,12.01.01
0.75,0.23,0.43,-0.01,-0.02,-0.07,0.15,-0.16,0.24,-0.53,0.66,0.42,-0.03,0.25,-0.29,0.15,-0.6,-0.29,-0.4,-0.6,-1.22,-0.83,0.57,-0.29,0.43,0.63,01.05.02.07
-0.07,-0.08,-0.04,-0.15,0.11,-0.2,-0.0166284,-0.194783,-0.200866,-0.0344574,-0.053125,0.0028629,0.175415,-0.11,0.09,-0.28,0.33,0.16,-0.59,-0.11,0.31,-0.14,0.09,-0.12,0.07,0.19,16.01
-0.29,0.06,0.11,0.17,0.14,0.11,0.21,-0.01,0.01,-0.31,-0.03,-0.31,0.11,0.15,0.12,-0.33,-0.2,0.17,-0.14,-0.326667,0.15,-0.19,-0.04,0.07,0.17,0.33,10.03.01.01
-0.51,0.28,0.21,0.15,-0.02,0.11,-0.1,0.14,0.13,-0.03,0.07,-0.34,-0.14,-0.23,-0.15,0.51,0.23,0.05,0.134194,0.29,0.5,0.17,-0.04,0.21,-0.01,-0.04,34.01.01.01
-0.79,1.09,-0.47,-0.43,0.27,0.04,0.12,-0.19,-0.43,0.18,-0.17,-0.63,0.51,-0.05,-0.17,-0.06,0.07,-0.13,0.1,0.223313,0.39,-0.17,0.77,0.38,-0.31,-0.24,12.01.01
-0.92,0.13,0.32,-0.12,-0.28,0.2,-0.63,0.54,0.01,0.05,0.31,0.68,-0.15,0.07,0.74,0.66,0.11,-0.08,-0.98,0.0774797,-0.01,0.31,0.04,-0.33,0.36,0.3,14.04
-0.18,-0.1,0.78,0.62,-0.24,-0.36,-0.26,-1.04,-0.5,1.05,0.13,-1.48,-1.75,-1.19,0.84,0.64,0.67,0.95,0.0399099,0.38,-0.21,-0.08,-0.12,-0.66,0.58,-0.13,01.05
-0.38,-0.34,0.25,-0.17,-0.08,0.04,-0.06,-0.06,-0.2,-0.24,0.1,0.18,0.27,0.02,0.15,0.39,0.18,0,0.22,0.37,-0.12,0.42,0.2,0.27,-0.41,0.24,14.07
-0.38,0.2,-0.24,-0.63,-0.06,0.03992,-0.13,-0.68,-0.87,-0.03,-0.87,-0.73,0.95,-0.48,-0.33,0.62,-0.0500265,-0.39,0.14,0.39,0.39,0.33,1.04,0.07,-0.45,-0.3,11.02.03.04
-0.15,-0.2,-0.12,-0.29,0.26,0.07,-1.16,0.54,-0.44,-0.33,0.15,0.01,0.3,-0.26,0.11,-0.01,-0.11,0.0228,-0.39,-0.03,-0.03,0.32,0.09,0.07,-0.3,0,11.02.03.04
0.03,-0.09,0.11,-0.04,0.19,-0.2,-0.73,-0.46,0.27,0.38,-0.46,0.27,0.63,-0.09,-0.05,0.26,-0.09,0.51,0.44,0.0111165,0.1,0.33,0.01,-0.65,0.32,0.37,16.01
0.19,-0.58,0.67,0.09,0.24,-0.33,0.35,-0.72,-0.37,0.32,-0.16,-0.69,0.1,-0.36,-0.34,0.35,0.55,0.4,-0.12,0.0437747,-0.54,-0.34,0.32,-0.14,0.08,0.14,01
-0.69,-0.27,0.46,0.2,-0.34,0.01,-0.46,0.63,0.2,-0.63,-0.0255,0.75,0.4,-0.17,-0.16,0.55,0.42,-0.02,0.24,0.0878947,0.38,0.12,0.24,-0.48,0.43,0.22,01.06.06.11
-0.42,1.05,0.170392,-0.4,-0.22,0.1,-1.51,0.33,-0.06,0.05,-0.55,-0.4,-0.29,-0.76,0.18,1.04,0.77,0.59,0.15,0.16,0.0488514,0.0262162,1.47,-0.58,0.41,0.35,01.05
0.16,-0.39,0.19,-0.08,-0.11,-0.32,-0.21,0.17,0.31,-0.61,0.28,0.55,0.21,-0.02,-0.02,0.51,-0.06,0.24,-0.38,-0.010463,-0.06,-0.02,0.42,0,0.2,-0.25,43.01.03.05
-0.3,0.39,-0.0818783,0.24,0.07,0.1,0.47,-0.69,-0.24,0.16,-0.28,-0.28,-0.41,-0.13,-0.1,0.09,-0.08,-0.17,0.06,0.0113043,0.25,-0.37,-0.34,0.39,-0.11,-0.04,11.02.03.04
-0.09,-0.07,-0.22,0.19,-0.03,0.19,0.54,-0.71,-0.34,0.53,-0.11,-0.44,-0.49,0.07,-0.12,0.03,-0.17,-0.2,-0.0542857,0.2,0.14,-0.29,-0.27,0.16,-0.17,0.01,14.13.01.01
-0.23,0.18,0.2,0.21,-0.17,0.1,-0.23,0.66,-0.41,-0.18,0.05,0.8,-0.29,-0.04,-0.15,1.18,0.21,-0.33,0.148286,0.41,0.58,0.58,0.34,-0.08,0.15,-0.1,14.10
0.37,0.68,0.63,0.1,-0.06,-0.01,0.47,-0.47,0.1,-0.05,-1.1,-1,0.37,-0.08,-0.15,0.05,0.18,-0.08,0.0317442,-0.09,-0.09,-0.15,-0.37,-0.19,0.35,-0.34,43.01.03.05
-1.25,0.01,-0.52,-0.14,0.14,0.18,0.41,-0.04,-0.61,0.5,-0.29,-0.49,0.51,0,0.21,0.06,0,-0.08,0.00409091,-0.09,-0.1,0.15,-0.99,1.05,-0.21,-0.26,16.03.01
0.44,0.18,0.04,0.04,0.09,-0.06,-0.122963,-0.1304,0.0161538,-0.0988889,-0.0048,0.0792,0.101111,-0.11,-0.11,0.61,0.18,-0.15,0.0782353,0.16,-0.14,-0.24,-0.21,-0.05,0.12,-0.14,20.09.13
-0.15,-0.06,-0.25,-0.13,-0.03,0.35,-0.0201471,-0.13403,0.51,-0.0476923,-0.0523438,0.0384848,0.122537,-0.51,-0.59,0.89,0.18,-0.43,0.48,0.5,0.64,0.3,-0.56,0.21,0.26,0.02,14.10
-0.27,-0.21,-0.02,-0.56,0.37,-0.1,-0.44,0.0864045,0.12,-0.08,0.42,0.45,0.72,0.22,0.31,-0.23,-0.12,-0.21,-0.28,-0.05,-0.2,0.3,0.68,-0.38,0.02,0.28,42.01
-0.54,-0.42,-0.08,0.04,0.05,0.04,-0.0861905,0.0547619,-0.0705,-0.197619,0.0527778,0.125455,0.0809524,0.18,0.21,-0.26,0.13,0.23,0.28,0.0778947,0.15,-0.34,0.38,-0.07,-0.1,0.23,01.05.25
-0.38,-0.2,-0.21,-0.48,-0.1,0.29,0.71,-0.79,-0.75,0.29,-0.33,-0.79,0.36,-0.4,-0.43,0.37,0.17,-0.00847656,0.24,0.34,0.4,0.28,-0.43,0.13,-0.39,-0.12,16.01
0.6,-0.48,-0.07,-0.13,-0.2,-0.1,-0.15,0.13,0.14,-1.23,-0.16,0.25,0.55,0.09,0.56,0.4,0.27,0.11,-0.0388889,0.37,0.28,0.46,0.82,-0.2,-0.01,-0.06,16.19.03
0.12,-0.34,-0.25,-0.29,-0.29,-0.17,-0.25,0.18,0.47,-0.71,0.37,0.72,0.5,0.34,0.03,0.09,0.2,0.11,0.46,-0.0157576,0.31,0.06,-0.28,-0.3,0.24,-0.1,42.01
-1.12,-1.49,-1.27,-1.49,0.85,0.57,-3.25,2.02,-1.11,-0.03,0.93,1.48,-0.09,-0.75,-0.27,1.3,0.6,-0.015102,0.35,0.72,0.59,0.95,-0.59,-0.27,0.61,0.3,32.01
0.87,-0.01,0.36,0.42,-0.1,-0.63,-0.13,1.04,1.03,-1.74,1.28,0.99,0.42,-0.06,-0.05,0.34,0.04,-0.18,0.0242857,0.12,0.28,-0.32,-0.12,-0.04,-0.04,0.07,20.01.01.01
-0.09,-0.27,0.72,0.38,0.01,-0.59,-0.18,-0.33,0.03,-0.77,0.19,0.59,0.19,0.41,0.76,0.31,0.21,0.31,0.41,0.09,-1.49,0.0214286,0.57,-0.07,-0.12,0.14,20.01.01.01
0.61,0.22,-0.2,0.09,-0.12,-0.02,-0.44,0.16,0.04,-1.1,-0.08,0.41,0.63,0.31,0.09,-0.17,-0.03,0.31,0.18,0.00718062,0.15,0.26,0.05,-0.16,0.5,0.19,01.04
-0.04,0.29,0.42,0.08,0.11,-0.06,-0.64,0.13,0.02,0.04,0.57,1.01,0.28,0.02,0.14,-0.12,-0.02,0.1,-0.07,0.0963636,0.31,-0.13,0.28,0.12,-0.2,0.31,14.10
0.25,0.3,-0.05,0.13,-0.01,0.11,0.13,-0.44,0.01,-0.04,0.03,0.04,0.03,0.22,0.06,-0.43,-0.04,-0.03,0.00829787,-0.07,0.36,-0.11,0.05,0.07,0.15,0.09,11.02.03.04
-0.25,0.22,-0.48,-0.15,0,0.11,-0.14,0.68,-0.04,0.02,-0.06,0.34,-0.38,0.15,0.1,-0.28,0.03,0.17,0.01,0.00718062,-0.12,0.08,-0.73,0.52,-0.5,-0.22,01.04
0.82,-0.26,-0.03,0.12,0.12,-0.03,0.01,0.23,0.41,-0.45,0.49,1,-0.04,0.29,0.15,-0.27,-0.16,-0.04,-0.1,0.103333,0.26,-0.1,-0.23,0.01,0.71,-0.18,20.01.10
-0.89,-0.04,0.00111111,0.01,-0.18,0.00421053,-0.16,0.46,0.14,-0.32,0.2,0.04,-0.12,-0.06,0.19,0.05,0.1,0.12,0.32,0.0996154,0.66,0.26,-0.48,0.1,-0.31,-0.09,32.07
-0.4,-0.12,0.01,-0.17,-0.02,-0.13,0.36,1.33,-0.07,-0.01,-0.77,-0.06,0.19,0.17,-0.15,0.02,-0.11,-0.11,0.22,-0.0242857,0.27,0.11,-0.22,0.23,-0.37,0.13,10.01.09.05
-0.3,-0.26,0.13,-0.13,-0.12,-0.03,0.39,-0.29,-0.48,0.15,-0.54,-0.32,0.39,-0.07,0,0.09,0.17,-0.16,0.148286,-0.02,-0.33,0.43,-0.33,-0.25,0.01,0.31,14.10
0.1,0.0256089,-0.08,0.09,-0.24,-0.35,-0.31,0.14,-0.11,0.03,0.16,0.6,0.3,0.41,0.33,-0.31,-0.03,0.12,-0.27,0.0111165,-0.61,0.06,0.33,0.53,-0.61,-0.08,16.01
-0.01,-0.18,0.19,-0.11,-0.08,-0.16,0.04,-0.24,0.1,0.25,-0.65,-0.1,0.65,-0.06,0.14,0.18,0.11,-0.02,-0.21,0.0113043,-0.22,0.28,0.77,-0.43,0.16,0.1,11.02.03.04
0.19,-0.28,-0.05,0.11,0.18,-0.3,0.39,-0.54,-0.09,0.06,-0.72,-0.24,0.45,-0.07,-0.1,-0.18,0.16,-0.01,-0.0329412,0.03,0.23,0.03,-0.01,-0.49,0.38,0.09,16.01
-0.64,-0.07,-0.22,-0.34,0.05,-0.02,0.09,0.04,-0.53,0.15,-0.35,-0.02,0.59,0.01,0.14,0.3,0.08,-0.2,-0.11,0.0113043,-0.08,0.37,-0.46,0.02,-0.13,0.2,11.02.03.04
-0.34,-0.01,0.24,-0.45,0.05,-0.14,-0.92,0.5,-0.28,-0.58,-0.62,0.36,0.98,-0.71,1.41,0.53,0.73,-0.28,-0.85,-0.44,-0.28,1.07,0.12,0.06,-0.28,0.29,11.02.03.04
1.4,-0.16,-0.17,-0.01,-0.19,-0.16,0.12,0.23,-0.15,-0.21,-0.1,0.48,0.37,-0.06,0.12,-0.01,0.04,-0.29,-0.0189583,-0.23,-0.1,0.04,-0.54,-0.14,0.12,0.21,14.04
-0.104355,0.21,0.31,-0.03,0.12,-0.09,-0.33,0,-0.37,0,-0.08,-0.15,0.13,-0.36,-0.01,-0.26,0.07,-0.1,0.15,0.0583333,0.41,0.08,0.83,-0.46,0.24,0.4,01.07.01
0.93,-1.51,-1.35,1.3,-0.26,0.07,1.84,-1.93,1.05,1.41,0.16,-1.17,-1.24,-0.21,-0.85,0.23,0.11,-0.14,0.68,0.53,0.74,0.22,-1.15,-0.02,0.46,-0.48,11.02.03.04
-0.6,0.14,-0.01,0.14,-0.02,-0.01,0.68,0.55,0,0.03,0.43,0.68,-0.96,0.41,0.46,0.27,-0.34,-0.44,0.0602326,-0.15,-0.25,-0.04,-0.24,0.24,-0.05,-0.21,01.07.01
-0.04,0.0646701,-0.148041,-0.0812632,-0.0894271,0.120773,-0.41,-0.24,-0.12,0.18,-0.02,-0.12,-0.18,-0.15,-0.16,-0.05,0.44,0.09,0.43,0.223313,0.59,0.42,-0.504286,0.275939,-0.048934,-0.17066,12.01.01
-0.71,0.27,-0.25,0.12,-0.15,0.07,0.25,-0.66,-0.33,0.52,-0.27,-0.61,-1.29,0.21,0.15,-0.11,0.12,-0.14,0.09,-0.0172222,-0.28,0.28,0.27,0.26,-0.14,0.14,11.04.01
0.39,-0.07,-0.33,-0.81,-0.23,-0.11,-0.21,-0.121064,0.67,-0.92,-0.0537778,-0.0297849,-0.0224468,-0.01,0.09,-0.35,-0.07,-0.43,0,-0.00318841,-0.01,0.14,1.02,-0.22,-0.13,-0.51,10.03.01
0.15,0.09,-0.01,-0.06,-0.08,-0.07,0.28,0.065,0.195,-0.09,0.155,-0.04,0.27,0.36,-0.17,-0.25,-0.24,-0.09,0.39,-0.4475,0.47,-0.02,0.5,-0.09,0,0.03,10.01.05
-0.47,0.27,-0.08,0.0335959,0,-0.06,-0.0415985,-0.0476604,-0.15,-0.0825,0.0252632,0.102192,0.0280755,0.12,0,0.15,-0.24,-0.24,0.0572674,-0.07,0.37,-0.03,-1.22,0.35,0.26,0.51,01.04
1.07,-0.2,0.1,0.09,-0.17,0.13,-0.07,0.25,-0.14,-0.41,0.24,0.38,-0.29,0.42,0.29,0.34,0.07,0.09,0.53,0.13,-0.0252542,0.00118644,-0.39,0.15,0.35,0.21,16.03.03
-0.6,-0.15,-0.22,-0.48,-0.26,0.03992,-0.13,-0.14,0.16,-0.16,-0.27,-0.22,0,0.06,0.32,0.01,0.07,-0.33,0.00829787,0.19,0.37,0.47,0.05,-0.12,0.09,0.11,11.02.03.04
0.69,-0.06,0.01,0.08,0.2,0.08,0.46,0.07,0.09,-0.13,-0.05,0.31,0.72,0.75,0.27,-1.02,-0.13,0.06,0.2,-0.28,-0.64,-0.22,-0.1,-0.15,0.13,0.27,11.02.03.01
0.54,0.3,0.29,0.44,-0.32,-0.3,-0.48,-0.26,-0.15,0.1,-0.19,-0.21,0.25,-0.52,0.11,0.22,0.49,0.21,0.0386667,-0.17,0.04,0.25,0.67,-0.47,0.48,0.39,01.05.02.07
0.83,-0.67,-0.08,-0.12,0.1,-0.08,-1.76,1.09,0.1,0.09,0.53,0.79,0.87,-1.02,-0.42,0.36,0.82,1.04,1.62,-0.000535714,1.55,1.35,-0.04,-0.32,-0.04,-0.06,01.05
0.106944,0.27,0.17,0.06,0.09,-0.11,-0.14,-0.78,-0.66,0.46,-0.16,-0.94,-0.01,-0.29,0.22,0.88,0.38,-0.01,0.0572674,0.09,0.11,0.87,0.6,-0.51,0.22,0.37,01.04
-0.62,0.08,-0.03,-0.24,0.08,-0.35,-0.49,0.27,0.21,-0.49,0.18,0.41,0.12,0.22,-0.06,0.19,-0.21,-0.24,0.229435,-0.18,0.39,0.02,-0.12,-0.17,0.24,-0.04,12.01.01
0.45,-0.01,0.21,0.000346667,-0.05,0.06,-0.07,-0.13,-0.15,-0.13,-0.01,0.36,0.15,0.2,0.41,-0.16,0.25,0.09,0.26,0.17,0.0122946,0.0206516,-0.39,0.06,0.32,-0.1,11.02.03.04
-0.11,0.26,0.12,0.18,-0.22,-0.05,0.37,-0.01,-0.12,0.08,-0.06,-0.12,0.28,-0.1,-0.22,0.68,0.24,-0.49,0.16,0.1,-0.08,0.56,0.46,-0.15,0.08,-0.14,42.04
0.14,0.29,0.48,-0.11,0.01,-0.36,-0.13,0.2,0.15,-0.22,-0.72,-0.12,-0.25,-0.04,0.45,-0.03,0.4,-0.01,-0.23,0.01,-0.1,0.46,1.05,-0.19,0.04,0.17,14.07
-0.06,-0.62,-0.02,-0.23,-0.01,-0.23,-0.37,-0.0476604,0.11,-0.64,0.02,0.56,0.32,0.17,0.07,0.12,0.31,-0.08,0.51,0.00718062,0.52,0.42,0.21,-0.39,0.2,-0.04,01.04
0.08,-0.38,-0.08,-0.02,0.17,0.15,-0.66,-0.1,0.39,-0.37,-0.14,0.46,0.53,0.25,-0.03,0.09,-0.09,-0.18,-0.0189583,0.07,0.29,0.27,0.24,-0.08,-0.52,-0.03,14.04
-0.94,-0.15,0.44,-0.16,-0.28,-0.16,-0.37,0.52,-0.1,-0.55,-0.59,0.77,0.81,-0.26,-0.43,0.92,0.15,-0.44,0.65,0.6,1.04,0.56,0.49,-0.21,0.07,-0.37,14.10
0.41,0.05,0.11,0.07,-0.02,-0.29,-0.17,0.14,0.57,-0.02,-0.07,0.17,-0.45,-0.33,-0.08,0.33,-0.01,0.05,0.505,0.14,0.3,0.05,-0.16,0.14,0.04,0.04,14.07.02.02
0.39,0.04,-0.04,0.52,-0.04,-0.08,0.06,-0.19,-0.05,-0.21,0.08,0.36,0.04,-0.22,-0.06,-0.12549,-0.5,-0.06,0.16,-0.06,-0.22,0.22,0.15,0.38,-0.22,-0.09,10.01.05.01
0,0.09,0.18,0,-0.01,-0.1,-0.11,-0.08,-0.04,-0.17,0.0476336,0.1,0.2,-0.2,-0.15,-0.05,-0.55,0.07,0.03,-0.2,0.07,-0.39,-0.17,-0.04,0.09,0.29,01.05
