@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute alpha105                                numeric
@attribute alpha112                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_80                                numeric
@attribute cdc15_100                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_180                               numeric
@attribute cdc28_50                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_120                               numeric
@attribute cdc28_160                               numeric
@attribute elu0                                    numeric
@attribute elu30                                   numeric
@attribute elu300                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-0.34,0.33,-0.1,-0.24,0.35,-0.24,0.22,-0.18,0.17,0.04,0.37,-0.11,0.2,-0.38,0.37,-0.07,0.03,-0.03,11.02.03.04
-0.01,0.28,-0.19,-0.13,0.49,0.96,0.83,0.72,0.25,0.25,0.35,-0.06,0.16,0.28,-0.16,0.02,0.04,-0.06,11.02.03.04
-0.56,0.17,0.05,0.24,0.15,-0.17,0.38,0.4,0.17,-0.16,-0.11,0.1,0.4,-0.13,0.63,0.03,0.06,-0.09,01.04
-1.06,0.31,-0.27,-0.0112687,-0.25,0.25,0.0939394,0.114633,-0.25,0.06,-0.21,0.2,-0.06,0.32,0.38,0.2,-0.23,0.26,01.04
-1.25,-0.34,-0.18,-0.51,-0.58,0.77,-0.42,0.36,0.04,-0.25,-0.25,0.16,-0.1,-0.25,0.33,-0.05,-0.09,0.16,01.04
-0.86,0.36,0.12,-0.73,0.81,0.69,-0.31,0.16,-0.47,0.19,-0.25,0.214172,-0.19,0.5,-1.22,-0.14,0.24,-0.32,12.01.01
-0.14,-0.07,-0.13,0.18,-0.16,-0.22,0,0.21,0.01,0.08,0.19,-0.2,0.12,0.1,0.3,-0.07,0.05,-0.03,12.07
0.2,0.32,0.12,0.03,-0.49,-0.78,0.27,-0.52,-0.11,0.06,-0.19,0.36,-0.04,0.59,0.28,-0.14,0.07,-0.02,11.02.03.04
0.3,0.17,0.13,0.32,0.21,0.52,0.02,-0.03,0.25,0.15,0.09,-0.17,-0.25,-0.18,-0.75,-0.37,0.07,-0.09,11.06.02
0.25,-0.0606452,-0.0287097,0.64,-0.14,-0.3,0.08,0,-0.14,-0.2,-0.14,0.14,0.33,0.3,-0.12,0.06,0.06,0.02,20.09.04
-0.58,-0.5,-0.29,-0.55,-0.01,-0.87,0.22,0.68,-0.37,-0.62,-0.23,0.21,-0.05,0.29,1.07,0.19,-0.72,0.5,01.05
-0.6,0.04,-0.12,0.29,-0.04,0.18,0.29,-0.39,-0.26,0.03,0.47,0.36,-0.47,0.21,0.04,0.04,-0.12,0.01,42.01
0.29,-0.02,0.2,-0.645,0.23,0.595,0.07,-0.25,0.51,0.61,0.13,-0.03,0.11,0.21,-1.21,-0.35,-0.17,0.04,14.07
-0.84,0,-0.03,-0.0419355,-0.172903,0.72,-0.82,-0.226452,-0.08,-0.09,0.09,0.54,-0.04,0.56,1.33,0.31,0.06,-0.15,14.13.01.01
-0.76,0.42,0.01,0.0985319,-0.00599432,0.0155398,0.116083,0.027194,0.05,0.31,-0.24,0.06,-0.2,0.1,-0.17,-0.38,0,-0.26,11.02.03.04
0.44,0.15,-0.2,-0.51,0.237647,0.176471,0.125,0.319375,0.21,0.21,-0.06,-0.13,-0.11,0.03,0.37,0.3,0.15,0,10.03.02
-0.69,-0.05,0.21,-0.163019,0.151373,0.311961,-0.212692,0.256939,-0.05,-0.8,0.06,0.37,-0.13,0,0.12,0.07,0.35,0.16,20.09.18
-0.27,0.37,0.13,-0.01,0.08,0.05,0.37,0.29,0.47,0.02,0.28,-0.28,0.12,0.00118644,0.08,0.44,-0.33,0.19,16.03.03
0.56,0.42,-0.16,-0.25,0.34,0.18,0.05,0.31,-0.81,0.07,-0.89,0.82,-0.61,0.46,-0.55,-0.08,-0.28,0.13,01.04
-0.06,0.23,0.09,0.22,0.07,0.3,0.85,0.27,0.01,-0.21,0.22,-0.64,0.26,0.33,0.43,0.13,0.01,0.01,16.01
0,0.7,0.05,0,0.32,0.54,0.19,0.26,-0.49,-0.41,-0.53,0.12,0.69,1.34,-0.11,0.31,0.21,0.68,01
-0.06,0.56,-0.2,0.23,0.2,-0.15,-0.62,-0.46,-0.21,0.2,-0.24,0.24,0.07,0.1,-0.11,-0.3,0.05,-0.14,12.10
-0.38,0.42,0.12,-0.09,0.19,0.79,-0.01,0.3,-0.46,-0.02,-0.52,-2.04,-0.42,0.56,-0.94,-0.25,0.02,-0.28,12.01.01
-0.36,0.07,0.23,-0.2,0.66,0.58,0.38,-0.31,-0.36,-0.08,-0.36,-1.9,-0.32,0.74,-1.22,-0.31,-0.08,-0.03,12.01.01
0.83,-0.09,-0.17,-0.72,-0.45,0.05,-0.1,-0.2,-0.04,-0.31,0.06,0.29,0.29,0.4,0.61,0.26,-0.15,-0.01,01.04
-2.06,0.04,-0.28,-0.86,0.09,0.87,-0.7,-0.74,-0.65,-0.15,-0.62,0.94,-0.47,0.44,0.08,0.29,-0.69,0.17,42.01
-0.45,-0.49,-0.13,0.37,-0.35,-0.31,-0.36,-0.55,-0.07,-0.27,0.51,0.39,-0.24,0.39,0.62,0.02,-0.18,0.23,43.01.03.05
0.23,0.13,0.19,0.23,0.05,0.32,-0.24,0.02,0.06,-0.47,0.3,0.31,0.08,0.02,0.45,0.07,0,0,16.01
0,0.41,-0.06,0.08,-0.26,-0.29,0.24,-0.06,0.39,-0.21,0.25,-0.23,0.14,0.18,0.3,-0.08,0.13,-0.04,14.04
0,0.23,-0.14,0.12,0.15,0.03,-0.1,-0.07,-0.2,-0.2,-0.03,-0.16,-0.4,-0.16,0.49,-0.4,-0.03,0,42.01
-0.2,0.12,-0.04,-0.13,0.07,0.05,-0.15,0.04,-0.11,-0.12,-0.11,0.16,-0.04,0.46,-0.69,-0.29,0.19,0.04,01.04
0.04,0.26,0.13,0.24,0.07,-0.14,0.15,-0.58,0.16,0.03,-0.09,-0.41,-0.03,0.1,0.3,-0.11,0.07,-0.19,11.02.03.04
-0.27,0.38,0.05,0.22,-0.63,0.29,0.39,-0.19,0.41,0.47,-0.02,-0.29,0.06,0.2,-0.39,-0.08,0.16,-0.04,01.04
0.49,0.3,0.41,-0.27,0.21,0.25,0.25,-0.25,0.54,0.24,0.49,-0.44,0.24,0.2,-0.47,-0.05,-0.1,0.23,16.01
1.16,0.2,-0.06,0.34,-0.23,0.52,0.02,-0.09,-0.27,-0.47,0.17,0.37,-0.03,0.02,-0.45,-0.0901103,-0.04,0.05,16.01
-0.47,0.3,-0.17,0.24,-0.1,-0.03,0.13,-0.47,-0.02,-0.07,0.07,-0.08,-0.38,0.62,-0.21,-0.21,-0.13,0.06,11.02.03.04
0.28,0.26,-0.15,-0.1,0.29,-0.12,0.02,0.23,0.21,0.09,-0.22,-0.03,0.03,0.0206516,0.16,0.07,0.02,0.07,11.02.03.04
0.138182,-0.11,0.1,0.14,0.52,-0.72,0.29,-0.21,0.22,-0.04,0.06,-0.17,0.08,0.04,0.26,-0.49,-0.06,0,11.02.03.04
-0.0158364,-0.14,-0.16,0.3,-0.24,-0.19,-0.06,-0.91,-0.17,-0.06,-0.16,0.36,-0.37,0.35,-0.2,0.17,-0.02,0.05,16.01
0.18,0.01,-0.02,-0.02,-0.41,-0.52,0.37,0.39,0.35,-0.06,0.11,0.02,0.1,0.08,-0.01,-0.35,0.07,0.22,43.01.03.05
0.5,-0.31,-0.31,-0.23,-0.04,-0.34,0.25,-0.08,0.21,-0.05,0.03,-0.06,0.05,0.22,0.55,-0.26,-0.13,0.03,11.02.03.04
-0.29,0.38,-0.19,0.51,0.01,-0.18,0.13,-0.88,0.17,0.22,-0.12,-0.04,0.14,0.25,-0.96,-0.23,-0.04,0.04,12.04.01
-0.03,0.0491667,0.0491379,0.44,0.01,-0.01,-0.23,0.9,0.4,-0.12,0.48,-0.77,0.14,0.00118644,-0.0742623,-0.130984,0.0155738,-0.032459,16.03.03
-0.18,0.00457249,-0.005,0.21,-0.05,0.38,-0.59,-0.07,0.49,-0.37,0.61,-0.39,0.12,0.31,0.159301,-0.0901103,0.00288321,0.0534672,16.01
-0.45,0.18,0.01,-0.27,0.38,0.29,-0.21,1.12,0.32,-0.16,-0.08,-1.42,0.17,-0.04,0.05,0.08,0.09,-0.01,11.02.03.04
0.01,-0.1,-0.1,-0.54,0.71,0.11,0.08,0.71,0.34,-0.28,-0.29,-0.84,-0.01,0.1,0.28,0.07,0.18,0.08,11.02.03.04
0.55,-0.15,0.12,-0.04,0.24,0.16,-0.12,0.05,0.2,0.14,-0.49,0.41,-0.02,-0.52,-0.27,0.26,-0.08,-0.04,32.01
0,0.19,-0.1,0.42,-0.2,0.25,0.21,0.08,0.15,-0.12,0.08,0.09,-0.14,0.21,0.45,0.03,0.26,-0.14,16.01
0.06,-0.09,0.07,-0.16,-0.02,0.1,0.0572727,0.26,0.33,0.31,0.48,-0.85,0.22,-0.43,0.03,0.01,-0.15,0.05,14.04
0.01,-0.03,0.41,0.24,0.04,-0.23,0.24,-0.01,0.03,-0.06,-0.14,-0.03,-0.28,0.23,0.88,0.39,-0.07,-0.16,14.04
-0.89,-0.53,-0.32,-0.79,0.26,0.05,-2.07,0.66,-0.12,-0.22,0.18,0.47,-0.27,0.58,0.03,0.36,0.31,-0.22,20.09.18
1.33,0.2,-0.01,0.01,0.14,0.3,0.01,0.78,0.56,-0.44,0.35,-0.94,0.01,-0.51,-0.26,-0.04,0.28,-0.07,10.01.05.01
0.08,0.01,-0.42,0.45,-0.02,0.15,0.09,-0.68,0.18,-0.21,0.18,-0.3,-0.02,-0.09,-0.33,-0.21,-0.19,-0.09,20.01.10
0.31,0.91,-0.02,-0.08,1.23,0.18,0.6,0.47,1.26,0.13,-0.45,-1.15,0.53,0.0206516,-1.61,-1.34,0.72,-0.03,11.02.03.04
-0.09,-0.02,0.31,0.14,0.01,0.62,-0.02,-0.19,0.03,-0.14,0.2,0.02,-0.07,0.39,-0.01,-0.29,0.08,0.2,20.09.07.03
-0.4,-0.2,-0.05,-0.33,0.4,0.23,-0.27,0.44,0.39,-0.73,0.14,-0.08,0.09,0.57,-0.03,0.25,-0.31,0.5,01.04
0.11,0.15,-0.06,-0.99,0.75,0.4,-0.3,0.42,-0.45,-0.24,-0.27,0.72,0.04,-0.03,-0.24,-0.21,0.18,-0.22,14.04
0.33,-0.06,0.1,-0.33,0.69,0.59,0.38,0.08,0.33,0.05,-0.54,-0.36,0.02,-0.0610112,-0.06,-0.11,-0.1,-0.19,10.03.01
-0.01,0.06,0.09,0.76,-0.01,0.41,-0.09,-0.18,-0.33,-0.22,-0.1,0.27,-0.02,0.07,-1.08,-0.16,0.08,0.13,01.04
-0.23,0,0.08,-0.21,0.59,-0.12,0.62,0.32,0.24,0.09,-0.55,-0.01,-0.01,0.26,-0.19,0.68,0.38,-0.24,32.01.01
-0.67,0.14,0.17,0.26,-0.4,0.18,-0.1,-0.04,0.31,0.29,-0.07,-0.1,0.21,-0.74,0.7,-0.37,-0.04,0.17,01.04
-1.03,-0.39,0.13,0.25,0.151373,0.311961,0.39,0.256939,-0.7,0,-0.12,0.59,-0.05,0.07,-1.18,-0.13,-0.07,0.13,20.09.18
0.01,0.36,-0.05,-0.12,-1.33,0.0659574,0.05,0.126838,-0.37,-0.25,-0.21,0.01,0.34,-0.06,-1.66,0.65,-0.2,0.34,01.05
0.614,0.11,-0.53,0.196,-0.148,-0.146,-0.15,0.37,-0.47,-1.15,-1.66,0.3,0.68,-0.7,-2.01,-1.65,0.2,0.2,10
-0.1,-0.15,0.08,0.24,-0.27,0.1,0,-0.54,-0.24,-0.07,-0.01,-0.24,0.24,-0.07,-0.94,0.05,-0.46,0.15,01.04
0.46,0.11,-0.2,0.12,0.53,0.1,0.48,0.41,0.03,0.46,0,-0.78,-0.03,-0.25,0.42,0.07,-0.1,0,16.03.01
-0.43,0.19,0.12,0.32,-0.26,0.13,-0.01,-0.07,0.07,0.36,-0.17,0.1,0.0228,0.15,0.28,0.15,0.24,-0.07,11.02.03.04
-0.17,-0.05,0.18,-0.23,-0.00760563,0.09,0.12,0.31,-0.39,0.08,0.3,-0.3,-0.03,-0.25,-0.35,-0.37,-0.05,0.49,16.03.01
-0.07,-0.22,-0.28,-0.09,0.06,0.16,0.19,-0.03,-0.56,0.27,-0.07,0.39,-0.29,0,0.63,-0.11,0.03,-0.11,43.01.03.05
0.32,-0.07,-0.21,-1.18,-0.38,-0.34,-0.36,0.8,-0.43,-0.48,-0.26,0.41,-0.08,0.42,0.72,0.01,0.18,0.26,16.01
0.15,-0.23,-0.2,-0.36,0.18,-0.0110345,0.0831667,0.27,-0.26,-0.36,-0.46,0.01,-0.25,-0.8,-0.05,-0.32,0.2,0.47,01.07.01
0.65,-0.2,0,0.24,0.13,0.32,-0.01,0.39,-0.35,-0.76,0.09,-0.02,0.24,0.09,-0.32,-0.17,-0.06,0.01,01.02
-0.47,0.05,-0.11,-0.02,0.05,-0.06,0.01,0.38,-0.1,-0.07,-0.01,-0.02,0.24,-0.04,1,0.27,0.17,0.02,14.13.01.01
0.14,0.11,-0.1,-0.0112687,-1.25,0.00370787,0.0939394,0.114633,0.07,-0.55,0.09,-1.13,0.46,0.48,-0.5,-0.25,0.17,0.25,01.04
0.14,0.06,-0.23,0.0985319,-0.00599432,0.0155398,0.116083,0.027194,0.11,-0.08,-0.19,-0.17,0.08,-0.29,-0.08,0.14,-0.15,0.17,11.02.03.04
0.21,-0.07,-0.21,-0.45,-0.28,-0.5,0.05,-0.68,-0.3,-0.23,0.13,0.06,0.05,0.36,0.83,0.45,0.05,0.17,10.03.01
0.32,-0.28,-0.38,-2.04,-0.0126966,0.00370787,0.0939394,0.114633,-0.71,-1.37,-0.34,0.57,0.49,1.1,0.34,-0.19,0.09,0.67,01.04
0.34,0.09,0.26,0.13,0.04,0.15,0.01,-0.85,0.49,0.67,-0.7,0.08,-1.01,0,0.25,0.06,-0.15,-0.03,11.02.03.04
1.06,-0.2,0.56,-0.24,-0.03,0.43,0.02,0.47,-0.96,-0.23,-0.25,1.27,-0.2,0.43,-0.32,-0.18,0.36,-0.25,12.01.01
-0.393202,0.02,-0.36,0.07,-0.35,-0.09,0.35,-0.74,-0.33,-0.03,-0.32,0.79,-0.6,0.31,-0.68,-0.27,0.16,-0.23,12.01.01
0.11,-0.04,0.04,-0.38,0.37,0.51,-0.34,-0.49,0.12,0.05,0.19,-0.34,0.31,0.06,-1.36,-0.08,-0.06,-0.08,20.09.18
0.15,0.08,0.29,1.12,-0.63,0.46,-0.01,-0.63,0,0.33,-0.13,0.08,-0.18,-0.05,-1.12,-0.52,0.13,-0.08,12.01.01
-0.06,0.01,0.09,0.16,0.32,0.2,-0.11,0.61,0.05,0.26,0.02,-0.12,-0.03,0.13,-0.31,-0.27,-0.2,0.24,20.09
-0.14,-0.15,-0.02,-0.4,-1.34,-1.04,-0.52,0.26,-0.26,-0.46,-0.23,0.23,-0.18,0.63,0.67,-0.2,0.12,0.15,43.01.03.09
0.7,0.06,0.1,-0.56,-0.131778,-0.0713636,0.224773,0.214186,-0.07,0.24,-0.22,-0.52,0.06,-0.72,-0.43,-0.04,-0.02,0.15,10.01.05.01
0.2,0.01,0.24,0.34,-0.00599432,0.0155398,0.52,0.027194,0.19,-0.37,-0.37,-0.47,0.07,-0.13,1.39,0.05,0.21,-0.07,11.02.03.04
-0.15,-0.62,-0.08,0.17,-0.07,0.2,0.1,-0.81,-0.53,-0.54,-0.32,0.04,-0.02,-0.27,0.2,-0.21,-0.13,0.01,01.06
-0.45,0.12,-0.15,-0.2,0.32,0.2,-0.0679167,1.07,0.18,-0.08,-0.06,-0.27,-0.19,0.23,0.35,0.3,-0.03,0.03,32.01
0.54,0.03,0.21,0.42,-0.07,0.15,0.08,-0.91,-0.06,0.23,-0.05,-0.05,0.19,-0.08,0.42,-0.57,-0.62,-0.06,11.02.03.04
0.01,-0.23,-1.1,0.77,-0.28,-0.44,0.49,-0.22,0.17,-0.15,-0.43,-0.02,0.01,-0.3,0.63,0.34,-0.21,-0.17,34.11.03.07
-0.1,-0.34,-0.09,0.59,-0.06,-0.14,-0.12,-0.81,-0.06,0.13,0.04,-0.03,-0.41,-0.13,0.97,-0.23,0.01,0.01,11.02.03.04
0.2,-0.24,0.28,-0.73,0.27,0.31,0.23,-0.46,-0.35,-0.12,0.02,0.79,-0.54,0.21,1.31,-0.01,-0.15,-0.37,20.01.15
-0.07,0.23,-0.35,0.19,-0.22,0.02,0.1,-0.08,-0.41,0.38,0.64,0.64,-0.72,0.33,-0.46,-0.26,-0.03,-0.04,16.19.03
0.36,-0.09,0.11,0.1925,-0.0742857,0.31625,-0.01375,-0.0825,-0.12,0.19,0.08,-0.6,-0.17,-0.02,-0.01,-0.07,-0.18,-0.18,11.06.02
