@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute cln3-2                                  numeric
@attribute clb2-1                                  numeric
@attribute alpha91                                 numeric
@attribute alpha105                                numeric
@attribute alpha112                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_80                                numeric
@attribute cdc15_100                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_230                               numeric
@attribute cdc15_240                               numeric
@attribute cdc28_10                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_70                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_110                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_150                               numeric
@attribute elu0                                    numeric
@attribute elu30                                   numeric
@attribute elu60                                   numeric
@attribute elu120                                  numeric
@attribute elu300                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-0.15,-1.25,0.07,-0.54,-0.46,0.06,-0.48,0.24,1.83,0.25,0.99,-0.48,0.58,0.1,0.47,-0.08,0.38,-0.19,-0.51,-0.83,-1.66,-1.83,-0.2,0.05,0.03,0.32,0.12,-0.39,20.03
-1.29,-0.64,0.07,-0.01,0.46,0.17,0.102727,0.285455,-0.35,0.39,-0.05,-0.18,-0.04,0.49,0.39,-0.29,0.21,0.11,-0.36,-0.15,-0.098,-0.22,-0.13,0.07,-0.232727,0.25,-0.02,-0.14,01.03.01.03
0.26,-0.29,0.57,-0.16,-0.14,-0.2,-0.0663878,-0.0112687,0.25,0.34,-0.02,0.1,0.15,0.03,0.35,-0.29,-0.21,0.29,0.16,0.25,-0.61,0.0457455,0.62,0.15,0,0.03,-0.13,0.19,01.04
1.3,1.47,-0.51,1.27,1.3,0.05,-1.29,-0.83,1.03,-0.64,1.24,1.79,0.3,-1.15,-0.83,-1.21,0.09,-0.28,-0.78,-0.0591351,0.43,0.3,-1.63,-0.68,0.04,-0.34,0.39,-0.59,11.02.03.04
0.43,0.08,0.01,0,0.47,0.32,0.28,0.27,0,-0.37,-0.06,0.92,0.11,0.17,0.79,-0.08,0.22,0.03,-0.01,-0.07,0.25,0.12,-0.83,-0.77,-0.51,-0.31,0.12,0.08,20.03
0.21,-0.34,-0.01,0.37,0.1,0.48,0.12125,0.62,0.34,0.39,0.03,-0.1,-0.05,0.44,0.09,0.24,0.27,0.13,0,-0.13,0.0664286,0.07,-0.46,-0.15,-0.21,0.27,-0.13,-0.09,11.02.03.01
0.83,-0.76,1.14,0.08,0.4,-0.42,-0.85,-0.31,0.73,0.42,0.15,-0.25,-0.06,0.69,1.18,-0.65,-0.33,-0.11,0,0.23,0.0399099,-0.21,-0.82,-0.17,-0.16,-0.76,-0.16,0.21,01.05
0.36,-0.49,0.21,-0.06,0.47,-0.13,-0.293636,0.0954545,-0.0157143,-0.00136364,-0.0705,0.0731579,0.0527778,0.0809524,0.283,-0.09,-0.22,0.02,-0.22,0.04,-0.014,0.27,-0.53,-0.13,-0.2,0.08,0.04,0.37,01.05.25
0.29,-0.38,1.18,-0.39,0.22,-0.37,0.09,0.22,-0.47,0.79,0.04,-0.5,0.13,1.01,0.73,0.13,0.21,0.95,1.07,0.01,-0.78,0.0170588,-0.91,-0.6,0.09,0.17,0.13,-0.05,16.19.03
0.41,-0.56,-0.29,-0.19,-0.02,0.07,-0.403333,0.15,0.56,0.25,0.4,-0.08,0.37,0.29,0.75,0.04,0.2,0.09,-0.34,0,0.145,-0.28,1.57,-0.52,0.04,0.15,-0.2,-0.56,42.04
0.45,-0.32,-0.12,0.1,-0.05,-0.53,0.305,1.7,-0.62,-0.255,0.87,1.44,-0.13,-0.13,0.65,0.75,-0.5,-0.9,-0.65,0.59,-0.575,-0.88,-0.59,-0.72,-0.3,0.79,-0.2,-0.24,10
-0.45,0.32,-1.69,0.01,0.28,-0.02,-0.0577124,-0.025414,0.53,0.19,0.64,-0.18,-0.15,0.05,0.42,-0.58,0.3,-0.16,-0.13,0.11,0.01,-0.32,-0.06,-0.17,-0.22,0.15,-0.2,0.04,14.04
0.72,-0.94,-0.0897802,-0.32,0.35,-0.59,-0.0647126,0.0220225,0.111978,0.0549451,0.0855435,-0.0246154,0.0851136,-0.114835,0.191889,-1.06,-0.03,0.24,0.14,0.4,0.69,0.000470588,-1.41,0.26,-6.22,0.51,0.19,0.71,42.01
-0.58,-0.18,0.01,-0.19,0.28,-0.15,-0.00844961,0.0514885,-0.116275,-0.0674409,-0.200866,0.0603516,-0.053125,0.175415,0.163586,-0.89,0.04,0.07,-0.04,0.4,-0.07,-0.03,0.61,0.1,-0.01,-0.53,-0.37,0.09,16.01
-0.56,0.08,0.08,-0.3,-0.05,0.38,-0.0725984,-0.21,-0.5,-0.28,-0.5,0.04,-0.7,0.89,0.17,-0.29,-0.01,-0.11,-0.1,0.29,0.0317442,0.15,0.21,-0.19,-0.18,-0.3,-0.05,0.3,43.01.03.05
-0.09,0.14,-0.2,0.11,0.03,-0.12,0.75,0.91,-0.4,0.07,0.07,-0.69,-0.91,0.09,0.04,-0.18,0.19,-0.06,-0.08,0.25,0.0317442,-0.24,-0.02,-0.27,-0.11,0.38,-0.29,-0.04,43.01.03.05
0.54,0.32,-0.06,0.2,0.37,-0.31,-0.09,0.07,0.64,0.12,-0.4,0.42,0.06,-0.54,-0.2,-1.26,0.31,-0.34,-0.28,0.56,0.43,-0.01,-0.31,-0.56,0.1,-0.03,-0.06,0.14,10.03.01.01
-1.09,-0.15,-0.22,-0.29,0.47,-0.14,-0.0663878,-0.0112687,0.41,0.39,0.24,-0.34,0.13,0.16,-0.29,-0.08,0.21,0.07,-0.15,0.06,0.0572674,-0.76,0.16,0.06,0.15,0.45,-0.49,-0.23,01.04
-0.38,0.07,0.19,0.17,0.41,0.11,-0.0577124,-0.025414,-0.015375,-0.00232704,-0.104277,0.0572727,0.000743243,0.0779747,0.115,0.18,0.92,0.8,0.1,-0.28,-0.43,-0.87,-1.18,0.02,0.2,-0.17,0.27,0.2,14.04
-0.07,-0.94,-0.38,-0.2,0.38,0,-0.160448,-0.066,-0.0836364,0.52,-0.0977612,0.112308,-0.0523438,0.122537,0.169077,-0.32,0.68,0.33,0.1,-0.19,0.84,0.094,-0.29,0.14,0.12,0.16,-0.22,0.07,14.10
-0.49,-0.79,-0.32,-0.22,-0.07,0.07,-0.00844961,-0.25,0.06,0.12,-0.04,-0.65,-0.02,0.64,0.52,-1.15,-0.21,-0.06,0.11,0.88,0.65,0.0720703,2.44,0.46,0.36,-0.75,-0.32,0.06,16.01
0.5,-0.74,-0.14,-0.08,0.33,0.25,-0.449677,-0.450968,0.0255172,0.156207,-0.137241,0.0112903,0.00586207,0.0313793,0.228966,-1.2,0.16,0.31,0.07,0.61,-0.08,0.28,0.19,-0.81,-0.18,0,0.03,0.05,42.16
0.12,-0.36,0.33,-0.200861,0.26,-0.21,0.24,0.2,0.03,0.5,0.1,0.33,-0.05,-0.22,0.29,0.15,0.1,0.19,0.13,-0.33,-0.0329412,0.2,0.53,-0.35,0.16,-0.18,-0.07,-0.18,16.01
0.51,-0.86,0.53,-0.13,-0.16,-0.2,-0.8,-0.18,0.02,0,0.24,0.71,-0.0183871,0.31,0.5,-0.91,0.27,0.15,-0.15,0.11,0.0317442,0.04,0.95,0.02,0.2,0.23,-0.33,-0.05,43.01.03.05
-0.51,-0.4,-0.23,-0.03,0.63,-0.25,-0.181158,-0.105625,0.37,0.43,0.04,-0.23,-0.2,0.4,-0.14,-0.3,0.01,-0.38,-0.79,0.152155,0.28,0.33,-0.81,-0.23,0.03,0.45,-0.21,-0.33,12.01.01
0.138182,-0.219622,-0.0042328,-0.03,0.57,0.17,0.19,0.2,0.33,0.09,0.26,-0.3,0.31,0.67,1.02,0.39,0.1,0.13,-0.22,-0.11,-0.11,-0.27,-0.13,0.08,0.01,-0.18,-0.37,-0.14,11.02.03.04
0.78,-0.58,0.38,0.29,0.71,0.23,-0.53,-0.25,0.27,0.75,0.1,0.56,0.45,-0.47,0.39,-0.48,0.56,0.32,-0.01,-0.01,0.41,-0.34,0.31,-0.31,0.12,0.1,0.38,-0.4,10.03.01.01
-0.4,-1.03,-0.04,-0.43,0.4,-0.01,-0.0630769,-0.0452632,0.49,0.62,-0.35,-0.44,0.2,0.18,0.35,-0.44,0.46,0.25,0.22,-0.1,-0.19,0.55,-0.48,-0.2,-0.07,-0.09,-0.03,0.19,01.07.01
-0.86,-0.36,-0.0818421,0.11,-0.19,0.05,-0.47,-0.27,0.5,-0.24,0.41,0.4,0.63,-0.59,-0.45,-0.04,-0.02,-0.08,-0.5,-0.1,0.01,0.0566667,-0.1,-0.25,-0.02,-0.1,-0.06,0.08,32.07
-0.42,-0.25,0.55,-0.25,-0.18,0.13,0.54,0.3,-0.14,-0.28,-0.37,0.13,-0.16,0.1,-0.58,0.34,-0.04,0.06,-0.19,-0.05,0.08,0.02,-0.02,-0.51,-0.02,0.02,0.12,-0.01,01
5.54,-0.67,5.84,-0.05,0.29,0.28,-0.3,-0.04,0.57,0.31,0.84,0.0939394,0.28,0.83,0.89,-0.12,-0.44,-0.57,-0.12,-0.57,0.37,-0.03,0.18,0.21,0.45,0.01,-0.45,0.14,01.04
5.55,3.84,4.62,-0.17,0.69,0.2,-0.530286,-0.664324,0.38,0.36,0.22,-0.35,0.78,-0.11,0.66,0.73,0.05,0.14,-0.16,-1.05,-0.27,-1.05,0.37,-0.17,0.41,-0.06,-0.22,0.24,01.05.02.07
0.82,0.9,-0.86,0.19,0.59,-0.39,-0.0725984,0.0421898,0.0827407,0.0537594,0.016194,0.0686466,-0.0183871,-0.00533333,0.17008,-1.1,0.51,-0.02,-0.24,0.55,0.0317442,-0.84,-0.75,-0.62,-0.145396,0.23,0.23,-0.3,43.01.03.05
-0.47,-0.92,0.39,0.05,0.35,0.18,0.62,0.83,-0.19,-0.46,-0.19,-0.14,0.08,-0.26,-0.64,0.08,0.05,0.24,0.05,-0.4,0.15,0.0488514,-0.82,-0.21,-0.31,0.37,-0.21,0.08,01.05
-0.42,0.1,0.01,0.16,0.19,-0.01,-0.181158,-0.88,0.66,0.57,0.44,-0.58,0.37,-0.19,0.34,-0.05,0.39,-0.09,-0.38,0.3,0.53,0.87,-0.62,-0.76,-0.51,0.05,-0.24,-0.13,12.01.01
-0.2,-0.04,0.2,0.09,-0.11,0.13,-0.138085,-0.20125,0.0870213,0.0653191,0.0329787,0.025,0.0979545,-0.175556,0.150222,-0.95,0.38,0.3,0.07,0.22,0.0905556,-0.39,0.47,-0.6,-0.23,-0.2,-0.08,-0.02,01.06
-0.2,-0.06,0.44,0.1,0.67,-0.42,-0.286667,-0.280645,0.0796774,0.097,0.0313333,0.0316129,0.0255172,-0.18,0.230667,-0.8,0.18,0.17,0.01,0.13,0.0217391,-0.1,0.08,-0.28,-0.09,0.02,-0.09,-0.18,20.09.04
-0.36,-0.37575,0.08,-0.202821,-0.69,-0.8,-0.23,0.24,-0.113784,-0.0130556,0.133684,-0.0313889,-0.0934375,0.19973,0.492973,0.48,-0.2,-0.02,-0.65,0.06,-0.3,0.14,0.11,-0.21,-0.19,-0.02,0.37,-0.26,34.11.03.07
0.58,0.48,0.03,0.23,-0.04,-0.08,-0.173333,-0.3,0.38,0.09,0.7,0.17,0.65,-0.78,0.15,-0.23,-0.07,-0.02,-0.22,0.42,0.00857143,-0.4,-0.22,-0.33,-0.26,-0.01,-0.06,-0.04,20.01.13
0.2,-0.124211,0.45,-0.1865,0.34,-0.06,0.22,0.08,0.44,-0.62,-0.34,0.12,0.52,0.55,0.12,0.1,-0.09,0.07,-0.02,0.34,-0.29,-0.43,-0.65,-0.39,-0.24,-0.17,0.01,0.09,01.06.02.01
-0.64,-0.12,-0.07,0,0.39,0.26,-0.166667,-0.0944737,0.25,0.17,0.07,-0.15,0.46,-0.32,0.27,-0.24,0.52,0.33,-0.01,-0.4,0.16,0.48,-0.09,0.06,-0.14,0.09,-0.25,0.32,32.07
0.15,-0.218,0.43,-0.200861,0.69,0.16,-0.32,-0.6,-0.18,-0.54,0.15,-0.19,0.07,1.05,0.26,-0.35,0,0.1,0.04,0.09,0.11,0.4,-0.56,-0.47,-0.02,-0.3,0.04,0.34,16.01
-0.04,0.38,-0.1,0.25,0.84,0.04,0.00308357,0.0985319,-0.00599432,0.0155398,-0.0980737,0.116083,-0.0210703,0.0642286,0.0624332,-0.92,0.54,0.39,0.16,0.08,0.22,-0.01,-0.51,-0.09,-0.46,-0.34,-0.13,0.2,11.02.03.04
-0.62,-0.61,0.93,0.04,-1.19,-0.06,0.035,0.11,0.2,0.355,0.125,-0.24,0.105,0.145,0.68,-0.25,-0.74,-0.3,0.03,0.53,0.12,0.08,0.5,-0.01,-0.58,-0.92,0.04,0.49,20.01
-0.07,-0.6,0.03,-0.13,0.37,0,-0.0663878,-0.0112687,-0.0126966,0.00370787,-0.0568045,0.0939394,0.0252632,0.0280755,0.189368,-0.38,-0.02,-0.08,0.09,0.31,0.01,0.14,0.86,-0.18,0.1,-0.17,-0.44,-0.18,01.04
-0.07,-0.86,0.41,0.31,0.16,0.12,0.29,0.31,-0.3,-0.35,0.29,0.25,-0.38,0.04,-0.84,-1.57,0.25,0.34,0.3,0.3,-0.21,-0.5,-0.21,-0.27,-0.44,0,-0.44,0.2,11.02.03.04
-0.29,-0.71,-0.04,-0.03,-0.33,0.23,0.297143,0.1925,-0.0742857,0.31625,-0.08375,-0.01375,0.04375,-0.115,0.21,0.17,0.3,0.15,0.09,-0.1,-0.08,0.02,-0.78,-0.22,-0.41,0.62,0.38,-0.2,11.06.02
-0.2,-0.4,0.23,-0.01,0.32,0.13,-0.0647126,0.54,0.05,0.45,-0.19,-0.27,0.69,0.21,-0.04,0.24,0.3,0.75,0.41,0.22,0.1,-0.93,0.15,-0.27,-0.1,0.2,-0.3,0.27,42.01
0.83,0.86,-0.45,0.22,0.16,-0.42,0.31,0.49,0.3,-0.22,0.82,-0.03,-0.17,0.17,1.03,0.69,-0.86,-1.25,-0.58,0.53,-0.34,-0.84,-0.97,-0.41,0.31,0.34,0.38,0.24,14.07
0.69,1.21,-1.36,-0.29,0.19,-0.46,-0.309429,0.0231579,0.05,-0.72,0.65,0.59,-0.46,0.5,0.27,-0.05,-0.08,-0.42,-0.48,0.54,-0.21,-0.49,-0.76,-1.16,-0.43,0.74,-0.23,-0.09,34.11.03.07
0.12,1.26,-0.01,0.31,-0.18,0,-0.9,-0.64,0.76,0.5,0.17,0.07,-0.07,-0.47,0.68,-0.42,0.23,0.17,-0.27,0.04,0.16,0.11,-2.61,-1.8,-1.24,0.01,0.6,0.21,42.01
-1.25,-0.09,0.67,-0.31,-0.08,0.14,0.55,0.26,-0.45,-0.53,-1.48,-0.19,-0.04,0.74,0.74,0.15,0.09,-0.19,-0.51,-0.21,-0.03,0.47,-0.52,-0.48,-0.73,-0.4,-0.29,0.28,16.01
-1.12,-0.6,0.7,0.23,0.12,-0.36,-0.01,0.35,-0.25,-0.29,-0.76,0.29,-0.59,0.44,0,-0.29,0.21,-0.17,-0.55,0.28,0.46,0.4,-0.87,-0.17,0.1,0.62,0.08,-0.16,12.01.01
2.05,1.67,-1.43,0.27,-0.51,-0.8,-0.00130435,1.4,-0.81,-1.68,1.51,1.39,-0.78,-0.23,-0.1,0.11,-0.68,-0.98,-1.04,0.88,-0.06,-0.77,-1.8,-1.43,-0.56,0.96,0.26,-0.3,10.01.05.01
0.21,-0.6,0.08,0.31,0.5,0.05,-0.36,-0.2,0.62,0.49,0.24,0.1,0.22,0.43,0.98,-0.13,0.04,0.13,-0.21,0.05,-0.06,-0.16,-0.31,-0.35,-0.83,-0.26,0.14,-0.04,11.02.03.04
-0.42,-1.06,-0.17,0.04,0.36,-0.21,-0.0577124,-0.025414,-0.015375,-0.00232704,-0.104277,0.0572727,0.000743243,0.0779747,0.115,0.32,-0.11,-0.22,-0.17,0.01,-0.0189583,0.13,-0.18,0.08,0.06,0.12,-0.08,-0.07,14.04
-0.2,-0.06,0.36,0.08,-0.11,0.2,0.03,0.26,0.0796774,0.097,0.0313333,0.08,0.0255172,-0.18,0.230667,0.07,0.27,0.16,-0.1,-0.06,0.0217391,0.46,-0.3,-0.25,-0.04,0.46,-0.04,0.12,20.09.04
-0.38,0.14,0.07,-0.15,-0.24,0.09,-0.317083,1.01,-0.08,0.27,-0.2,-0.44,-0.12,0.21,0.33,0.89,-0.15,0.06,-0.24,-1.13,-0.93,0.43,0.63,0.01,-0.08,0.25,0.71,-0.31,20.09.13
0.1,0.25,-0.14,0.23,0.21,0.44,-0.07,0.04,0.26,0.24,-0.33,-0.45,0.45,-0.08,-0.2,-0.31,0.27,0.31,0.02,0.04,-0.093,0.16,-0.55,-0.1,-0.08,0.11,-0.36,-0.1,01.01.06
-0.45,-0.74,-0.14,-0.33,0.54,0.03,0.176981,0.298929,-0.186296,-0.0846296,-0.19,0.113818,-0.133469,0.0238889,-0.119038,-0.07,0.11,0.1,0.06,-0.22,0.22,0.2,1.36,0.06,0.14,0.22,-0.03,-0.22,16.03.03
-0.62,-0.15,-0.23,-0.03,0.72,-0.06,-0.0647126,0.0220225,0.16,0.2,0.24,0.02,0.02,0.45,-0.24,-1.08,0.27,0.47,0.14,0.09,0.0365672,-0.3,-0.28,-0.24,-0.09,0.01,-0.36,-0.11,42.01
-0.2,-0.56,0.25,-0.02,0.11,0.35,-0.19,0.17,-0.09,0.32,-0.55,-0.13,0,0.32,-0.05,-0.28,-0.33,0.36,0.35,0.22,0.11,0.07,0.56,0,-0.11,-0.31,0.26,0.09,14.13
-0.14,-1.12,-0.32,-0.2,-0.01,0.21,-0.0577124,-0.025414,-0.015375,-0.00232704,-0.104277,0.0572727,0.000743243,0.0779747,0.115,0.09,-0.14,0.17,-0.11,-0.21,0.21,0.16,0.11,-0.04,0.04,0.09,-0.23,0.07,14.04
0.06,-0.07,-0.07,-0.07,0.17,0.25,-0.0185714,0.27,0.29,-0.03,-0.16,-0.03,0.03,0.05,-0.19,-0.07,-0.08,-0.06,-0.13,0.06,0.0624242,-0.2,-0.42,-0.36,-0.25,-0.02,0.05,0.01,10.03.01
0.14,-0.11993,0.01,-0.31,0.3,-0.26,0.38,0.26,0.2,-0.25,0.08,-0.85,0.1,0.06,0.76,0.25,0.15,0.53,0.22,-0.23,-0.46,0.0457455,0.34,-0.35,0.05,0.3,0.01,-0.19,01.04
-0.45,-0.117,1.48,-0.125672,0.34,-0.21,-0.66,-0.91,0.49,0.92,0.21,-0.85,0.56,1.56,1.05,-0.89,0.84,1.22,1.03,-0.38,0.15,-0.127093,-0.19,-0.199959,0.24,-0.44,0.01,0.32,10
-0.92,-0.409319,-0.06,0.27,0.0230928,0.120773,1.05,0.9,-0.2,0.13,-0.12,-0.25,-0.22,0.65,-0.09,0.18,0.28,0.08,-0.02,-0.3,0.229435,0.23,-0.97,-0.31,0.13,0.7,-0.06,0,12.01.01
-0.17,-0.38,-0.51,0.09,0.3,-0.26,-0.163357,-0.151507,0.0475,0.0659574,0.0421277,0.035137,0.0476336,-0.0907801,0.272336,-1.16,-0.37,-0.44,-0.35,0.79,0.51,0.53,-0.28,-0.22,0.07,-0.1,-0.19,0.11,01.05
-0.54,-0.409319,0,-0.133906,0.38,-0.47,-0.4,-0.22,0.26,0.2,0.51,0.1,0.21,0.67,0.92,0.24,-0.07,0.1,0.1,0.19,0.229435,0.05,-0.25,-0.62,0.12,-0.03,-0.16,0.1,12.01.01
-0.56,-0.62,-0.04,-0.25,0.33,0.23,-0.0630769,-0.0452632,0.0225424,-0.0110345,-0.0852632,0.0831667,-0.0385714,-0.0243103,0.111273,-1,0.42,0.09,0.14,0.23,0.0602326,-0.56,-0.29,-0.19,-0.17,0.25,-0.19,0.16,01.07.01
-0.76,-0.06,0.3,-0.14,-0.16,0.36,0.5,0.48,-0.00760563,0.0340845,-0.126479,-0.33,-0.136825,-0.26,0.46,-0.33,0.15,0,-0.18,0.0163235,-0.08,-0.06,1.77,-0.43,-0.38,0.23,0.18,-0.25,16.03.01
-0.36,-0.15,0.14,-0.14,-0.15,0.26,0.4,0.52,-0.63,-0.66,-0.22,0.39,-0.39,-0.14,-0.46,-0.44,0.05,-0.09,-0.07,0.29,-0.0189583,-0.35,0.76,-0.76,-0.31,0.31,0.24,-0.09,14.04
-0.18,-0.42,0.07,0.22,0.03,0.24,0.48,0,0.05,-0.03,-0.77,-0.23,-0.06,0.38,-0.63,-0.19,0.21,0.12,-0.06,-0.15,0.36,0.06,-0.15,-0.38,-0.15,0.29,-0.05,-0.01,42.04
-0.74,-0.84,-0.06,-0.1,0.42,0.36,-0.06,-0.01,0.15,0.09,0.01,-0.08,0.09,0.21,0.24,0.24,-0.27,0.21,0.35,0.12,-0.19,0.000470588,-0.4,-0.1,0.08,0.1,-0.05,0.12,42.01
0.41,-0.51,0.1,-0.33,-0.03,-0.1,0.05,0.1,-0.38,-0.69,-0.11,0.11,-0.11,-0.06,-0.41,0.09,0.13,0.02,0.18,-0.14,0.39,0.55,0.15,-0.11,-0.37,-0.04,-0.41,-0.39,42.16
-0.56,-0.27,0.31,-0.09,0.04,0.07,-0.16,0.1,-0.16,0.08,-0.19,-0.05,0.1,0.28,-0.07,-0.55,0.11,-0.16,-0.6,0.42,0.3,0.15,-1.39,-0.57,-0.16,0.3,-0.11,-0.05,12.01.01
-0.36,-0.58,-0.23,-0.19,0.05,-0.19,-1.25,-0.98,0.59,0.06,0.66,-0.28,0.35,0.48,1.29,-1.56,-1.31,-0.53,0.14,0.68,0.64,0.96,0.14,-0.1,0.05,-0.97,-0.02,0.3,01.06
0.01,-0.76,-0.67,-0.27,0.38,-0.21,0.05,0.04,0.74,0.59,0.04,0.04,0.19,0.3,0.58,-0.03,0.64,0.16,0.21,-0.07,-0.31,-0.0277528,0.08,0,0.2,0.37,-0.02,-0.05,10.03.01
-0.97,-0.15,0.23,0.07,0.47,0.2,-0.38,-0.16,0.48,-0.4,-0.16,0.32,-0.62,0.92,0.21,-0.03,0.23,0.01,-0.42,0.45,0.63,0.58,-1.09,-0.26,-0.15,0.51,-0.11,-0.13,12.01.01
-0.94,-0.69,0.11,0.14,0.45,0.26,-0.62,-0.39,0.38,0.26,-0.1,-0.01,-0.41,0.77,0.48,0.03,0.5,-0.11,-0.46,0.4,0.47,1,-1.1,0.06,-0.44,0.16,-0.03,0.11,12.01.01
