@relation 'cellcycle0.names'
@attribute cln3-2                                  numeric
@attribute alpha7                                  numeric
@attribute alpha98                                 numeric
@attribute alpha105                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_90                                numeric
@attribute cdc15_120                               numeric
@attribute cdc15_150                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_230                               numeric
@attribute cdc28_60                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_120                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_160                               numeric
@attribute elu30                                   numeric
@attribute elu90                                   numeric
@attribute elu120                                  numeric
@attribute elu150                                  numeric
@attribute elu210                                  numeric
@attribute elu300                                  numeric
@attribute elu360                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-0.409319,-0.18,0.22,0.0230928,-0.72,-0.46,-0.04,0.83,-0.02,0.23,0.12,0.18,0.42,0.26,-1.57,-0.43,0.59,0.64,-0.59,0.02,0.37,0.19,0.36,-0.27,-0.08,0.26,12.01.01
-0.94,-0.02,-0.0507692,0.36,-0.51,-0.53,-0.39,0.65,-0.31,0.49,0.77,0.61,0.19,0.09,-0.45,0.44,0.24,0.08,-0.45,0.13,-0.29,0.21,-0.27,-0.12,-0.75,0.17,20.03
-0.4,-0.55,0.36,0.63,-0.181158,-0.105625,-0.2,0.23,-0.17,0.04,-0.05,-0.2,0.4,0.01,1.51,-0.64,0.28,0.47,-0.23,0.25,0.45,0.01,0.33,-0.21,-0.02,-0.33,12.01.01
-0.219622,0.35,-0.7,0.57,0.19,0.2,-0.8,-0.08,-0.17,0.26,0.49,0.31,0.67,0.1,0.14,0.0228,-0.11,0.24,0.08,-0.03,-0.18,-0.21,0.26,-0.37,-0.27,-0.14,11.02.03.04
-0.58,-0.07,-0.25,0.71,-0.53,-0.25,0.1,-0.17,0.27,0.1,0.83,0.45,-0.47,0.56,-0.09,0.17,0.41,0.14,-0.31,-0.16,0.1,0.5,-0.31,0.38,0.1,-0.4,10.03.01.01
-1.03,-0.54,0.21,0.4,-0.0630769,-0.0452632,-0.01,0.37,-0.63,-0.35,-0.18,0.2,0.18,0.46,0.08,0.22,-0.19,0.51,-0.2,0.03,-0.09,-0.18,0.29,-0.03,0.03,0.19,01.07.01
-0.47,-0.42,0.03,-0.17,-0.0942857,-0.59,-0.02,0.51,-0.05,0.25,-0.23,0.37,0.19,0.17,0.65,0.13,0.0609091,0.33,0.01,-0.23,-0.13,-0.53,0.07,-0.45,0.17,0.2,20.09.07
-0.36,-0.25,0.39,-0.19,-0.47,-0.27,0.18,-0.45,0.23,0.41,0.51,0.63,-0.59,-0.02,0.23,0.3,0.01,0.0822222,-0.25,-0.2,-0.1,0.1,0.02,-0.06,-0.18,0.08,32.07
0.55,-0.66,0.12,0.09,-0.0663878,-0.18,0.33,-0.32,0.21,-0.33,-0.38,-0.33,0.04,0.41,0.75,0.0558633,0.09,-0.05,-0.37,0,0.05,-0.24,0.3,-0.39,-0.01,0.15,01.04
-0.25,0.98,0.09,-0.18,0.54,0.3,0.19,-0.72,-0.2,-0.37,-0.11,-0.16,0.1,-0.04,-0.13,0.09,0.08,-0.08,-0.51,-0.26,0.02,-0.01,0.04,0.12,0.25,-0.01,01
-0.67,-0.0397802,0.29,0.29,-0.3,-0.04,-1.15,0.43,0.152283,0.84,1.01,0.28,0.83,-0.44,0.22,0.22,0.37,-0.33,0.21,-0.11,0.01,-0.86,-0.03,-0.45,-0.09,0.14,01.04
0.9,0.25,-0.12,0.59,-0.0725984,0.0421898,-0.0427612,0.0165414,0.172615,0.016194,0.0965116,-0.0183871,-0.00533333,0.51,0.29,0.17,0.0317442,-0.06,-0.62,-0.1,0.23,0.24,-0.1,0.23,0.24,-0.3,43.01.03.05
-0.92,0.28,-0.19,0.35,0.62,0.83,0.39,-0.55,-0.06,-0.19,-0.21,0.08,-0.26,0.05,0.82,0.14,0.15,0.0262162,-0.21,0.34,0.37,0.29,-0.43,-0.21,0.01,0.08,01.05
0.1,-0.6,0.38,0.19,-0.181158,-0.88,0.07,0.86,-0.12,0.44,0.2,0.37,-0.19,0.39,0.214172,-0.13,0.53,0.46,-0.76,-0.21,0.05,0.37,0.46,-0.24,-0.13,-0.13,12.01.01
-0.04,-0.22,-0.15,-0.11,-0.138085,-0.20125,-0.0433333,-0.0456522,0.125833,0.0329787,0.257391,0.0979545,-0.175556,0.38,-0.4,0.23,0.0905556,0.12,-0.6,-0.45,-0.2,-0.08,0.3,-0.08,0.41,-0.02,01.06
-0.49,0.56,-0.2,0.05,-0.3,-1.93,0.67,1.83,-1.1,-1.43,-0.28,0.72,0.41,1.23,0.34,0.01,-0.25,0.25,-1.65,-1.58,-1.15,-0.61,0.39,1.3,1.23,0.88,43.01.03.05
-0.06,-0.64,0.22,0.67,-0.286667,-0.280645,-0.007,0.125333,0.152414,0.0313333,0.104667,0.0255172,-0.18,0.18,0.51,0.01,0.0217391,0.58,-0.28,-0.28,0.02,-0.1,-0.12,-0.09,0.03,-0.18,20.09.04
-0.37575,4.23,-0.98,-0.69,-0.23,0.24,-0.356579,-0.032973,0.212778,0.133684,0.0935294,-0.0934375,0.19973,-0.2,-1.3,0.21,-0.3,-0.02,-0.21,-0.37,-0.02,0.24,-0.09,0.37,-0.32,-0.26,34.11.03.07
0.48,-0.35,0.02,-0.04,-0.173333,-0.3,0.13,0.02,0.28,0.7,-1.08,0.65,-0.78,-0.07,0.11,0.49,0.00857143,-0.14,-0.33,-0.66,-0.01,0.31,0.05,-0.06,0.16,-0.04,20.01.13
-0.124211,-0.52,0.28,0.34,0.22,0.08,-0.48,0.33,0.23,-0.34,0.55,0.52,0.55,-0.09,-0.11,0.26,-0.29,-0.3,-0.39,-0.13,-0.17,0.04,0.58,0.01,0.1,0.09,01.06.02.01
0.38,-0.28,0,0.84,0.00308357,0.0985319,-0.0460724,-0.150625,0.109713,-0.0980737,0.027194,-0.0210703,0.0642286,0.54,-0.35,0.48,0.22,0.09,-0.09,-0.28,-0.34,-0.22,0.16,-0.13,0.29,0.2,11.02.03.04
-0.61,0.41,-0.27,-1.19,0.035,0.11,-0.18,-0.085,-0.055,0.125,0.67,0.105,0.145,-0.74,0.93,0.26,0.12,1.03,-0.01,-0.43,-0.92,-0.75,0.31,0.04,0.76,0.49,20.01
-0.6,0.25,0,0.37,-0.0663878,-0.0112687,-0.0996617,-0.0476604,0.152283,-0.0568045,0.114633,0.0252632,0.0280755,-0.02,0.66,0.21,0.01,0.26,-0.18,-0.03,-0.17,-0.06,-0.22,-0.44,-0.63,-0.18,01.04
-0.71,-0.88,-0.05,-0.33,0.297143,0.1925,0.22875,-0.19,-0.16875,-0.08375,-0.0825,0.04375,-0.115,0.3,-0.03,-0.04,-0.08,-0.22,-0.22,0.13,0.62,0.71,0.05,0.38,-0.44,-0.2,11.06.02
0.86,-0.33,-0.35,0.16,0.31,0.49,-1.43,0.09,0.59,0.82,0.8,-0.17,0.17,-0.86,0.44,0.15,-0.34,-0.69,-0.41,-0.36,0.34,0.38,0.42,0.38,-0.15,0.24,14.07
1.21,1.79,0.08,0.19,-0.309429,0.0231579,-1.27,-0.25,0.66,0.65,0.06,-0.46,0.5,-0.08,0.33,0.0370732,-0.21,-0.44,-1.16,0.31,0.74,0.56,0.23,-0.23,-0.81,-0.09,34.11.03.07
1.26,-1.12,0.67,-0.18,-0.9,-0.64,0.53,0.32,0.05,0.17,0.38,-0.07,-0.47,0.23,-0.05,0.14,0.16,0.16,-1.8,-0.8,0.01,0.6,1.15,0.6,0.52,0.21,42.01
-0.09,-0.36,0.05,-0.08,0.55,0.26,-0.17,-0.84,-0.3,-1.48,-0.23,-0.04,0.74,0.09,0.48,-0.35,-0.03,0.14,-0.48,-0.42,-0.4,-0.01,0.55,-0.29,0.87,0.28,16.01
-0.6,-0.28,0.11,0.12,-0.01,0.35,0.34,-0.54,0.15,-0.76,-0.74,-0.59,0.44,0.21,-1.76,-0.35,0.46,0.62,-0.17,-0.12,0.62,0.52,0.5,0.08,-0.16,-0.16,12.01.01
1.67,-0.86,0.04,-0.51,-0.00130435,1.4,-1.51,-1.25,2.16,1.51,0.57,-0.78,-0.23,-0.68,0.83,-0.0256863,-0.06,-0.39,-1.43,0.26,0.96,0.86,0.7,0.26,-0.49,-0.3,10.01.05.01
-0.6,-0.24,-0.52,0.5,-0.36,-0.2,-1.05,0.31,-0.14,0.24,1.09,0.22,0.43,0.04,0.66,-0.31,-0.06,0.38,-0.35,0.04,-0.26,0.03,0.61,0.14,-0.06,-0.04,11.02.03.04
-1.06,-0.3,-0.18,0.36,-0.0577124,-0.025414,-0.0658974,-0.0716352,0.111154,-0.104277,0.0456129,0.000743243,0.0779747,-0.11,0.46,-0.16,-0.0189583,0.02,0.08,-0.18,0.12,0.19,-0.12,-0.08,0.06,-0.07,14.04
-1.32,-1,-0.78,-0.23,-0.0663878,-0.0112687,-0.0996617,-0.0476604,0.152283,-0.0568045,0.114633,0.0252632,0.0280755,-0.15,1.18,-0.28,0.24,0.55,0.71,-0.23,0.01,0.05,-0.09,0.01,0.2,0.16,01.04
0.14,-0.26,-0.03,-0.24,-0.317083,1.01,-0.43,-0.05,0.17,-0.2,0.53,-0.12,0.21,-0.15,-0.85,-0.58,-0.93,-0.62,0.01,0.22,0.25,0.45,-0.4,0.71,-0.31,-0.31,20.09.13
-0.06,-0.33,-0.05,0.03,0.26,0.49,-3.6,1.21,0.81,0.74,1.19,0.76,0.74,-0.03,0.03,0.38,0.505,0.05,-0.36,-0.02,0.03,-0.12,-0.05,-0.1,-0.12,0.13,14.07.02.02
0.25,-0.57,0.41,0.21,-0.07,0.04,0.46,-0.29,-0.1,-0.33,0.35,0.45,-0.08,0.27,0.5,0.17,-0.093,0.08,-0.1,0.33,0.11,0.11,-0.02,-0.36,0.09,-0.1,01.01.06
-1.4,0.16,-0.05,0.59,-0.530286,-0.664324,-0.23,0.152632,0.12,0.0778947,0.183684,0.203333,-0.115789,-0.72,-0.18,-0.48,0.07,0.77,0.01,0.98,0.01,-0.49,-0.45,-1.82,1.02,1.08,01.05.02.07
-0.74,-0.14,-0.33,0.54,0.176981,0.298929,-0.022,-0.264727,0.235273,-0.19,-0.0892308,-0.133469,0.0238889,0.11,-0.1,-0.0321667,0.22,0.12,0.06,0.12,0.22,-0.12,-0.26,-0.03,-0.14,-0.22,16.03.03
-0.291176,-0.01,-0.18,0.44,0.0305556,0.0235294,0.0186667,-0.104118,0.25,-0.251176,0.054,0.066,-0.0675,-0.05,0.68,0.19,0.1,0.66,0,-0.49,-0.27,0.31,0,0.29,-0.39,0.03,12.07
-0.15,-0.28,0.33,0.72,-0.0647126,0.0220225,-0.04,0,-0.46,0.24,-0.06,0.02,0.45,0.27,0.47,0.22,0.0365672,0.08,-0.24,0.19,0.01,-0.16,0.14,-0.36,0.19,-0.11,42.01
-0.56,-0.15,-0.02,0.11,-0.19,0.17,-0.13,0.04,-0.11,-0.55,0.29,0,0.32,-0.33,-0.11,0.11,0.11,0.44,0,-0.42,-0.31,0,-0.16,0.26,0.12,0.09,14.13
-1.12,0.09,0.03,-0.01,-0.0577124,-0.025414,-0.0658974,-0.0716352,0.111154,-0.104277,0.0456129,0.000743243,0.0779747,-0.14,-0.04,0.2,0.21,-0.6,-0.04,0.31,0.09,0.11,-0.12,-0.23,-0.59,0.07,14.04
-0.07,-0.83,0.4,0.17,-0.0185714,0.27,0,-0.21,0.22,-0.16,-0.11,0.03,0.05,-0.08,0.29,-0.02,0.0624242,-0.38,-0.36,-0.17,-0.02,-0.29,0.15,0.05,0.48,0.01,10.03.01
-0.11993,0.72,0.59,0.3,0.38,0.26,-0.45,0.13,1.18,0.08,0.48,0.1,0.06,0.15,0.38,-0.46,-0.46,0.0343796,-0.35,0.44,0.3,0.19,-0.09,0.01,-0.3,-0.19,01.04
-0.117,1.05,0.00314286,0.34,-0.66,-0.91,0.49,0.66,-0.49,0.21,0.34,0.56,1.56,0.84,0.16,0.15,0.15,-0.118458,-0.199959,-0.85,-0.44,-0.68,0.15,0.01,0.25,0.32,10
-0.409319,-0.88,-0.08,0.0230928,1.05,0.9,-0.2,0.06,-0.22,-0.12,-0.34,-0.22,0.65,0.28,0.45,-0.17,0.229435,-0.23,-0.31,0.39,0.7,0.52,-0.23,-0.06,-0.64,0,12.01.01
-0.38,-0.01,0,0.3,-0.163357,-0.151507,-0.0834266,-0.00971429,0.186596,0.0421277,0.126838,0.0476336,-0.0907801,-0.37,0.17,0.67,0.51,0.92,-0.22,-0.02,-0.1,-0.36,0.19,-0.19,0.31,0.11,01.05
-0.409319,0.45,0.151128,0.38,-0.4,-0.22,-0.81,0.58,-0.01,0.51,0.5,0.21,0.67,-0.07,0.01,0.16,0.229435,0.33,-0.62,0.06,-0.03,-0.08,0.03,-0.16,-0.4,0.1,12.01.01
-0.62,-0.51,-0.18,0.33,-0.0630769,-0.0452632,-0.064386,-0.110702,0.19037,-0.0852632,-0.00175439,-0.0385714,-0.0243103,0.42,0.24,-0.11,0.0602326,0.56,-0.19,0.03,0.25,-0.21,0.18,-0.19,-0.1,0.16,01.07.01
0.77,0,0.29,0.28,-0.76,-0.2,-0.25,-0.08,0.21,0.94,0.9,-0.07,-0.04,0.46,0.26,0.42,0.35,-0.61,-0.4,-0.03,0.25,-0.1,0.16,-0.05,0.1,0.08,43.01.03.05
0.66,-0.7,0.18,0.54,0.25,0.61,-0.03,-0.35,-0.02,-0.25,-0.27,-0.82,0.65,0.06,0.82,-0.39,0.03,0.31,-0.56,0.03,0.42,0.04,0.47,0.11,-0.2,-0.08,14.04
-0.4142,0.2,0.01,0.51,0.11,-0.21,-0.52,-0.47,-0.37,-0.63,0.6,0.45,0.96,-0.43,0.15,-0.14,0.17,0.17,0.07,0.51,-0.47,-0.93,-0.36,-0.87,-0.25,0.05,32.01
0.58,-0.05,0.34,0.46,-0.19,0.19,-0.07,-0.34,0.28,-0.32,-0.09,0.19,-0.23,-0.13,0.39,0.22,-0.0189583,0.32,0.38,-0.02,-0.02,-0.55,0.23,-0.24,0.06,0.24,14.04
-0.15,-0.46,0.21,-0.15,0.4,0.52,0.37,-0.49,0.51,-0.22,-0.54,-0.39,-0.14,0.05,0.36,0.03,-0.0189583,-0.2,-0.76,-0.25,0.31,0.41,0.1,0.24,-0.25,-0.09,14.04
-0.42,-0.86,0.08,0.03,0.48,0,0.72,-0.17,-0.1,-0.77,-0.4,-0.06,0.38,0.21,0.24,-0.09,0.36,0.18,-0.38,0.16,0.29,-0.44,0.06,-0.05,0.1,-0.01,42.04
-0.84,-0.37,-0.12,0.42,-0.06,-0.01,-0.06,0.11,0.27,0.01,-0.27,0.09,0.21,-0.27,0.08,0.48,-0.19,0.0187059,-0.1,-0.01,0.1,-0.37,0.08,-0.05,0.1,0.12,42.01
-0.51,0.01,0.09,-0.03,0.05,0.1,0.19,-0.04,-0.08,-0.11,-0.52,-0.11,-0.06,0.13,-0.09,0.14,0.39,-0.13,-0.11,-0.17,-0.04,-0.04,-0.06,-0.41,0.35,-0.39,42.16
-0.66375,-0.23,-0.12,-0.02,-0.19,0.18,-0.29,0.28,-0.27,0.16,0.13,0.31,0.64,0.48,-0.0174468,0.42,0.35,-0.07,-0.37,0.19,0.09,-0.11,-0.18,0.11,0.01,-0.08,43.01.03.09
-0.27,-0.5,0.28,0.04,-0.16,0.1,0.18,-0.08,-0.01,-0.19,-0.08,0.1,0.28,0.11,-1.49,-0.4,0.3,0.85,-0.57,-0.02,0.3,0.41,0.5,-0.11,-0.06,-0.05,12.01.01
-0.15,-0.5,0.22,0.47,-0.38,-0.16,0.04,0.14,0.04,-0.16,-0.1,-0.62,0.92,0.23,0.214172,-0.39,0.63,1.01,-0.26,0.16,0.51,0.21,0.6,-0.11,-0.08,-0.13,12.01.01
-0.69,-0.28,0.11,0.45,-0.62,-0.39,-0.04,0.35,0.07,-0.1,0.16,-0.41,0.77,0.5,0.214172,-0.29,0.47,0.17,0.06,0.14,0.16,0.14,0.5,-0.03,-0.13,0.11,12.01.01
-0.3,-0.83,0.3,0.24,0.42,0.31,0.23,-0.47,0.09,-0.16,-0.47,-0.05,0.24,0.09,0.34,0,0.11,0.02,-0.06,0.32,-0.14,-0.39,0.14,-0.34,0.08,-0.14,11.02.03.04
-0.45,0.38,-0.14,-0.11,-0.47,-0.26,0.12,-0.3,0.29,0.09,0.18,-0.17,-0.3,-0.02,0.56,0.07,0.0399099,0.32,0.29,-0.26,0,-0.09,0.2,-0.1,0.1,0.21,01.05
-0.143333,0.22,-0.06,0.08,0.297273,0.252727,-0.0163636,0.256364,-0.55,-0.258182,0.00272727,-0.0477778,-0.142727,-0.79,0.8,0.05,0.08,0.11,-0.02,0.47,0.04,0.12,0.04,-0.12,-0.59,0,01.01
