@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute cln3-2                                  numeric
@attribute clb2-1                                  numeric
@attribute alpha91                                 numeric
@attribute alpha105                                numeric
@attribute alpha112                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_80                                numeric
@attribute cdc15_100                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_230                               numeric
@attribute cdc15_240                               numeric
@attribute cdc28_10                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_70                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_110                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_150                               numeric
@attribute elu0                                    numeric
@attribute elu30                                   numeric
@attribute elu60                                   numeric
@attribute elu120                                  numeric
@attribute elu300                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-1.12,-0.409319,0.4,-0.133906,0.0230928,0.24,-0.72,-0.46,0.19,0.59,0.23,-0.18,0.18,0.42,0.27,-0.11,0.26,-0.25,-0.62,0.13,0.59,0.66,-1.49,-0.59,-0.24,0.37,-0.27,0.26,12.01.01
0.81,-0.94,-0.0719231,-0.1,0.36,-0.08,-0.51,-0.53,0.21,0.29,0.49,-0.37,0.61,0.19,1,-0.87,0.09,-0.07,0.29,0.25,0.24,-0.05,0.01,-0.45,0.22,-0.29,-0.12,0.17,20.03
-0.43,-0.47,0.01,-0.25,-0.17,0.33,-0.0942857,-0.59,0.19,0.31,0.25,-0.2,0.37,0.19,0.21,-0.77,0.17,-0.05,-0.09,0.29,0.0609091,-0.06,0.45,0.01,0.2,-0.13,-0.45,0.2,20.09.07
0.21,0.55,0,-0.06,0.09,0.04,-0.0663878,-0.18,-0.06,-0.14,-0.33,0.09,-0.33,0.04,-0.43,-0.44,0.41,-0.26,-0.29,-0.05,0.09,-0.01,-0.31,-0.37,-0.12,0.05,-0.39,0.15,01.04
0.48,-0.49,2.62,0.86,0.05,1.46,-0.3,-1.93,0.57,1.71,-1.43,-0.93,0.72,0.41,1.22,-1.49,1.23,1.23,1.25,-0.57,-0.25,0.66,-1.2,-1.65,-1.2,-1.15,1.3,0.88,43.01.03.05
-1.74,-1.32,3.68,-0.5,-0.23,-0.2,-0.0663878,-0.0112687,-0.0126966,-0.3,-0.0568045,0.0939394,0.0252632,0.0280755,0.189368,-0.18,-0.15,-0.19,-0.31,0.0682746,0.24,0.8,-1.49,0.71,0.14,0.01,0.01,0.16,01.04
-0.1,-0.06,0.18,-0.13,0.03,0.03,0.26,0.49,0.94,1.66,0.74,0.83,0.76,0.74,1.02,-0.61,-0.03,0.12,0.21,0.12,0.505,-0.22,0.14,-0.36,0.1,0.03,-0.1,0.13,14.07.02.02
-0.3,-1.4,-0.04,0.01,0.59,-0.16,-0.530286,-0.664324,0.0434211,0.124474,0.0778947,-0.16,0.203333,-0.115789,0.353889,0.46,-0.72,0.28,-0.48,-0.27,0.07,-0.37,0.31,0.01,0.74,0.01,-1.82,1.08,01.05.02.07
0.134211,-0.291176,0.15,0.18,0.44,0.32,0.0305556,0.0235294,-0.11,0.0764706,-0.251176,0.115556,0.066,-0.0675,0.0613333,-1.17,-0.05,-0.28,-0.06,0.75,0.1,-0.27,0.21,0,-0.07,-0.27,0.29,0.03,12.07
0.76,0.77,-0.58,-0.05,0.28,-0.53,-0.76,-0.2,0.35,-0.02,0.94,0.22,-0.07,-0.04,0.21,-0.66,0.46,-0.55,-0.4,0.48,0.35,-0.36,-0.17,-0.4,-0.14,0.25,-0.05,0.08,43.01.03.05
-0.0027381,0.66,-0.71,-0.07,0.54,-0.03,0.25,0.61,0.57,0.07,-0.25,0.12,-0.82,0.65,-1.05,-0.26,0.06,-0.22,-0.4,0.19,0.03,0.17,-0.61,-0.56,-0.14,0.42,0.11,-0.08,14.04
-0.36,-0.4142,0.32,-0.06,0.51,-0.36,0.11,-0.21,-0.05,-0.37,-0.63,-0.58,0.45,0.96,1.28,0.72,-0.43,-0.4,-0.49,-0.25,0.17,0.1,2.08,0.07,0.44,-0.47,-0.87,0.05,32.01
0.36,0.58,-0.09,-0.1,0.46,-0.19,-0.19,0.19,-0.44,-0.28,-0.32,0.12,0.19,-0.23,0.17,-0.69,-0.13,0.06,0.2,0.31,-0.0189583,-0.02,-0.28,0.38,-0.09,-0.02,-0.24,0.24,14.04
-0.67,-0.66375,-0.22,-0.29,-0.02,0.09,-0.19,0.18,0.54,0.54,0.16,0.01,0.31,0.64,0.81,-0.75,0.48,-0.12,0.05,-0.37,0.35,-0.32,0.53,-0.37,0.01,0.09,0.11,-0.08,43.01.03.09
0.74,-0.143333,0.25,-0.15,0.08,-0.11,0.297273,0.252727,0.0272727,0.0836364,-0.258182,-0.16,-0.0477778,-0.142727,0.55,0.26,-0.79,-0.29,-0.67,-0.18,0.08,-0.01,-0.02,-0.02,-0.12,0.04,-0.12,0,01.01
0.69,0.04,0.24,-0.06,0.35,-0.16,-0.255714,-0.21125,0.44875,0.50625,0.1175,0.01125,0.372857,-0.0985714,0.447143,0,0.18,0.3,0.13,-0.12,-0.32,-0.1,-0.28,-0.46,0.49,-0.43,-0.44,0.12,20.01.01.01
0.07,-0.64,0.39,-0.21,-0.02,-0.18,0.16,-0.32,0.14,0.5,-0.36,0.21,0.02,0.64,0.34,-0.53,0.33,0.23,0.04,0.06,-0.08,-0.28,-0.33,-0.28,-0.02,0.29,-0.06,-0.02,11.04.01
-0.34,-0.58,-0.14,-0.27,-0.04,-0.29,-0.0663878,-0.0112687,-0.0126966,0.00370787,-0.0568045,0.0939394,0.0252632,0.0280755,0.189368,0.21,-0.04,0.27,0.13,-0.08,-0.42,-0.11,0.04,-0.05,-0.2,0.04,-0.01,0.01,01.04
0.74,0.71,0.2,0.19,0.05,-0.27,-0.0663878,-0.0112687,-0.0126966,0.00370787,-0.0568045,0.0939394,0.0252632,0.0280755,0.189368,0.25,0.02,0.07,-0.01,0.17,-0.29,-0.39,-0.62,-0.15,-0.37,0.18,0.08,0.14,01.04
0.138182,-0.81,0.21,-0.19,0.39,0.06,0.07,0.15,-0.62,0.3,-0.45,-0.08,-0.52,1.07,-0.25,-0.3,-0.04,0.58,0.24,-0.19,0.00829787,0.35,0.83,-0.03,0.11,-0.37,0.07,-0.02,11.02.03.04
-0.4,-0.36,-0.42,-0.18,0.22,0.02,-0.43,-0.43,-0.17,-0.29,-0.21,0.22,-0.62,1.08,0.03,-0.55,0.23,-0.22,-0.17,0.25,0.229435,0.17,0.19,-0.14,0.16,0,0.22,-0.03,12.01.01
-0.32,-0.29,-0.42,-0.19,0.28,-0.34,-0.55,-0.37,0.42,-0.26,0.2,-0.41,0.18,1.04,1.3,0.06,-0.05,0.27,0.06,-0.34,-0.81,-0.58,0.06,0,0,-0.17,-0.07,0.22,01.03.01
0.61,0.08,0.1,0.08,0.36,0.03992,-0.24,-0.11,0.01,0.49,0.2,0.01,0.28,0.63,0.39,-0.34,0.04,0.19,-0.32,-0.24,0.00829787,-0.52,-0.01,-0.03,-0.07,0.12,-0.02,-0.13,11.02.03.04
-0.2,-0.3,-0.64,0.07,0.31,-0.12,-0.47,-0.41,0.34,0.19,0.87,-0.34,0,1.49,0.73,0.58,0.35,0.68,0.37,-0.16,0,-0.14,-0.13,-0.09,0.2,0.17,-0.08,0.05,01.05
-0.71,-0.38,0,0.02,0.08,0.05,-0.286667,-0.280645,0.0796774,0.097,0.0313333,0.0316129,0.0255172,-0.18,0.230667,-0.27,-0.19,0.07,-0.21,0.21,0.19,-0.08,0.47,0.15,0.08,-0.04,0.05,-0.39,20.09.04
-0.79,-0.43,0,-0.09,0.47,0.06,-0.57,-0.105625,0.0172487,0.114681,-0.151526,0.114518,-0.256995,0.131164,-0.0840107,0.19,-0.12,-0.09,-0.49,0.17,0.28,0.49,-0.79,-0.09,0.33,0,0.1,-0.31,12.01.01
0.86,0.18,-0.6,0.02,0.2,-0.36,-0.18,0.51,0.01,0.25,0.74,0.71,-0.14,0.46,0.77,0.62,0.05,-0.3,-0.07,0.12,-0.46,-0.44,-1.54,-0.41,0.07,0.18,0.2,0.18,10.01.05.01
0.68,1.2,-0.62,0.14,-0.5,-0.28,0.45,1.98,-0.13,-0.58,0.52,0.29,-1.58,0.26,0.31,0.86,-0.84,-1.11,-0.24,0.54,0.0624242,-0.47,-0.71,0.26,0.19,-0.18,-0.18,0.35,10.03.01
-0.49,0.15,0.53,-0.39,0.27,-0.06,-0.78,0.08,-0.17,0.04,-0.0568045,0.98,0.0252632,-0.06,0.56,-0.35,-0.27,0.02,-0.08,0.15,0.0572674,0.14,-0.04,-0.06,-0.08,-0.47,0.92,0.15,01.04
-0.36,0.06,0.12,-0.25,-0.25,-0.01,-0.00844961,0.0514885,-0.116275,-0.0674409,-0.200866,0.0603516,-0.053125,0.175415,0.163586,-0.36,0.15,-0.07,-0.07,0.14,-0.0329412,-0.17,-0.36,-0.14,-0.55,0.2,-0.36,-0.07,16.01
0.2,-0.71,0.03,-0.16446,-0.08,0.19,-0.0663878,-0.0112687,-0.0126966,0.00370787,-0.0568045,0.0939394,0.0252632,0.0280755,0.189368,-0.75,-0.12,0.28,0.36,0.23,-0.01,0.0457455,0.7,0.09,-0.06,0.16,0.28,-0.13,01.04
-0.14,-0.04,0.42,-0.24,-0.05,0.41,-0.0663878,-0.0112687,-0.0126966,0.00370787,-0.0568045,0.0939394,0.0252632,0.0280755,0.189368,-0.08,-0.25,-0.18,-0.21,0.27,0.34,0.19,0.29,0.11,0.11,-0.08,0.05,0.3,01.04
-0.29,-0.18,-0.56,-0.25,0.14,0.05,-0.25,-0.48,0.0255172,0.156207,-0.137241,0.08,0.00586207,0.0313793,0.228966,-0.74,0.04,-0.16,-0.2,0.15,0.124762,0.96,-1.5,-0.44,0.22,-0.21,0.39,0.03,42.16
-0.43,-0.34,-0.25,-0.12,0.21,-0.09,-0.07,-0.21,0.0172487,0.114681,-0.03,0.99,-0.256995,0.131164,-0.0840107,0.38,-0.11,0.09,-0.02,0.07,0.22,0.13,-0.18,-0.25,0.08,-0.2,0.41,0.04,12.01.01
0.06,-0.69,0.06,-0.19,-0.19,-0.17,-0.04,-0.16,-0.01,-0.26,-0.38,0.39,-0.3,-0.15,-0.08,0,-0.25,-0.17,-0.05,0.27,0.48,0.57,0.78,-0.32,-0.07,-0.19,0.3,-0.01,12.01.01
-0.0873684,0.08,-0.23,-0.07,0.07,0.1,0.15,0.1,-0.29,-0.37,0.02,0.49,-0.42,0.54,-0.12,0.02,0.06,-0.15,-0.27,0.37,0.16,0.01,0.03,0.03,-0.13,0.12,0.03,0.05,32.07
-0.67,-0.49,-0.23,0.02,0.35,-0.03,-0.02,-0.32,-0.32,-0.28,0.1,0.03,-0.08,0.96,0.23,0.27,-0.38,0,0.09,0.34,0.32,0.25,-0.37,-0.46,-0.24,-0.21,-0.14,0.25,12.01.01
-0.32,-0.76,-0.43,0.07,0.38,-0.18,0.00308357,0.0985319,-0.00599432,0.0155398,-0.0980737,0.116083,-0.0210703,0.0642286,0.0624332,0.43,0.13,-0.03,0.02,-0.06,-0.02,-0.34,-0.34,-0.111979,-0.02,0.12,-0.09,0.11,11.02.03.04
-0.14,-0.97,-0.25,-0.2,-0.14,0.1,-0.3,0.02,-0.39,1.31,-0.44,-0.47,0.26,0.31,0.08,0.1,-0.22,0.25,0.28,-0.19,0.00829787,0.04,0.9,-0.17,0.05,0.31,-0.13,-0.19,11.02.03.04
-0.42,0.38,0.1,-0.3,-0.07,0.06,-0.56,-0.76,0.27,-0.34,-0.1,-0.07,0.43,-0.41,0.01,-0.44,-0.03,-0.29,-0.3,-0.00666667,0.57,0.94,-0.7,-0.85,-0.49,-0.21,0.23,0.39,01.01.06
0.2,-0.29,0.29,-0.24,-0.11,-0.06,-0.03,0.58,-0.58,-0.2,0.13,-0.15,0.05,0.17,0.41,0.64,-0.35,-0.24,0.34,0.19,-0.19,-0.37,-0.63,0.19,-0.27,-0.3,-0.21,0.17,01.04
0.5,-0.29,0.24,-0.09,-0.04,-0.18,0.39,0.63,-0.41,-0.7,-0.17,0.3,-0.57,-0.35,0.08,0.36,-0.24,0.08,0.26,-0.3,-0.03,-0.48,-0.45,-0.4,0.02,0.19,0.08,-0.03,11.02.03.04
-1.09,-0.74,-0.22,0.13,0.51,0.02,-0.07,0.04,0.26,0.24,-0.33,-0.26,0.04,-0.08,-0.2,0.16,0.19,-0.06,0.27,-0.29,-0.093,0.08,-1.86,-0.38,0.43,0.55,-0.01,-0.22,01.01.06
1.16,1.45,-0.51,-0.178207,0.21,0.11,0.67,-0.06,0.48,-0.26,0.19,0.22,-0.37,-0.41,-0.51,0.01,0.24,-0.27,-0.32,0,0.0399099,0.19,-0.87,-0.59,-0.45,0.03,0.13,0.22,01.05
0.48,0.69,1.06,-0.26,0.05,0.03,-0.27,0.29,0.02,0.13,-0.47,0.1,-0.63,0.38,0.98,-1.04,-0.14,0.19,0.54,-0.08,-0.42,-0.02,-0.54,-0.24,-0.01,0.34,-0.33,0.15,01.05.25
0.52,-0.49,-0.42,-0.35,0,-0.22,-0.24,0.22,0.62,-0.31,-0.14,-0.1,0.73,0.53,0.189368,0.03,-0.13,0.19,0.44,0.11,0.0572674,-0.22,-0.42,0.15,-0.48,-0.2,-0.32,-0.03,01.04
-0.18,0.14,-0.22,-0.24,-0.11,0.51,-0.27,-0.54,0.32,0.29,0.43,0.22,0.33,-1.68,-0.16,0.18,0.46,-0.53,-0.18,-0.18,0.49,0.59,0.12,-0.34,-0.15,0.09,0.45,-0.05,01.06.02.01
0.41,-0.1,-0.32,-0.06,0.16,0.32,0.06,0.15,0.36,0.89,0.03,0.19,0.13,-0.43,-0.25,-0.51,0.23,-0.14,-0.01,0.08,0.41,0.22,-0.14,-0.21,-0.19,0.14,0.06,0.02,11.02.03.04
0.03,-0.42,-0.27,-0.17,-0.07,0.21,-0.12,0.17,0.13,0.13,-0.82,0.09,-0.19,-0.38,0.19,-0.12,0,-0.14,0.57,-0.12,-0.33,-0.01,0.34,-0.08,0.02,0.07,0.18,0.04,01.04
0.23,-0.58,0.12,-0.12,-0.31,-0.19,-0.39,-0.44,0.22,0.37,0.19,0.04,-0.58,0.04,-0.08,-0.15,0.02,-0.35,-0.06,-0.15,0.44,0.71,-0.11,-0.43,0.11,-0.29,-0.16,-0.07,14.10
-0.295714,0.4,0.05875,0.15,0.55,-0.34,-0.72,-0.49,0.85,0.4,0.52,-0.1,-0.37,-0.16,0.05,-0.37,-0.3,-0.22,-0.44,0.23,0.36,0.22,-1.24,-0.45,0.07,-0.07,-0.15,-0.16,12.04
0.138182,-0.38,-0.0042328,-0.17,-0.22,-0.06,0.14,0.33,-0.71,-0.31,-0.74,0.04,-0.09,0.11,0.18,0.28,0.16,-0.3,-0.07,-0.07,0.00829787,0.56,-0.08,-0.6,-0.27,-0.03,-0.2,0.14,11.02.03.04
-0.182222,1.34,-0.13,-0.13,-0.4,-0.24,-0.02,-0.03,-0.48,-0.29,0.5,0.46,0.39,-1.02,0.2,0.22,-0.46,-0.27,-0.15,0.37,-0.05,-0.32,-0.66,-0.58,-0.21,0.55,0.33,0.28,01.03.01
0.67,-0.07,0.33,-0.32,-0.03,0.36,0.28,0.26,0.47,0.41,-0.54,-0.02,-0.01,-0.83,0.18,-0.2,0.31,0.3,0.31,-0.06,0.0317442,-0.11,0.54,0.09,-0.07,0.14,-0.03,-0.06,43.01.03.05
0.14,-0.84,-0.0042328,-0.115941,0.11,0.22,0.03,0.03,0,0.03,-0.31,-0.04,-0.48,0.39,0.01,-0.65,-0.39,0.31,0.16,0.16,0.46,0.31,1.47,-0.02,-0.07,-0.23,-0.18,0.18,11.02.03.04
0.4,-0.4,-0.0802,-0.08,0.05,-0.08,0.31,0.1,-0.34,-0.43,-0.32,0.37,-0.36,-0.58,0.08,0.22,0.01,-0.37,-0.35,-0.22,0.45,0.48,-0.82,-0.42,-0.49,-0.14,0.11,0.3,01.06
-0.25,-0.32,-0.25,-0.17,0.24,0.24,-0.47,0.04,0.58,0.53,-0.16,0,0.07,0.65,0.31,0.02,-0.04,-0.21,-0.43,0.32,0.68,0.75,-0.91,0.05,-0.34,0.43,0.33,-0.34,12.01.01
-0.71,-0.67,0.32,0.37,-0.11,-0.16,-0.16,-0.03,0.34,0.04,0.37,0.13,0.51,0.47,0.91,0.34,0.25,-0.47,-0.28,-0.19,0.00645161,0.68,0.43,0.16,0.05,-0.28,0.17,0.18,11.04.01
-0.43,-0.38,-0.38,0.08,0.15,-0.12,-0.92,-0.09,0.25,0.33,0.47,0.27,0.62,1.06,0.81,-0.12,-0.17,0.1,0.19,-0.03,-0.0329412,0.35,0.07,-0.35,-0.24,-0.13,0.13,0.12,16.01
-0.23,1.84,-0.14,0.13,0.14,-0.56,-0.28,-0.36,0.13,0.48,0.08,0.69,0.0252632,0.14,0.189368,-0.29,-0.57,-0.74,-0.55,0.89,0.0572674,-0.66,-1.69,-1.24,-0.84,0.44,0.11,0.3,01.04
0.43,0.25,0.3,0.03,-0.14,0.24,-0.42,-0.62,0.46,0.42,-0.16,0.22,-0.32,0.49,-0.3,-0.37,-0.3,-0.5,-0.3,0.07,0.41,0.14,-0.15,-0.5,-0.36,-0.18,0.06,0.11,16.01
-0.22,-0.64,0.04,-0.49,-0.34,-0.29,-0.24,-0.34,-0.26,0.02,0.03,-0.28,-0.133469,1.05,0.78,0.19,-0.38,-0.46,0.14,0.32,0.0378049,0.57,-0.57,-0.21,0.02,-0.04,0.26,-0.1,16.03.03
-0.06,-0.89,-0.12,0.06,-0.01,-0.06,0.78,0.77,-0.12,-0.02,-0.67,0.05,-0.52,0.2,-0.57,0.54,-0.06,0.27,-0.04,-0.13,-0.0277778,0.19,0.56,0.67,0.13,0.23,-0.14,-0.4,01.03.04
0.08,0.01,0.5,-0.38,0.02,0.07,-0.44,-0.46,0.22,0.43,0.45,-0.32,0.48,0,0.15,-0.16,-0.2,0.03,-0.29,0.0352652,-0.21,0.5,-0.4,0.13,-0.38,0.01,0.04,-0.01,16.01
-0.22,0.2,0.15,-0.19,-0.2,0.15,0.43,0.13,-0.2,0.06,-0.38,-0.06,-0.0060301,-1.21,-0.27,-0.07,0.01,0.35,0.09,0.06,0.0438927,0.41,-1.5,-0.11,-0.02,0.75,-0.07,0.17,01
-0.71,-0.62,0.44,-0.15,-0.01,0,0.14,0.17,-0.5,-0.08,-0.44,0.42,-0.14,-0.53,-0.36,0.42,-0.32,0.15,0,-0.36,0,-0.36,0.51,-0.03,0.18,-0.14,0.17,0.06,20.01.07
-0.22,-0.36,-0.03,-0.11,-0.25,-0.12,-0.46,0.05,-0.2,-0.09,0.31,0.34,0.37,-0.67,0.35,-0.05,-0.84,-0.12,-0.4,0.77,0.57,0.26,-0.19,-0.03,-0.43,0.03,0.19,0.12,20.03
0.37,-1.32,0.32,-0.26,0.2,0.65,-0.95,-0.65,0.09,1.29,0.02,-0.75,1.13,0.09,0.55,-0.83,-0.22,0.19,0.22,-0.09,1.11,0.93,0.01,1.63,-0.06,-0.62,0.33,0.46,20.09.18
-0.18,-0.190182,0.4,-0.194908,0.0145181,-0.00580838,0.01,0.36,-0.5,0.01,-0.34,0.37,-0.34,-0.59,-0.42,0.11,-0.05,0.03,-0.21,-0.24,-0.09,0.1,0.0559763,-0.131437,-0.100473,-0.0212426,0.00597633,0.0455952,14.04
-0.32,0.61,-0.62,-0.24,0.07,-0.22,-0.21,-0.19,-0.15,-0.31,-0.29,0.06,-0.85,0.43,-0.21,0.14,-0.84,-0.23,0.02,0.5,-0.0542857,0.58,1.33,0.26,-0.29,-0.06,0.08,-0.1,14.13.01.01
-0.15,-0.409319,0,-0.133906,0.0230928,0.120773,-0.32,0.11,0.37,0.25,-0.44,0.44,-0.7,0.1,-0.25,-0.05,0.37,0.24,-0.35,-0.12,0.13,0.37,-0.504286,-0.280102,-0.0580612,0.275939,0.0511224,-0.17066,12.01.01
0,-0.67,0.18,-0.53,-0.57,0.17,-0.43,-0.37,-0.49,-0.43,-0.35,-0.04,0.15,-1.13,0.72,-0.2,-0.25,0.14,-0.18,-0.13,0.08,0.3,-0.05,-0.14,0.09,0.06,0.15,0.11,32.01
-0.71,-0.12,0.32,-0.03,0.28,0.04,-0.309429,0.0231579,-0.113784,-0.0130556,0.133684,-0.0313889,-0.0934375,0.19973,0.492973,-0.1,0.01,0.24,0.04,-0.27,0.0317857,-0.18,0.13,-0.04,-0.37,-0.01,0.1,0.08,34.11.03.07
-0.2,0.15,-0.38,0.28,0.44,-0.0457931,-0.0663878,-0.0112687,-0.0126966,0.33,-0.0568045,0.0939394,0.0252632,0.0280755,0.189368,-0.0662373,-0.0293878,-0.065529,-0.0181293,0.0682746,0.0572674,0.0457455,-0.43,-0.18,-0.02,-0.43,0.15,0.35,01.04
0.034375,-0.45,0.14,-0.21,0.18,0,-0.04,-0.19,-0.11,-0.33,-0.19,0.03,-0.03,0.26,-0.14,0,-0.01,0.07,-0.04,0.08,0.05,0.124839,0.25,0.42,-0.02,0.06,-0.09,-0.02,12.10
0.07,-0.09,0.33,-0.26,-0.15,0.2,0.09,0.17,0.27,-0.46,-0.56,0.16,-0.09,-0.05,-0.36,0.09,0.09,0.19,-0.23,-0.26,-0.0329412,0.01,0.68,0.12,-0.12,0.04,0.12,-0.18,16.01
0.16,-0.06,-0.27,-0.16,0.11,0.04,0.2,0.31,-0.02,-0.22,-0.15,0.44,-0.61,0.67,-0.38,0.04,-0.13,0.04,-0.16,-0.2,0.0773913,0.42,0.45,0.04,0.11,0.35,0.25,-0.14,11.04.03.01
0.84,1.3,-0.69,0.23,0.12,-0.23,0.07,0.11,0.75,0.14,0.67,0.46,-0.43,-0.24,-0.15,-0.25,-0.34,-0.16,-0.39,0.59,0.0317442,0.07,-1.01,-0.34,-0.01,0.41,0.45,-0.18,43.01.03.05
0.07,0.3,0.15,-0.1,0.09,0.06,-0.38,-0.4,0.36,0.24,0.27,0.06,-0.053125,0.12,0.65,0.05,0.43,0.55,0.01,-0.18,-0.0329412,-0.13,0.11,-0.08,-0.13,-0.26,-0.13,0.12,16.01
-0.23,0.16,-0.23,-0.02,0.35,-0.35,0.25,0.08,0.28,-0.3,-0.44,0.41,-1.01,-0.48,-0.42,-0.06,0.19,0.01,-0.11,0.19,0.19,0.12,0.64,-0.09,0.05,-0.17,0,0.22,14.07.05
