@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute clb2-2                                  numeric
@attribute alpha0                                  numeric
@attribute alpha14                                 numeric
@attribute alpha77                                 numeric
@attribute alpha112                                numeric
@attribute alpha119                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_160                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_210                               numeric
@attribute cdc15_250                               numeric
@attribute cdc28_0                                 numeric
@attribute cdc28_10                                numeric
@attribute cdc28_50                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_110                               numeric
@attribute cdc28_120                               numeric
@attribute cdc28_140                               numeric
@attribute cdc28_150                               numeric
@attribute elu0                                    numeric
@attribute elu60                                   numeric
@attribute elu90                                   numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-0.58,0.2,0.06,0.07,0.25,-0.15,0.2,-0.00844961,0.0514885,-0.0166284,-0.200866,-0.0293117,-0.053125,0.00596899,0.158598,0.26,-0.89,-0.49,0.04,-0.04,0.4,-0.00847656,-0.08,-0.03,0.61,-0.01,0.13,0.09,16.01
-0.56,-0.22,-0.16,0.23,0.05,0.38,-0.03,-0.0725984,-0.21,-0.23,-0.5,-0.23,-0.7,0.19,0.88,-0.14,-0.29,-0.45,-0.01,-0.1,0.29,-0.05,0.16,0.15,0.21,-0.18,-0.53,0.3,43.01.03.05
-0.09,-0.69,0.15,-0.09,0.41,-0.12,0.05,0.75,0.91,0.93,0.07,-0.19,-0.91,-0.98,0.38,-0.82,-0.18,0.05,0.19,-0.08,0.25,0.06,-0.11,-0.24,-0.02,-0.11,0.16,-0.04,43.01.03.05
0.54,-0.74,-0.43,0.3,0.03,-0.31,-0.08,-0.09,0.07,0.49,-0.4,-0.13,0.06,-0.04,-0.3,-0.86,-1.26,0.66,0.31,-0.28,0.56,0.76,0.01,-0.01,-0.31,0.1,-0.06,0.14,10.03.01.01
-1.09,0.04,0.09,-0.02,-0.17,-0.14,0.33,-0.0663878,-0.0112687,-0.0415985,0.24,0.19,0.13,-0.16,-0.42,-0.18,-0.08,-0.32,0.21,-0.15,0.06,-0.12,0.01,-0.76,0.16,0.15,0.29,-0.23,01.04
-0.07,-0.58,-0.24,0.1,0.32,0,0.12,-0.160448,-0.066,-0.0201471,-0.0977612,0.0141538,-0.0523438,-0.0119403,-0.52,0.04,-0.32,-0.07,0.68,0.1,-0.19,0.29,0.24,0.094,-0.29,0.12,0.29,0.07,14.10
-0.49,-0.3,0.25,0.66,-0.04,0.07,0.05,-0.00844961,-0.25,-0.4,-0.04,0.31,-0.02,-0.15,0.69,0.0146209,-1.15,-0.59,-0.21,0.11,0.88,0.68,0.78,0.0720703,2.44,0.36,-0.26,0.06,16.01
0.5,-0.54,-0.14,-0.02,-0.04,0.25,-0.19,-0.449677,-0.450968,-0.314194,-0.137241,0.113214,0.00586207,0.0477419,0.0648485,0.37,-1.2,0.08,0.16,0.07,0.61,0.65,0.08,0.28,0.19,-0.18,-0.1,0.05,42.16
0.51,-0.45,0.05,0.02,0.0784559,-0.2,-0.2,-0.8,-0.18,0.18,0.24,0.44,-0.0183871,-0.02,-0.24,-0.98,-0.91,0.22,0.27,-0.15,0.11,0.3,0.07,0.04,0.95,0.2,0.26,-0.05,43.01.03.05
-1.12,0.0290476,0.08,-0.45,-0.0894271,0.24,-0.0271204,-0.72,-0.46,-0.11,0.23,0.12,0.18,-0.04,-0.48,-0.52,-0.11,-0.55,0.26,-0.62,0.13,-0.43,0.85,0.66,-1.49,-0.24,0.02,0.26,12.01.01
0.81,-0.315,-0.02,0.11,-0.15,-0.08,0.18,-0.51,-0.53,-0.11,0.49,0.77,0.61,-0.53,-0.57,0.35,-0.87,-0.31,0.09,0.29,0.25,0.44,0.35,-0.05,0.01,0.22,0.13,0.17,20.03
-0.51,0.15,0.02,-0.14,0.13,-0.25,0.08,-0.181158,-0.105625,-0.0440415,0.04,-0.05,-0.2,-0.11,-0.18,-0.29,-0.3,-1,0.01,-0.79,0.152155,-0.64,0.59,0.33,-0.81,0.03,0.25,-0.33,12.01.01
0.138182,-0.241054,-0.14,-0.06,0.32,0.17,0.26,0.19,0.2,-0.04,0.26,0.49,0.31,-0.6,-0.32,-0.01,0.39,-0.33,0.1,-0.22,-0.11,0.0228,-0.11,-0.27,-0.13,0.01,-0.03,-0.14,11.02.03.04
0.78,-0.18,-0.63,-0.57,0.72,0.23,0.062,-0.53,-0.25,-0.05,0.1,0.83,0.45,-0.05,-0.93,-1.01,-0.48,0.54,0.56,-0.01,-0.01,0.17,0.24,-0.34,0.31,0.12,-0.16,-0.4,10.03.01.01
-0.4,0.06,-0.56,0.15,0.49,-0.01,0.17,-0.0630769,-0.0452632,-0.0325862,-0.35,-0.18,0.2,0.1,-0.42,-0.4,-0.44,0.02,0.46,0.22,-0.1,0.22,0.32,0.55,-0.48,-0.07,0.03,0.19,01.07.01
-0.43,0.16,-0.15,0.33,-0.12,0.33,-0.32,-0.0942857,-0.59,-0.47,0.25,-0.23,0.37,-0.05,-0.25,-0.04,-0.77,-0.36,0.17,-0.09,0.29,0.13,0.41,-0.06,0.45,0.2,-0.23,0.2,20.09.07
-0.86,-0.58,-0.03,-0.15,0.21,0.05,0.03,-0.47,-0.27,0.43,0.41,0.51,0.63,0.03,-0.37,0.2,-0.04,0.22,-0.02,-0.5,-0.1,0.3,0.07,0.0566667,-0.1,-0.02,-0.2,0.08,32.07
0.21,0.03,0.04,0.27,-0.15,0.04,-0.44,-0.0663878,-0.18,0.03,-0.33,-0.38,-0.33,0.18,0.46,-0.64,-0.44,-0.35,0.41,-0.29,-0.05,0.0558633,0.41,-0.01,-0.31,-0.12,0,0.15,01.04
-0.42,-0.15,-0.18,0.21,-0.28,0.13,-0.04,0.54,0.3,0.35,-0.37,-0.11,-0.16,0.12,0.21,0.53,0.34,-0.36,-0.04,-0.19,-0.05,0.09,0.0437747,0.02,-0.02,-0.02,-0.26,-0.01,01
5.55,4.42,-0.06,-0.08,0.2,0.2,-0.2065,-0.530286,-0.664324,-0.5525,0.22,0.79,0.78,-0.32,-1.11,1.67,0.73,0.23,0.05,-0.16,-1.05,-0.05,0.67,-1.05,0.37,0.41,0,0.24,01.05.02.07
0.82,-0.71,0.87,-0.17,0.52,-0.39,-0.26,-0.0725984,0.0421898,0.0167647,0.016194,0.0965116,-0.0183871,-0.11597,-0.128227,-0.43,-1.1,-0.04,0.51,-0.24,0.55,0.17,-0.13,-0.84,-0.75,-0.145396,-0.1,-0.3,43.01.03.05
-0.42,-0.38,-0.08,-0.2,-0.09,-0.01,0.13,-0.181158,-0.88,-0.53,0.44,0.2,0.37,-0.06,-0.46,-0.48,-0.05,-0.41,0.39,-0.38,0.3,-0.13,0.96,0.87,-0.62,-0.51,-0.21,-0.13,12.01.01
-0.2,-0.09,-0.02,0.23,0.13,0.13,0,-0.138085,-0.20125,-0.0845833,0.0329787,0.257391,0.0979545,-0.0122917,-0.07,0.03,-0.95,-0.08,0.38,0.07,0.22,0.23,0.01,-0.39,0.47,-0.23,-0.45,-0.02,01.06
0.48,0.19,-1.2,-0.71,0.46,1.46,0.21,-0.3,-1.93,-2.69,-1.43,-0.28,0.72,1,-0.01,-0.98,-1.49,0.09,1.23,1.25,-0.57,0.01,-0.010463,0.66,-1.2,-1.2,-1.58,0.88,43.01.03.05
0.58,0,-0.19,0.47,0.13,-0.08,-0.04,-0.173333,-0.3,-0.04,0.7,-1.08,0.65,-0.27,-0.04,0,-0.23,-0.22,-0.07,-0.22,0.42,0.49,-0.06,-0.4,-0.22,-0.26,-0.66,-0.04,20.01.13
0.2,-0.296,-0.47,-0.15,0.1,-0.06,-0.1465,0.22,0.08,0.21,-0.34,0.55,0.52,-0.32,-0.3,-0.27,0.1,-0.33,-0.09,-0.02,0.34,0.26,0.008,-0.43,-0.65,-0.24,-0.13,0.09,01.06.02.01
-0.64,-0.27,-0.29,-0.4,0.08,0.26,0.29,-0.166667,-0.0944737,-0.0505263,0.07,0.12,0.46,-0.29,-0.22,-0.45,-0.24,0.07,0.52,-0.01,-0.4,0.06,0.0996154,0.48,-0.09,-0.14,0.07,0.32,32.07
0.15,-0.163514,-0.17,-0.03,-0.08,0.16,-0.0186245,-0.32,-0.6,-0.42,0.15,-0.33,0.07,0.15,0.72,0.1,-0.35,-0.05,0,0.04,0.09,0.34,0.0111165,0.4,-0.56,-0.02,-0.01,0.34,16.01
-0.04,-0.45,-0.52,-0.65,-0.08,0.04,0.31,0.00308357,0.0985319,0.0991365,-0.0980737,0.027194,-0.0210703,-0.0570868,-0.0200545,-0.62,-0.92,0.25,0.54,0.16,0.08,0.48,0.0113043,-0.01,-0.51,-0.46,-0.28,0.2,11.02.03.04
-0.62,-0.365,-0.23,0.11,0.43,-0.06,1.34,0.035,0.11,-0.225,0.125,0.67,0.105,-0.315,-0.54,0.81,-0.25,-0.85,-0.74,0.03,0.53,0.26,-0.015,0.08,0.5,-0.58,-0.43,0.49,20.01
-0.07,-0.42,0,0.29,-0.26,0,-0.07,-0.0663878,-0.0112687,-0.0415985,-0.0568045,0.114633,0.0252632,-0.0595076,-0.0314706,-0.01,-0.38,-0.34,-0.02,0.09,0.31,0.21,0.00718062,0.14,0.86,0.1,-0.03,-0.18,01.04
-0.07,-0.54,-0.12,-0.12,0.09,0.12,0.08,0.29,0.31,0.5,0.29,-0.73,-0.38,0.29,0.38,-0.01,-1.57,-0.03,0.25,0.3,0.3,0.3,0.0113043,-0.5,-0.21,-0.44,0.16,0.2,11.02.03.04
-0.29,-0.94,0.14,-0.18,0.01,0.23,0.18,0.297143,0.1925,0.15,-0.08375,-0.0825,0.04375,-0.01,-0.1475,-0.08,0.17,-0.27,0.3,0.09,-0.1,-0.04,-0.0457143,0.02,-0.78,-0.41,0.13,-0.2,11.06.02
-0.2,-0.32,-0.23,-0.25,-0.14,0.13,0.16,-0.0647126,0.54,0.17,-0.19,0.29,0.69,-0.17,-0.09,0.75,0.24,0.05,0.3,0.41,0.22,0.6,-0.23,-0.93,0.15,-0.1,0.1,0.27,42.01
0.69,-0.84,-0.48,0.38,0.38,-0.46,-0.0547619,-0.309429,0.0231579,-0.168158,0.65,0.06,-0.46,-0.75,0.4,-0.23,-0.05,-0.3,-0.08,-0.48,0.54,0.0370732,-0.32,-0.49,-0.76,-0.43,0.31,-0.09,34.11.03.07
-1.25,0.07,-0.08,0.08,-0.12,0.14,-0.04,0.55,0.26,0.07,-1.48,-0.23,-0.04,0.5,0.88,-0.24,0.15,-0.42,0.09,-0.51,-0.21,-0.35,0.37,0.47,-0.52,-0.73,-0.42,0.28,16.01
-1.12,-0.2,0.06,0.06,0.06,-0.36,0.57,-0.01,0.35,0.47,-0.76,-0.74,-0.59,0.34,0.4,-0.18,-0.29,-0.66,0.21,-0.55,0.28,-0.35,0.69,0.4,-0.87,0.1,-0.12,-0.16,12.01.01
2.05,-2.06,-1.15,1.21,1.3,-0.8,-0.89,-0.00130435,1.4,0.23587,1.51,0.57,-0.78,-0.81,0.63,-0.5,0.11,-0.45,-0.68,-1.04,0.88,-0.0256863,-0.14,-0.77,-1.8,-0.56,0.26,-0.3,10.01.05.01
0.21,-0.42,-0.86,-0.08,0.17,0.05,0.4,-0.36,-0.2,-0.15,0.24,1.09,0.22,-0.15,-0.15,-0.42,-0.13,-0.61,0.04,-0.21,0.05,-0.31,0.29,-0.16,-0.31,-0.83,0.04,-0.04,11.02.03.04
-0.42,-0.29,0.01,0.16,0.11,-0.21,0.15,-0.0577124,-0.025414,-0.0236943,-0.104277,0.0456129,0.000743243,-0.0107143,0.0275776,-0.25,0.32,0.07,-0.11,-0.17,0.01,-0.16,0.03,0.13,-0.18,0.06,-0.18,-0.07,14.04
-1.74,4.27,-0.76,-0.4,0.71,-0.2,0.55,-0.0663878,-0.0112687,-0.0415985,-0.0568045,0.114633,0.0252632,-0.0595076,-0.0314706,-1.58,-0.18,-1.1,-0.15,-0.31,0.0682746,-0.28,0.82,0.8,-1.49,0.14,-0.23,0.16,01.04
-0.2,-0.01,-0.12,-0.07,0.04,0.2,0.16,0.03,0.26,0.33,0.0313333,0.104667,0.0255172,-0.39,-0.09,-0.89,0.07,-0.26,0.27,-0.1,-0.06,0.14,0.51,0.46,-0.3,-0.04,-0.04,0.12,20.09.04
-0.38,-0.07,0.4,-0.15,-0.29,0.09,-0.26,-0.317083,1.01,0.1,-0.2,0.53,-0.12,-0.04,-0.67,1.03,0.89,0.51,-0.15,-0.24,-1.13,-0.58,-0.22,0.43,0.63,-0.08,0.22,-0.31,20.09.13
-0.1,-0.51,-0.2,0.09,0.18,0.03,0.21,0.26,0.49,0.83,0.74,1.19,0.76,-2.27,0.65,0.32,-0.61,-0.32,-0.03,0.21,0.12,0.38,0.12,-0.22,0.14,0.1,-0.02,0.13,14.07.02.02
0.1,-0.14,-0.13,0.04,0.35,0.44,-0.02,-0.07,0.04,0.1,-0.33,0.35,0.45,-0.05,-0.41,-0.89,-0.31,0.15,0.27,0.02,0.04,0.17,0.33,0.16,-0.55,-0.08,0.33,-0.1,01.01.06
-0.3,0.24,0.06,0.04,0,-0.16,0.04,-0.530286,-0.664324,-0.5525,0.0778947,0.183684,0.203333,0.08,-0.36,1.03,0.46,-0.37,-0.72,-0.48,-0.27,-0.48,-0.01,-0.37,0.31,0.74,0.98,1.08,01.05.02.07
-0.45,-0.07,0.01,0.01,0.34,0.03,0.29,0.176981,0.298929,0.142727,-0.19,-0.0892308,-0.133469,0.0552727,-0.00525424,0.04,-0.07,-0.09,0.11,0.06,-0.22,-0.0321667,0.21,0.2,1.36,0.14,0.12,-0.22,16.03.03
0.134211,-0.29,0.39,-0.34,-0.0261111,0.32,0.04,0.0305556,0.0235294,-0.0217647,-0.251176,0.054,0.066,-0.0333333,-0.00647059,0.32,-1.17,-0.44,-0.05,-0.06,0.75,0.19,0.35,-0.27,0.21,-0.07,-0.49,0.03,12.07
-0.62,-0.15,-0.12,-0.3,-0.24,-0.06,0.33,-0.0647126,0.0220225,-0.0563636,0.24,-0.06,0.02,0.02,-0.08,-0.32,-1.08,0.24,0.27,0.14,0.09,0.22,0.21,-0.3,-0.28,-0.09,0.19,-0.11,42.01
-0.2,-0.151111,0.06,0.06,0.36,0.35,0.13,-0.19,0.17,0.02,-0.55,0.29,0,-0.25,0.24,0.25,-0.28,-0.09,-0.33,0.35,0.22,0.11,0.09,0.07,0.56,-0.11,-0.42,0.09,14.13
0.06,-0.42,-0.24,-0.17,-0.04,0.25,-0.1,-0.0185714,0.27,0.28,-0.16,-0.11,0.03,0.03,-0.11,0.26,-0.07,-0.28,-0.08,-0.13,0.06,-0.02,-0.02,-0.2,-0.42,-0.25,-0.17,0.01,10.03.01
0.14,-0.217842,-0.5,0.03,-0.26,-0.26,-0.04,0.38,0.26,-0.24,0.08,0.48,0.1,-0.53,-0.45,0.36,0.25,0.15,0.15,0.22,-0.23,-0.46,-0.39,0.0457455,0.34,0.05,0.44,-0.19,01.04
-0.45,-0.332318,-0.54,0.59,0.105796,-0.21,-0.0460593,-0.66,-0.91,-0.85,0.21,0.34,0.56,0.4,-1.26,-0.5,-0.89,0.19,0.84,1.03,-0.38,0.15,0.66,-0.127093,-0.19,0.24,-0.85,0.32,10
-0.92,0.0290476,0.23,-0.88,-0.0894271,0.120773,-0.0271204,1.05,0.9,0.35,-0.12,-0.34,-0.22,-0.04,-0.28,-0.49,0.18,-0.23,0.28,-0.02,-0.3,-0.17,0.32,0.23,-0.97,0.13,0.39,0,12.01.01
-0.17,-0.03,-0.12,0.28,-0.46,-0.26,0.07,-0.163357,-0.151507,-0.154759,0.0421277,0.126838,0.0476336,-0.11021,-0.0885333,-0.29,-1.16,-0.61,-0.37,-0.35,0.79,0.67,-0.000535714,0.53,-0.28,0.07,-0.02,0.11,01.05
-0.54,-0.67,-0.15,-0.09,-0.0894271,-0.47,-0.0271204,-0.4,-0.22,-0.54,0.51,0.5,0.21,-0.49,-0.15,0.25,0.24,-0.33,-0.07,0.1,0.19,0.16,-0.09,0.05,-0.25,0.12,0.06,0.1,12.01.01
-0.56,0.04,0.61,0.05,-0.14,0.23,0.02,-0.0630769,-0.0452632,-0.0325862,-0.0852632,-0.00175439,-0.0385714,0.00754386,-0.0266102,0.18,-1,-0.14,0.42,0.14,0.23,-0.11,0.05,-0.56,-0.29,-0.17,0.03,0.16,01.07.01
-0.76,0.08,0.06,-0.39,0.36,0.36,0.22,0.5,0.48,0.16,-0.126479,0.01,-0.136825,-0.16,0.28,-0.13,-0.33,-0.53,0.15,-0.18,0.0163235,-0.26,0.4,-0.06,1.77,-0.38,-0.03,-0.25,16.03.01
0.76,-0.34,-0.46,0.42,0.27,-0.53,-0.27,-0.76,-0.2,0.02,0.94,0.9,-0.07,-0.45,-0.3,-0.88,-0.66,0.35,0.46,-0.4,0.48,0.42,0.26,-0.36,-0.17,-0.14,-0.03,0.08,43.01.03.05
