@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute clb2-2                                  numeric
@attribute alpha0                                  numeric
@attribute alpha14                                 numeric
@attribute alpha77                                 numeric
@attribute alpha112                                numeric
@attribute alpha119                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_160                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_210                               numeric
@attribute cdc15_250                               numeric
@attribute cdc28_0                                 numeric
@attribute cdc28_10                                numeric
@attribute cdc28_50                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_110                               numeric
@attribute cdc28_120                               numeric
@attribute cdc28_140                               numeric
@attribute cdc28_150                               numeric
@attribute elu0                                    numeric
@attribute elu60                                   numeric
@attribute elu90                                   numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-0.97,0.0290476,0.03,-0.43,0.1,0.2,0.38,-0.38,-0.16,0.02,-0.16,-0.1,-0.62,0.1,-0.02,-0.48,-0.03,-0.56,0.23,-0.42,0.45,-0.39,0.95,0.58,-1.09,-0.15,0.16,-0.13,12.01.01
-0.94,0.14,-0.03,-0.38,0.06,0.26,0.4,-0.62,-0.39,-0.15,-0.1,0.16,-0.41,-0.06,-0.21,-0.56,0.03,-0.5,0.5,-0.46,0.4,-0.29,1.13,1,-1.1,-0.44,0.14,0.11,12.01.01
-0.09,0.29,-0.04,0.24,0.16,-0.19,-0.07,-0.56,-0.73,-0.5,0.44,0.2,0.76,0.24,0.02,-0.12,-0.4,-0.55,-0.05,-0.02,0.19,0.04,0.21,0.07,-0.62,-0.54,-0.49,0.36,02
-0.36,0.16,0.18,-0.17,0.12,-0.17,0.22,-0.13,-0.43,-0.37,0.0421277,0.126838,0.0476336,0.28,0.11,0.04,-0.12,-0.04,0.21,0.26,0.03,0.15,0.03,-0.29,-0.04,-0.07,-0.14,0.2,01.05
-0.1,-0.29,-0.11,0.01,0.59,0.04,0.17,0.03,0.07,-0.17,-0.41,0.34,-0.32,0.21,0.93,0.02,0.16,-0.29,-0.1,0.31,0.33,0.3,0.12,0.370686,-0.26,-0.52,0.05,0.06,12.01.01
0.79,-0.27,0.22,0.51,0.17,-0.17,-0.13,-0.13,0.06,-0.35,-0.06,0.41,0.14,-0.43,0.32,0.03,-0.3,-0.08,-0.15,0.4,-0.3,-0.17,-0.41,-0.38,0.42,-0.1,-0.39,0.19,20.09.18
-0.07,-0.51,-0.05,-0.01,0.07,0.06,0.09,-0.0185714,0.172062,0.0785417,-0.0743617,-0.0522222,-0.0537778,-0.0334444,-0.0416495,-0.19,0.03,-0.02,0.34,0.21,0.12,0.49,-0.13,0.53,0.61,0.27,0.1,0.13,10.03.01
-0.45,0.56,-0.29,0.12,-0.01,0.09,-0.11,-1.65,-1.47,-0.81,0.02,0.86,0.66,0.24,-0.17,-0.88,-1.41,-0.28,-0.05,0.45,0.8,0.97,-0.04,1.22,0.38,-0.4,-0.14,-0.14,20.01.07
0.28,-0.09,0.01,0.01,0.02,0.06,-0.02,0.01,0.25,0.81,-0.39,0.19,-0.02,-0.23,-0.21,-0.28,0.32,-0.14,0.16,-0.09,-0.3,-0.02,-0.26,0.08,0.26,0.09,0.44,-0.05,16.01
-0.04,-0.18,0.05,-0.148041,-0.15,0.26,-0.12,0.12,-0.13,-0.04,-0.46,-0.26,-0.01,0.53,0.95,0.17,-0.25,-0.15,-0.24,0,0.16,0.03,0.38,0.27,0.37,-0.2,-0.35,-0.23,12.01.01
0.51,-0.18,1.53,0.93,-0.22,0.12,-0.23,0.71,0.52,-0.21,-0.25,0.68,0.85,0.45,-1.12,-0.29,-0.14,-0.21,0,-0.09,0.24,-0.03,0.16,0.14,1.23,-0.14,-0.25,-0.06,16.01
-0.2,0.49,0.01,0.01,0.01,-0.12,0.06,-0.16,-0.1,-0.22,0.27,0.39,0.44,-0.13,-0.01,0.1784,-0.09,0.24,-0.13,-0.32,-0.32,0.16,0.5,0.53,4.95,1.02,-0.46,-0.46,32.01
0.28,-0.241054,0,0,0.15,-0.05,0.16,0.54,0.56,0.69,-0.8,-0.29,-1.08,0.59,0.65,-0.28,-0.15,0.04,-0.01,-0.01,0.15,-0.06,-0.14,-0.22,-0.38,-0.34,-0.26,0.19,11.02.03.04
-0.47,-0.18,0.13,0.12,-0.13,-0.16,-0.29,-0.23,-0.41,-0.28,-0.05,-0.26,-0.31,0.36,0.05,0,0.4,-0.19,-0.3,-0.02,-0.02,0.01,0.223313,0.33,0.12,-0.34,0.02,-0.01,12.01.01
0.19,0.24,-0.2,-0.31,-0.13,-0.1,-0.02,-0.0725984,0.0421898,0.0167647,0.016194,0.0965116,-0.0183871,-0.11597,-0.128227,-0.29,0.05,0.73,0.26,-0.32,-0.58,0.15,-0.010463,0.33,-0.19,-0.02,-0.15,-0.14,43.01.03.05
0.29,-0.43,-0.26,-0.3,-0.2,-0.28,0.44,0.01,0.12,-0.13,0.25,-0.31,0.24,-0.51,-0.26,-0.38,-0.19,0.27,-0.03,0.15,0.17,0.06,-0.21,-0.33,-0.02,-0.16,0.26,-0.02,11.02.03.04
-0.17,-0.49,0.03,-0.00638554,-0.11,-0.09,-0.09,-0.55,-0.18,0.16,-0.96,-0.53,-0.26,0.05,0.2,-0.4,-0.2,0.03,0.07,-0.25,-0.01,0.12,0.0774797,0.09,-0.12,-0.28,-0.2,-0.08,14.04
-0.45,-0.3,0.12,0.01,-0.04,0.19,-0.14,0.4,0.38,0.25,-0.34,-0.44,0.04,0.13,0.38,-0.16,0.11,0.18,0.15,0.1,-0.37,-0.03,0.22,0.5,0.4,-0.08,-0.04,0.1,14.04
-0.07,-0.22,-0.42,0.13,-0.05,-0.1,0.2,-0.44,-0.12,-0.21,0.24,0.31,0.29,0,0.43,0.79,-0.03,-0.04,-0.27,0,0.2,-0.09,-0.11,-0.23,0.27,0.06,0.23,-0.03,14.10
0.28,-0.14,0.08,0.18,0.13,0.15,-0.19,-0.00844961,0.0514885,-0.0166284,-0.200866,-0.0293117,-0.053125,0.00596899,0.158598,-0.42,-0.06,-0.22,-0.27,-0.07,0.14,-0.18,0.0111165,0.5,0.51,-0.04,-0.18,-0.01,16.01
1.41,-0.86,-0.5,0.66,0.85,-0.44,-0.48,-0.00130435,0.23234,0.23587,0.0829545,0.214186,0.55,-0.232273,-0.55,-0.64,0.08,-0.48,-0.64,-0.61,0.66,0.23,-0.32,-0.5,-1.21,-0.15,-0.32,0.37,10.01.05.01
0.41,-0.25,0.1,0.25,-0.26,-0.02,0.08,0.00308357,0.0985319,0.0991365,-0.0980737,0.027194,-0.0210703,-0.0570868,-0.0200545,-0.24,0.2,-0.03,0.17,-0.16,-0.32,-0.12,0.58,0.57,-0.08,-0.2,0.03,0.09,11.02.03.04
-0.03,-0.6,0.22,0.08,-0.07,0.14,-0.07,0.37,0.37,0.25,-0.32,0.21,0.05,-0.32,0.02,0.12,-0.57,0.08,0.2,0.04,-0.04,-0.33,0.00718062,0.12,0.45,0.01,0.03,-0.12,01.04
0.39,-0.27,-0.26,-0.3,-0.1,0.38,0.01,0.17,0.53,0.23,0.11,-0.02,-0.21,0.07,0.26,-0.57,-0.67,-0.4,0.03,-0.28,0.15,0.0202516,0.56,0.06,-0.14,-0.02,-0.25,-0.21,14.04
0.15,-1.15,-0.01,-0.21,0.04,0.24,0.15,-0.24,0.31,0.17,-0.18,0.33,0.23,-0.3,-0.32,0.23,0.17,0.35,-0.43,0.13,-0.56,0.29,0.23,0.19,-0.15,0,-0.07,0.27,43.01.03.09
-0.25,-1,0.42,0.07,0.18,-0.01,-0.2,-0.22,0.68,1.04,0.18,-0.2,-0.09,-0.57,-0.52,-1.15,-0.6,0.17,0,0.42,0.2,0.28,-0.34,0.169286,-0.65,-0.13,-0.27,0.46,01.02
-0.34,-0.4,-0.33,-0.12,0.22,0.06,0.23,-0.06,0.07,-0.13,-0.19,0.12,0.36,-0.19,0.01,0.08,0,0.29,0.02,0.36,0.08,0,0.0113043,-0.12,-0.45,0.38,-0.45,0.08,11.02.03.04
-0.27,0.01,0.38,0.1,-0.25,0.1,-0.17,-0.18,0.02,-0.04,-0.52,0.27,-0.16,0.34,0.18,-0.01,0.11,-0.16,-0.29,-0.05,0.16,-0.39,0.03,-0.1,1.07,0.05,-0.13,0.08,16.01
0.61,0.24,-0.2,-0.08,-0.013812,-0.11,0.34,-0.16,-0.38,-0.28,-0.16,0.15,0.42,-0.12,-0.04,-0.0895312,-0.51,0.51,-0.26,0.68,0.07,-0.05,-0.47,-0.42,-0.14,-0.23,0.19,-0.02,11.02.03.04
-0.00706667,-0.34,-0.44,0.11,-0.16,0.25,0.12,-0.52,-0.31,0.3,0.19,0.96,0.15,-0.07,0.13,0.06,-0.78,0.46,0,0.28,0.24,0.52,0.0301493,-0.27,1.22,0.36,-0.44,0.03,16.03.01
-0.06,-0.25,-0.39,0.08,0.01,-0.1,0.01,-0.14,0.16,-0.1,0.17,0.93,0.52,-0.01,-0.35,0.44,0.38,0.33,-0.64,0.52,-0.04,-0.24,-0.7,-0.64,-0.22,0.49,-0.59,0.54,32.01.01
0.06,-0.2,-0.27,0.63,-0.24,-0.29,0.02,-0.29,-0.24,-0.41,-0.32,-0.06,-0.24,0.29,0.75,3.09,1.94,-0.49,-1.64,-0.37,-0.11,-0.07,-0.04,0.62,1.86,-1.49,0.53,0.34,01.04
-0.79,-0.23,-0.13,-0.73,0.08,-0.11,0.2,0.96,1.06,0.4,-0.55,-0.43,-0.75,-0.11,0.17,-0.69,0.38,0.21,0.13,-0.14,-0.2,-0.24,0.02,0.2,-1.22,0.23,0.16,-0.09,12.01.01
-0.1,-0.32,-0.13,0.07,-0.15,-0.15,-0.02,0.31,0.08,0,-0.0568045,0.114633,0.0252632,-0.22,-1.14,0.56,-0.2,0.08,-0.15,0.18,0.16,-0.15,0.00718062,-0.04,0.35,0.35,0.07,0.18,01.04
-0.25,0.53,-0.13,-0.25,-0.1,-0.14,0.09,-1.38778e-17,0.0686207,0.0365517,-0.218276,-0.175,-0.23931,0.0562069,0.14069,-0.42,-0.24,-0.24,0.15,-0.27,0.0157143,-0.27,0.19,0.17,-0.94,0.09,0.16,-0.2,12.10
-0.67,-0.42,0.35,0.18,0.12,0.01,-0.24,-0.5,0.12,-0.13,-0.08,0.19,0.81,0.04,-0.7,-0.46,-0.99,-0.14,-0.01,-0.06,-0.01875,-0.54,-0.05,-0.22,0.43,-0.52,-0.85,-0.01,20.09.18
-0.2,-0.17,0.13,0.01,-0.01,-0.19,-0.11,0.23,-0.13,-0.53,-0.26,0.05,0.13,0.28,0.2,0.22,0.51,0.02,-0.66,0.04,0.24,-0.14,-0.08,0.31,-0.82,-0.49,-0.2,-0.01,12.01.01
-0.046,-0.45,-0.03,-0.28,-0.11,0.14,0.07,0.48,0.36,0.49,-0.63,0.17,0.15,0.08,0.3,-0.6,-0.1,0.4,-0.24,0.09,-0.02,0.13,-0.05,0.51,-0.45,-0.06,-0.41,0.19,14.13.01
-0.01,-0.3,0.14,0.15,-0.25,0.07,-0.24,-0.09,-0.03,0.01,-0.01,-0.26,-0.11,-0.19,-0.14,0.19,0.17,0.62,-0.18,0.26,0.1,-0.04,-0.54,0.1,-0.38,-0.09,-0.15,-0.01,11.02.03.04
-0.0770652,-0.1,0.19,0.19,-0.11,0.11,-0.07,-0.33,0.09,0.08,-0.02,0.04,0.32,-0.07,-0.54,0.25,-0.08,0.34,-2.66,-0.2,0.34,0.04,0.51,0.98,-0.25,0.07,-0.11,-0.25,42.01
0.138182,0.46,-0.1,-0.12,-0.08,0.02,0.25,-0.45,-0.48,-0.28,0.38,0.52,0.51,0.03,-0.2,0.24,-0.12,0.26,0.09,0.36,-0.24,-0.24,0.0113043,-0.06,0.55,0.4,-0.96,0.05,11.02.03.04
-0.67,-0.01,-0.19,-0.17,-0.1,0.21,0.06,-0.31,-0.04,-0.16,0.2,0.19,0.03,-0.08,-0.79,-0.15,0.06,-0.38,-0.55,-0.57,0.26,-0.6,0.61,0.24,-0.54,-0.5,0.15,-0.02,12.01.01
0.12,-0.71,0.18,0.39,-0.08,-0.18,-0.08,-0.15,-0.05,-0.23,0.83,0.353333,0.246818,-0.74,-1.31,0.86,0.58,1.06,-0.66,0.82,0.34,-0.22,-0.88,0.58,-1.77,1.06,0.5,0.38,20.03
-1.47,-0.01,0.01,0.3,0.07,-0.17,-0.03,-0.31,-0.09,-0.22,0.03,0.13,0.02,-0.4,0.44,0.53,-0.17,-0.5,-0.17,0.01,0.18,0.18,0.0111165,0.36,1.02,0.18,-0.03,-0.07,16.01
0.16,0.24,-0.19,0.68,-0.02,-0.04,-0.17,-1.33,-1.51,-1.06,0.29,0.89,0.49,0.03,-0.05,0.19,-1.35,-0.33,-0.27,0.43,0.24,0.36,0.246667,0.48,0.47,-0.54,-0.09,-0.05,02.13.03
0.37,-0.18,0.43,0.4,-0.23,-0.15,-0.84,-0.24,-0.17,0.29,0.55,-0.04,-0.2,-0.13,0.11,-0.2,0.65,-0.37,-0.84,-0.02,0.52,0.04,-0.000535714,-0.4,-0.41,-0.38,-0.36,0.05,01.05
0.49,0.55,-0.1,0.24,0.08,-0.36,-0.5,0.87,0.59,0.22,-0.32,-0.48,-0.36,0.17,0.12,0.9,0.52,-0.45,-0.38,-0.22,-0.08,-0.17,-0.0242857,-0.06,-0.64,-0.06,-0.03,0.31,10.01.09.05
-0.03,0,0.2,0.12,-0.36,0.34,-0.44,-0.28,-0.17,0.09,0.17,-0.02,-0.46,0.19,-0.25,-0.66,0.06,-0.46,-0.5,-0.38,0.14,-0.00847656,0.04,0.6,-0.28,-0.1,-0.26,0.01,16.01
0,0.14,-0.31,-0.33,0.04,-0.1,0.09,0.0483333,0.95,0.06,-0.298947,-0.0516667,-0.0205556,0.131579,-0.43,-0.37,0.16,-0.29,-0.17,-0.08,0.25,0,0.21,0.18,0.52,0.13,0.17,0.01,14.01
0.7,-0.21,-0.22,0.113333,-0.06,-0.06,0.0633333,-0.83,-0.46,-0.69,-0.25,0.1,0.23,1.02,-1.32,-0.27,0.3,-0.09,-0.51,-0.12,0.21,0.26,0.02,0.24,-0.583333,-0.3,0.263333,0.256667,20.01
0.34,0.03,0.07,-0.39,0.19,0.23,-0.03,0.21,0.18,0.24,-0.3,-0.55,0.42,0.05,-0.78,-0.56,0.21,-0.02,0.44,0.08,-0.45,0.02,0.0774797,0.07,-1.92,-0.34,0.31,0.04,14.04
0.32,-0.51,-1.21,1.36,0.78,-0.34,-0.47,0.25,0.45,0.16,-0.24,-0.49,-0.59,-0.04,0.3,-0.21,0.19,-0.39,-0.51,0,0.41,0.14,-1.23,0.0122946,-0.7,0.02,0.3,0.1,11.02.03.04
0.33,-0.09,-0.54,-0.8,-0.03,-0.11,0.15,-0.1,0.02,-0.12,0.34,-0.19,0.36,-0.3,-0.69,-0.33,-0.21,0.43,0.41,0.08,-0.46,0.43,-0.11,0.00666667,-0.24,0.01,0.16,-0.08,43.01.03.05
-0.36,0.28,0.21,-0.13,-0.13,0.12,-0.05,-0.4,0.13,0.18,-0.53,0.08,-0.256995,0.25,0.24,-0.12,-0.02,0.08,0.39,-0.31,0.28,0.08,-0.17,0.51,-0.65,0.01,0.36,-0.43,12.01.01
0.71,0.19,-1.12,-1.04,0.43,0.43,0.52,-1.36,-1.41,-1.63,0.3,0.92,0.83,0.61,-0.17,-0.43,-0.07,-0.17,-0.03,-0.22,-0.11,0.39,0.186818,0.38,-0.07,0.47,-0.17,-0.13,34.01.01.01
0.38,-0.58,-0.08,-0.31,0.06,0.02,0.03,1,0.75,0.57,-0.33,-0.11,-0.0210703,-0.0570868,0.51,-0.31,0.16,0.24,0.43,-0.12,-0.23,-0.12,-0.09,-0.36,0.12,-0.36,0.36,0.15,11.02.03.04
0.29,-0.74,-0.24,-0.04,0.35,-0.04,-0.2,-1.03,0.0235294,-0.0217647,-0.251176,0.054,0.066,-0.0333333,-0.00647059,0.53,0.16,0.1,0.39,-0.25,-0.1,0.58,-0.42,-0.61,0.08,-0.1,0.26,0.15,12.07
-0.18,0.01,-0.1,-0.08,-0.02,-0.2,-0.07,-0.00130435,0.23234,0.23587,0.0829545,0.214186,-0.0787805,-0.232273,-0.0965217,0.51,0.41,-0.13,0.18,0,-0.19,-0.07,-0.07,0.06,0.78,0.26,-0.06,0.23,10.01.05.01
1.1,0.23,-0.47,1.07,0.71,-0.64,-0.36,0.33,0.71,-0.03,0.59,-1.04,-1.39,-0.41,0.25,-0.22,-0.13,-0.76,-0.19,-0.18,0.11,-0.277143,-0.04,-0.34,-0.88,-0.01,0.06,0.28,42.10
-0.03,-0.14,0.11,-0.33,0.09,-0.13,-0.2,0.96,0.81,0.38,-0.35,-0.95,-0.85,0.21,0.19,-0.02,0.39,0.18,-0.16,-0.13,-0.29,-0.09,-0.58,0.09,-0.58,-0.27,0.34,-0.25,12.01.01
0.34,-0.36,-0.06,0.09,-0.06,-0.25,0.02,-0.67,-0.19,0.31,0.76,0.42,0.2,-0.34,-0.53,-0.56,-0.03,0.06,-0.14,0.06,0.28,0.13,-0.07,0.23,-0.52,-0.12,-0.14,0.16,14.13.01.01
-2.06,0.58,2.19,0.13,0.07,0.39,0.43,-0.61,0.02,-0.26,-0.08,0.63,0.42,-0.26,0.16,0.9,0.9,0.28,-0.1,-0.22,0,0,-0.8,0.1,-1.25,0.17,0.63,-0.17,34.11.03.07
-0.04,-0.4,0.17,-0.18,0.02,-0.22,0.02,0.18,0.24,0.26,-0.28,0.22,-0.5,0.11,0.35,-0.19,0.21,-0.29,0.19,-0.05,-0.07,-0.11,0.0113043,0.34,0.07,-0.19,-0.19,0.05,11.02.03.04
0.46,-0.23,-0.02,0.42,-0.21,0.25,0.25,-0.39,-0.24,0.11,-0.35,0.17,-0.05,0.14,0.55,0.48,0.08,-0.32,0.07,0.01,-0.01,-0.42,0.04,0.14,0.41,-0.06,0.17,0.04,01.04
0.18,0.14,-0.12,0.24,0.19,0.03,-0.55,0,-0.15,-0.08,0.33,-0.29,-0.06,-0.11,-0.62,0.36,0.11,-0.43,0.18,-0.06,-0.12,-0.13,-0.35,-0.36,0.81,-0.05,0.03,-0.14,11.02.03.04
0.16,-0.43,-0.05,0.49,-0.15,-0.07,-0.41,0.14,0.35,0.13,0.02,0.12,0.07,-0.32,0.06,1.22,1.65,0.25,-0.33,-0.6,-0.15,0.05,-1.33,-0.85,-0.56,-0.19,0.11,0.19,16.01
0.24,-0.22,0.3,0.04,0.01,-0.2,-0.12,0.32,0.27,0.01,-0.23,-0.59,0.19,-0.09,0.07,-0.33,-0.04,0.07,0.24,0,-0.15,-0.02,-0.27,0.03,0.08,-0.27,0.26,-0.11,16.19.03
-0.27,-0.56,0.18,0.12,0.17,0.0378571,-0.01,0.075,0.134286,0.0628571,0.73,0.0192857,-0.0816667,-0.0507692,-0.138571,0.11,-0.17,-0.19,-0.03,0.09,0.09,-0.32,-0.118182,0.35,0.77,-0.08,-0.52,0.07,14.07.05
0.21,-0.22,0.05,-0.02,0.18,-0.33,0.01,-0.87,0.3,0.06,-0.0568045,0.114633,0.0252632,-0.0595076,-0.66,-0.12,0.07,0.84,0.58,-0.08,-0.03,-0.12,-0.44,-0.32,0.13,-0.04,0.03,-0.04,01.04
-0.1,-0.04,0.06,0.2,-0.14,-0.12,0.13,-0.166667,0.07,-0.23,0.08,0.39,0.81,-0.0886842,-0.64,0.22,0.19,-0.15,0.31,0.6,-0.35,-0.27,0.06,-0.15,1.32,-0.1,-0.44,0.59,32.07
-0.18,-0.343333,-0.158333,-0.121667,-0.04,0.0666667,-0.075,-0.16,-0.55,-0.6,-0.16,0.09,0.29,-0.19,0.23,0.64,-0.09,-0.58,-0.2,0.14,0.23,0.37,-0.12,-0.62,0.225,-0.15,-0.156667,0.00666667,42.04
0.8,-0.36,-1.02,0.04,-0.12,0.37,0.22,-0.15,0.24,0.56,-0.44,0.01,0.03,0.15,0.45,-0.74,-0.31,0.04,-0.01,-0.22,-0.07,0.36,-0.02,0.23,0.4,-0.18,0.49,-0.11,11.02.03.04
0.14,-0.18,-0.08,0.15,-0.03,-0.0287097,-0.17,-0.66,-0.44,-0.36,0.13,0.27,0.12,-0.17,-0.09,0.45,0.05,-0.24,-0.45,0.29,0.26,0.33,-0.11,0.42,0.43,0.1,0.78,0.16,20.09.04
0.3,-0.3,0.55,0.04,-0.23,0.25,0.06,-0.24,0.02,-0.02,0.11,0.46,0.05,-0.03,-0.28,0.14,0.36,-0.1,0.01,0.01,-0.34,-0.22,0.0774797,-0.59,-1,0.03,0.29,-0.18,14.04
-0.62,0.16,0.45,-0.44,-0.07,0.22,-0.17,1.36,1.24,0.83,-0.56,-1.36,-1.01,0.1,0.52,-0.1,0.13,-0.24,0.26,-0.17,-0.51,-0.39,-0.0172222,-0.14,-0.29,-0.09,0.5,-0.45,11.04.01
0.14,0.03,-0.48,-0.01,0.36,-0.27,-0.19,0.00308357,0.0985319,0.0991365,-0.0980737,0.027194,-0.0210703,-0.0570868,-0.0200545,-0.18,-0.37,-0.05,-0.08,0.04,-0.11,0.01,-0.65,-0.07,0.52,-0.02,0.12,0.28,11.02.03.04
