@RELATION cellcycle0.names

@ATTRIBUTE alpha21 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha28 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_80 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_140 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_20 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_80 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu210 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE class {R.01.04, R.43.01.03.09, R.32.01, R.20.01.17, R.12.04.01, R.14.10, R.20.09.07.03, R.16.03.03, R.10.03.01.01.11, R.42.01, R.01.05, R.20.03, R.01.03.01.03, R.10.01.09.05, R.11.02.03.04, R.12.10, R.01.05.25, R.16.19.03, R.11.04.03.01, R.34.11.03.07, R.42.04.05, R.10.01.03.05, R.14.04, R.16.01, R.43.01.03.05, R.42.16, R.12.01.01, R.01.07.01, R.20.09.07, R.32.07, R.01.03.07, R.01.05.02.07, R.01.06, R.20.09.04, R.20.01.13, R.01.06.02.01, R.20.01.27, R.11.06.02, R.14.07.02, R.10.01.05.01, R.20.09.13, R.14.07.02.02, R.01.01.06.06.01.03, R.12.07, R.14.13, R.10.03.01, R.10, R.16.03.01, R.42.04, R.34.01.01.01, R.01.01, R.02.01, R.11, R.20.01.01.01, R.01.05.13.01, R.20.01.03, R.01.20.15, R.11.04.01, R.01.03.01, R.14.07.11, R.20.09.18, R.42.27.03, R.10.03.01.01.09, R.20.01.07, R.42.04.03, R.20.01.15, R.01.01.06.04.02, R.14.07.04, R.20.09.16, R.14.01, R.11.02.03.04.03, R.01.06.06.11, R.14.13.01.01, R.14.07.09, R.10.03.02, R.01.07, R.20.01.10, R.01.02, R.99, R.01.01.06.05, R.32.01.01, R.10.01.05.03, R.10.03.04.03, R.01.01.09.06.01, R.14.13.01, R.01.03.04.03, R.02.13.03, R.01.20.19, R.01.05.09.04, R.11.04.03.05, R.14.07.03, R.10.01.03, R.42.25, R.32, R.14.07.05, R.42.10.03, R.02.19, R.10.01.05.03.01, R.01.03.04, R.20.09.01, R.02.13, R.11.02.03.01.04, R.02.16.01, R.11.04.02, R.12.04.03, R.18.02.01, R.16.19, R.01.06.05, R.12, R.10.03.01.03, R.16.21.07, R.02.10, R.01.01.11.03.01, R.34.01.01.03, R.20.09.07.27, R.12.01, R.42.08, R.10.03.04.05, R.20.03.01.01, R.11.02.03.04.01, R.20.01.23, R.01.01.03.02.01, R.32.01.09, R.34.11.03.13, R.01.04.04, R.14.07, R.14.07.11.01, R.32.01.03, R.01.06.02.02, R.40.01, R.01.01.09.04.01, R.42.19, R.11.04.03, R.01.01.09.07.01, R.01.03.10, R.02.16, R.01.06.06, R.01.02.07, R.01.01.09.05, R.32.07.03, R.20.01.01.01.01, R.34.07.01, R.20.01.21, R.34.01.01, R.01.01.11.04.01, R.20.01.03.01, R.30.01, R.14, R.01.01.13, R.01.01.06.05.01, R.11.02.03.01.01, R.02.04, R.01.01.06.02.01, R.12.04, R.20.01.25, R.38, R.01.01.03.05.01, R.40.10.02.02.01, R.14.07.01, R.01.02.02.09, R.20.09.07.25, R.20.01.01.07.07, R.01.03.16.01, R.40.20, R.10.03.03, R.01.06.10, R.01.03.01.01, R.02.45, R.14.13.04, R.20.01.01.07, R.01.01.06.05.01.01, R.20.09.18.09.01, R.10.01.05, R.01.01.09.02, R.30.01.05.05.01, R.11.04.03.03, R.02.01.03, R.01.01.09.03.01, R.18.02.09, R.42.10, R.20.09.07.05, R.20.01.03.03, R.16.21.17, R.01.03.04.01, R.01.05.06.07, R.11.02.01, R.18.02.01.01.01, R.01.01.03.03.01}

@DATA
4,7,11,6,8,11,10,R.12.07
6,12,16,6,13,10,9,R.12.07
3,6,14,7,8,15,8,R.32.07
3,9,13,10,6,10,11,R.32.07
8,11,9,5,14,9,10,R.32.07
7,11,9,7,12,13,13,R.32.07
7,10,11,5,9,11,11,R.14.04
7,9,14,6,11,10,10,R.14.04
7,10,12,5,10,14,11,R.14.04
6,10,15,6,10,9,15,R.14.04
5,10,10,7,4,12,10,R.14.04
8,11,13,8,14,12,12,R.14.04
9,8,11,6,9,11,8,R.14.04
6,13,12,7,10,10,11,R.14.04
7,10,11,5,9,11,9,R.14.04
6,10,15,8,6,13,9,R.14.04
5,8,10,6,7,13,11,R.14.04
6,9,13,7,9,16,13,R.14.04
6,14,13,5,11,14,9,R.14.04
7,11,15,10,10,12,12,R.14.04
10,11,13,7,10,13,11,R.14.04
6,10,15,10,11,11,10,R.14.04
5,10,14,10,10,12,11,R.14.04
7,11,9,5,7,14,12,R.32.01
8,10,9,7,13,11,13,R.32.01
7,10,14,9,11,10,11,R.32.01
6,13,14,8,14,9,11,R.32.01
8,10,10,9,10,11,6,R.32.01
6,10,13,8,5,10,11,R.32.01
6,9,12,8,10,13,12,R.43.01.03.05
7,11,13,8,9,11,14,R.43.01.03.05
7,5,10,15,13,8,8,R.43.01.03.05
5,8,11,4,8,12,12,R.43.01.03.05
6,9,10,5,8,11,13,R.43.01.03.05
6,8,9,7,12,11,9,R.43.01.03.05
7,9,14,7,8,11,11,R.43.01.03.05
7,15,9,8,11,9,15,R.43.01.03.05
7,13,13,7,15,9,10,R.43.01.03.05
8,11,10,9,7,16,8,R.43.01.03.05
5,9,13,10,9,11,8,R.43.01.03.05
5,11,14,7,12,12,10,R.43.01.03.05
19,16,12,17,17,0,16,R.43.01.03.05
7,12,14,7,6,13,11,R.43.01.03.05
6,11,14,8,10,13,11,R.20.01.01.01
9,17,16,10,13,8,14,R.42.01
9,11,8,9,15,12,6,R.42.01
6,3,1,15,7,10,6,R.42.01
7,9,15,8,16,10,8,R.42.01
6,12,12,4,10,14,13,R.42.01
8,9,9,10,10,17,11,R.42.01
5,7,10,7,9,13,12,R.42.01
6,10,13,6,8,13,12,R.42.01
9,10,13,12,9,7,11,R.42.01
8,12,12,7,11,10,14,R.42.01
7,11,14,6,11,12,11,R.12.04.01
7,7,12,7,10,13,12,R.12.04.01
9,6,9,8,10,12,8,R.01.06.05
5,11,14,2,11,11,17,R.02.13
6,13,14,6,11,13,12,R.10.03.01
2,1,5,8,8,19,10,R.10.03.01
6,9,14,7,11,13,13,R.10.03.01
7,10,16,12,10,11,11,R.10.03.01
6,10,16,4,12,8,13,R.10.03.01
5,9,12,8,9,13,11,R.10.03.01
7,0,0,19,6,11,0,R.10.03.01
6,10,10,6,8,15,11,R.10.03.01
5,10,13,6,12,9,10,R.10.03.01
6,7,11,2,9,13,15,R.10.03.01
6,11,11,4,12,10,12,R.16.01
6,9,11,6,9,11,8,R.16.01
5,11,15,8,10,14,11,R.16.01
7,10,11,10,9,12,11,R.16.01
7,11,15,7,9,12,9,R.16.01
5,9,10,5,9,13,11,R.16.01
7,9,6,5,10,12,12,R.16.01
6,8,12,6,8,13,11,R.16.01
6,10,12,6,11,14,10,R.16.01
8,10,15,7,12,10,11,R.16.01
6,12,13,7,9,15,10,R.16.01
7,13,8,1,10,12,10,R.16.01
7,8,13,7,7,14,9,R.16.01
6,10,11,7,9,13,11,R.16.01
7,10,15,7,13,10,11,R.16.01
5,12,13,1,10,11,13,R.16.01
5,10,11,5,8,14,12,R.16.01
7,12,13,8,11,9,13,R.16.01
7,10,13,8,9,11,12,R.16.01
6,9,10,1,10,12,14,R.16.01
7,9,14,13,8,14,10,R.16.01
6,12,12,7,14,16,11,R.16.01
7,9,14,9,9,12,11,R.16.01
6,9,13,5,13,11,8,R.16.01
9,12,13,5,12,10,12,R.16.01
5,8,10,0,10,12,13,R.16.01
6,10,9,6,7,14,10,R.16.01
8,10,10,4,8,12,11,R.16.01
5,10,10,6,10,8,10,R.32.01.01
9,11,12,11,17,9,11,R.11.04.02
6,9,9,8,10,11,13,R.20.09.07.03
7,12,15,10,11,12,11,R.20.09.07.03
4,10,13,6,10,12,12,R.20.09.07.03
13,12,9,12,16,7,14,R.10.03.02
9,9,14,10,16,10,12,R.10.03.02
8,14,14,9,10,10,11,R.20.01.13
5,10,13,14,0,18,10,R.10.03.04.05
5,7,10,5,12,12,9,R.01.07
5,12,11,6,10,13,11,R.11.04.03.01
4,11,11,8,11,13,7,R.11.04.03.01
7,10,13,7,11,13,8,R.11.04.03.01
6,10,16,10,10,15,10,R.99
3,5,16,8,13,11,16,R.99
9,13,12,8,8,13,10,R.20.03
7,8,19,6,7,17,10,R.20.03
6,11,14,8,10,13,11,R.20.03
7,14,10,3,11,12,17,R.14.07.02.02
3,11,14,5,12,18,8,R.14.13
4,10,10,6,10,12,10,R.12.01
6,11,12,7,10,19,8,R.01.06
7,14,16,10,12,11,15,R.01.06
4,11,15,7,8,12,12,R.01.06
7,5,15,9,9,13,9,R.01.06
1,10,14,4,10,13,11,R.01.06
6,13,12,5,10,17,9,R.14.10
6,7,14,10,5,10,11,R.14.10
5,8,12,7,8,13,11,R.14.10
7,11,16,5,9,14,12,R.14.10
8,10,14,9,10,12,12,R.14.10
6,12,12,4,10,14,12,R.14.10
7,9,14,6,10,12,11,R.14.10
6,11,14,6,11,13,13,R.20.09.04
6,14,13,5,11,13,11,R.20.09.04
8,9,13,7,11,11,13,R.20.09.04
8,10,12,7,10,11,14,R.20.09.04
7,12,12,6,5,17,12,R.02.13.03
11,10,14,7,11,11,13,R.34.11.03.07
7,11,14,9,13,15,7,R.34.11.03.07
8,7,12,9,11,13,10,R.34.11.03.07
7,9,13,14,14,8,13,R.34.11.03.07
8,11,15,8,9,13,10,R.14.07.11
6,10,14,6,8,13,10,R.14.07.11
6,13,17,7,3,12,14,R.16.03.03
7,11,8,5,11,12,11,R.16.03.03
7,10,11,7,10,13,8,R.16.03.03
5,10,16,8,8,14,12,R.16.03.03
6,10,13,11,11,14,11,R.16.03.03
8,11,14,7,12,11,11,R.16.03.03
7,9,14,8,8,12,9,R.01.02
11,11,13,10,13,13,11,R.01.02
8,11,12,9,9,11,13,R.01.02
7,12,11,7,10,13,9,R.14.07.05
4,10,7,7,9,14,14,R.14.07.05
6,11,13,8,7,17,16,R.20.09.18
7,12,13,11,6,14,13,R.20.09.18
7,13,13,8,9,15,7,R.20.09.18
9,12,12,9,7,14,13,R.20.09.18
4,10,8,4,9,12,10,R.20.09.18
5,10,16,9,10,12,8,R.20.09.18
5,9,16,7,11,13,12,R.01.03.01
7,10,12,6,11,12,15,R.12.10
8,8,12,7,11,10,10,R.12.10
6,9,11,7,10,15,10,R.12.10
5,11,11,6,10,11,9,R.14.13.01.01
7,11,11,5,6,15,11,R.14.13.01.01
6,10,8,5,8,12,13,R.14.13.01.01
8,8,10,6,10,12,9,R.14.13.01.01
6,11,14,6,10,14,11,R.18.02.01
16,15,15,8,7,10,8,R.02.19
9,10,16,11,6,13,8,R.20.01.15
8,9,13,7,7,14,9,R.20.01.15
6,9,16,7,12,13,12,R.16.21.07
7,11,13,3,9,13,8,R.20.01.10
6,9,17,6,8,16,10,R.20.01.10
5,10,13,6,10,16,10,R.11.06.02
7,10,13,7,12,11,12,R.42.10.03
6,11,13,8,7,17,14,R.20.09.16
7,13,17,8,18,7,13,R.01.06.06.11
2,10,17,9,11,9,8,R.01.06.06.11
5,9,12,7,8,14,8,R.14.01
5,8,10,5,11,11,11,R.14.01
6,12,16,8,7,13,7,R.16.19.03
6,10,15,11,8,12,11,R.16.19.03
4,10,9,6,13,11,11,R.16.19.03
8,10,12,9,9,14,7,R.16.19.03
6,11,9,5,7,14,13,R.14.07.04
6,11,14,6,6,17,9,R.42.04.03
6,11,15,9,10,14,11,R.20.09.07
8,11,12,7,14,10,9,R.10.01.09.05
2,4,11,8,13,12,11,R.10.01.09.05
7,10,14,11,8,14,9,R.10.01.09.05
6,12,15,7,10,15,11,R.01.01.06.05
6,11,14,9,10,10,11,R.10.03.01.03
7,11,15,8,10,13,9,R.01.03.04
6,8,12,6,6,10,10,R.01.01.03.05.01
7,9,19,6,6,17,9,R.14.13.01
5,9,13,7,12,10,13,R.42.04.05
4,12,13,6,9,13,10,R.01.06.02.01
9,10,15,8,12,12,16,R.01.06.02.01
7,11,14,8,11,11,13,R.01.06.02.01
8,11,11,4,9,12,12,R.01.01.09.06.01
6,11,16,6,11,10,11,R.42.04
4,6,15,7,12,14,16,R.01.03.01.03
5,11,14,6,7,12,10,R.01.01.06.06.01.03
5,12,12,5,7,15,10,R.02.45
6,12,13,7,10,13,13,R.01.06.02.02
8,10,10,6,12,14,13,R.01.01
6,10,12,8,11,13,9,R.34.07.01
5,10,11,8,8,13,12,R.20.01.07
6,10,11,7,9,11,10,R.30.01.05.05.01
10,11,10,10,19,11,14,R.10.01.03.05
7,13,14,7,12,15,11,R.10.01.05.03.01
7,14,17,2,2,15,11,R.01.01.03.02.01
4,11,10,6,10,13,12,R.20.09.07.05
5,9,12,6,7,14,11,R.14
7,10,10,7,8,13,9,R.42.08
7,9,12,7,11,13,10,R.01.01.09.04.01
8,10,14,7,10,10,17,R.01.20.15
3,2,16,11,9,9,7,R.01.01.06.05.01
7,12,14,7,9,12,10,R.20.09.07.25
