@relation cellcycle0_TEST-D
@attribute cln3-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute clb2-2 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute alpha7 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_10 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_140 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_250 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc28_30 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc28_60 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc28_120 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute elu300 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@attribute class {R.11.02.03.01,R.12.04.02,R.01.04,R.43.01.03.09,R.32.01,R.20.01.17,R.12.04.01,R.14.10,R.20.09.07.03,R.16.03.03,R.10.03.01.01.11,R.42.01,R.01.05,R.20.03,R.01.03.01.03,R.10.01.09.05,R.11.02.03.04,R.12.10,R.01.05.25,R.16.19.03,R.11.04.03.01,R.34.11.03.07,R.42.04.05,R.10.01.03.05,R.14.04,R.16.01,R.43.01.03.05,R.42.16,R.12.01.01,R.01.07.01,R.20.09.07,R.32.07,R.01.03.07,R.01.05.02.07,R.01.06,R.20.09.04,R.20.01.13,R.01.06.02.01,R.20.01.27,R.11.06.02,R.14.07.02,R.10.01.05.01,R.20.09.13,R.14.07.02.02,R.01.01.06.06.01.03,R.12.07,R.14.13,R.10.03.01,R.10,R.16.03.01,R.42.04,R.34.01.01.01,R.01.01,R.02.01,R.11,R.20.01.01.01,R.01.05.13.01,R.20.01.03,R.01.20.15,R.11.04.01,R.01.03.01,R.14.07.11,R.20.09.18,R.42.27.03,R.10.03.01.01.09,R.20.01.07,R.42.04.03,R.20.01.15,R.01.01.06.04.02,R.14.07.04,R.20.09.16,R.14.01,R.11.02.03.04.03,R.01.06.06.11,R.14.13.01.01,R.14.07.09,R.10.03.02,R.01.07,R.20.01.10,R.01.02,R.99,R.01.01.06.05,R.32.01.01,R.10.01.05.03,R.10.03.04.03,R.01.01.09.06.01,R.14.13.01,R.01.03.04.03,R.02.13.03,R.01.20.19,R.01.05.09.04,R.11.04.03.05,R.14.07.03,R.10.01.03,R.42.25,R.32,R.14.07.05,R.42.10.03,R.02.19,R.10.01.05.03.01,R.01.03.04,R.20.09.01,R.02.13,R.11.02.03.01.04,R.02.16.01,R.11.04.02,R.12.04.03,R.18.02.01,R.16.19,R.01.06.05,R.12,R.10.03.01.03,R.16.21.07,R.02.10,R.01.01.11.03.01,R.34.01.01.03,R.20.09.07.27,R.12.01,R.42.08,R.10.03.04.05,R.20.03.01.01,R.11.02.03.04.01,R.20.01.23,R.01.01.03.02.01,R.32.01.09,R.34.11.03.13,R.01.04.04,R.14.07,R.14.07.11.01,R.32.01.03,R.01.06.02.02,R.40.01,R.01.01.09.04.01,R.42.19,R.11.04.03,R.01.01.09.07.01,R.01.03.10,R.02.16,R.01.06.06,R.01.02.07,R.01.01.09.05,R.32.07.03,R.20.01.01.01.01,R.34.07.01,R.20.01.21,R.34.01.01,R.01.01.11.04.01,R.20.01.03.01,R.30.01,R.14,R.01.01.13,R.01.01.06.05.01,R.11.02.03.01.01,R.02.04,R.01.01.06.02.01,R.12.04,R.20.01.25,R.38,R.01.01.03.05.01,R.40.10.02.02.01,R.14.07.01,R.01.02.02.09,R.20.09.07.25,R.20.01.01.07.07,R.01.03.16.01,R.40.20,R.10.03.03,R.01.06.10,R.01.03.01.01,R.02.45,R.14.13.04,R.20.01.01.07,R.01.01.06.05.01.01,R.20.09.18.09.01,R.10.01.05,R.01.01.09.02,R.30.01.05.05.01,R.11.04.03.03,R.02.01.03,R.01.01.09.03.01,R.18.02.09,R.42.10,R.20.09.07.05,R.20.01.03.03,R.16.21.17,R.01.03.04.01,R.01.05.06.07,R.11.02.01,R.18.02.01.01.01,R.01.01.03.03.01}
@data
10,10,4,13,8,9,8,13,9,6,R.11.02.03.04
11,10,10,14,4,12,8,12,8,8,R.11.02.03.04
10,9,7,14,5,12,6,8,10,10,R.11.02.03.04
9,10,6,14,5,10,8,12,6,5,R.11.02.03.04
10,10,8,16,6,10,9,13,6,4,R.11.02.03.04
15,8,7,14,7,7,8,14,12,12,R.11.02.03.04
9,9,7,14,7,8,10,11,8,8,R.11.02.03.04
11,8,10,15,12,13,18,5,18,8,R.11.02.03.04
9,9,7,13,6,11,10,10,10,7,R.11.02.03.04
13,8,5,12,5,8,7,16,13,12,R.11.02.03.04
6,11,7,11,11,6,9,12,6,10,R.12.01.01
6,12,4,12,8,8,8,11,6,8,R.12.01.01
5,10,5,12,8,9,6,14,6,7,R.12.01.01
5,8,10,13,6,12,5,10,7,6,R.12.01.01
7,11,5,13,8,8,4,12,4,6,R.12.01.01
8,10,6,13,6,9,9,10,8,9,R.12.01.01
7,11,7,11,9,7,10,11,10,11,R.12.01.01
7,9,8,15,14,14,8,10,7,10,R.12.01.01
10,10,8,13,7,13,4,10,10,12,R.12.01.01
6,9,3,17,7,10,7,13,7,9,R.12.01.01
7,7,10,12,10,8,4,11,11,7,R.12.01.01
8,10,7,13,9,11,9,9,9,9,R.12.01.01
8,8,7,13,6,14,3,9,9,10,R.12.01.01
9,10,8,12,8,7,9,15,8,9,R.12.01.01
8,10,8,12,7,8,7,9,3,15,R.12.01.01
7,11,7,12,8,9,7,9,7,11,R.12.01.01
7,11,7,11,9,7,9,13,7,4,R.12.01.01
7,9,5,17,7,9,6,16,6,6,R.12.01.01
10,11,5,13,7,7,7,12,3,9,R.12.01.01
8,10,8,13,8,13,3,12,8,3,R.12.01.01
8,10,8,11,10,5,10,13,9,9,R.12.01.01
19,10,11,13,8,9,5,8,14,3,R.01.05
8,11,5,14,8,11,7,11,11,8,R.01.05
6,6,19,12,5,9,7,12,9,9,R.01.05
13,10,9,15,12,6,11,10,13,8,R.01.05
10,6,13,13,9,8,9,11,14,11,R.01.05
9,8,8,12,9,7,8,14,10,8,R.01.05
8,10,9,14,8,10,6,10,11,6,R.01.05
10,8,8,12,7,4,7,11,10,8,R.01.05
10,10,9,13,8,11,10,10,12,6,R.01.05
9,9,5,14,4,11,7,11,9,6,R.01.05
10,12,8,12,11,6,9,14,7,10,R.01.05
10,9,8,9,10,4,2,8,13,8,R.01.05
15,6,5,11,7,7,11,12,13,14,R.01.05
9,8,9,13,7,9,7,12,8,9,R.01.05
6,9,8,13,6,8,6,14,8,8,R.01.05
8,9,10,14,9,5,4,11,5,10,R.01.05
6,10,5,15,4,11,6,14,8,5,R.34.01.01.01
7,9,8,15,9,6,5,11,7,14,R.34.01.01.01
7,9,7,13,8,9,6,12,10,10,R.34.01.01.01
7,9,9,14,6,8,7,12,13,7,R.34.01.01.01
9,9,7,12,8,9,5,10,11,10,R.01.05.02.07
9,12,7,9,9,8,7,10,6,2,R.01.05.02.07
13,10,9,12,8,8,5,9,17,6,R.01.05.02.07
8,11,9,11,8,12,6,7,12,7,R.01.05.02.07
11,6,7,13,8,7,8,9,12,8,R.43.01.03.09
10,9,8,10,8,10,8,12,12,10,R.43.01.03.09
9,7,7,10,12,14,2,8,8,10,R.43.01.03.09
10,8,9,14,10,7,7,13,7,10,R.43.01.03.09
10,11,9,13,9,9,8,9,10,6,R.43.01.03.09
9,10,7,0,12,9,4,10,13,10,R.01.05.25
8,12,16,10,10,12,3,11,12,8,R.01.05.25
9,10,8,15,5,10,4,9,9,6,R.20.09.01
8,8,2,15,8,3,9,13,9,7,R.40.01
10,9,4,18,5,7,8,14,8,8,R.30.01
6,9,8,15,8,7,6,11,5,9,R.16.03.01
5,9,7,14,6,12,6,11,7,9,R.16.03.01
12,10,5,14,9,9,9,12,9,6,R.16.03.01
11,8,9,19,6,5,14,11,3,10,R.16.03.01
7,9,4,17,5,10,7,12,8,11,R.16.03.01
16,9,4,13,11,10,9,11,10,6,R.16.03.01
9,8,7,12,7,8,8,12,9,8,R.16.03.01
12,10,9,13,8,8,9,15,9,7,R.16.03.01
8,9,10,13,9,9,10,8,10,9,R.01.07.01
7,10,7,11,7,10,5,12,12,11,R.01.07.01
10,10,7,15,7,8,9,9,5,6,R.01.07.01
10,8,5,14,7,3,14,14,9,5,R.01.07.01
9,9,10,13,7,12,5,7,9,6,R.01.07.01
6,9,9,13,7,8,8,13,7,10,R.01.07.01
9,8,8,13,6,9,7,13,6,8,R.12.07
11,7,7,10,6,9,5,15,14,10,R.12.07
5,9,1,12,7,6,6,12,9,7,R.32.07
6,10,12,13,10,8,5,10,10,5,R.32.07
11,9,6,15,5,10,15,11,9,8,R.32.07
12,9,7,12,7,6,12,12,10,10,R.32.07
8,9,7,14,5,11,8,11,10,10,R.14.04
9,8,6,12,6,10,8,12,10,8,R.14.04
10,8,7,13,5,10,8,10,11,11,R.14.04
10,10,4,14,6,10,7,12,6,10,R.14.04
10,9,10,13,7,12,4,12,11,7,R.14.04
11,9,4,13,8,8,12,12,8,8,R.14.04
6,10,10,14,6,11,7,9,10,12,R.14.04
10,11,6,13,7,8,5,12,7,13,R.14.04
11,7,8,14,5,10,8,9,9,8,R.14.04
15,9,6,14,8,8,6,13,9,7,R.14.04
11,7,7,12,6,10,5,14,9,10,R.14.04
9,9,10,14,7,9,7,13,12,7,R.14.04
17,9,6,13,5,9,7,14,12,8,R.14.04
14,9,7,11,10,7,10,13,13,11,R.14.04
9,9,8,14,7,9,7,12,9,11,R.14.04
10,10,9,12,10,3,9,13,10,6,R.14.04
10,9,7,10,10,8,10,9,8,9,R.14.04
6,10,9,12,5,13,3,10,9,10,R.32.01
11,8,5,13,7,9,9,11,9,9,R.32.01
10,10,8,12,9,7,9,12,6,11,R.32.01
10,9,6,15,8,6,14,9,10,8,R.32.01
10,11,9,12,9,10,8,10,9,10,R.32.01
12,7,9,12,8,12,7,12,11,6,R.32.01
13,9,9,13,8,11,6,7,12,9,R.43.01.03.05
10,11,9,13,8,8,8,10,10,10,R.43.01.03.05
13,9,7,13,15,11,7,8,15,11,R.43.01.03.05
7,8,5,13,4,11,5,15,11,9,R.43.01.03.05
7,9,7,13,5,13,3,12,9,8,R.43.01.03.05
8,8,9,14,7,12,11,10,9,5,R.43.01.03.05
10,8,7,13,7,8,8,13,9,8,R.43.01.03.05
9,6,4,15,8,9,11,13,11,13,R.43.01.03.05
15,7,5,13,7,9,11,13,10,5,R.43.01.03.05
8,11,8,17,9,12,5,10,7,6,R.43.01.03.05
7,7,7,11,10,7,9,10,10,11,R.43.01.03.05
9,7,3,17,7,8,10,15,10,7,R.43.01.03.05
19,0,4,9,17,9,12,10,10,13,R.43.01.03.05
15,9,8,14,7,10,7,12,8,5,R.43.01.03.05
10,11,8,13,8,4,9,11,10,5,R.20.01.01.01
10,9,5,15,10,9,14,10,4,6,R.42.01
0,16,14,13,9,15,11,7,1,5,R.42.01
0,15,15,19,15,13,6,7,13,8,R.42.01
6,13,8,13,8,7,11,11,6,0,R.42.01
10,8,8,12,4,12,7,11,8,11,R.42.01
8,10,13,15,10,11,5,11,12,14,R.42.01
12,8,9,10,7,9,8,12,11,7,R.42.01
8,10,8,12,6,7,5,8,8,8,R.42.01
0,12,8,12,12,7,6,11,5,0,R.42.01
10,11,6,15,7,8,9,12,8,16,R.42.01
5,10,6,14,6,7,8,13,8,8,R.12.04.01
9,10,5,17,7,9,7,13,6,8,R.12.04.01
11,8,9,12,8,9,6,10,9,11,R.01.06.05
6,8,8,12,2,7,9,11,10,11,R.02.13
10,10,7,14,6,10,6,10,9,3,R.10.03.01
6,16,4,16,8,13,0,13,5,7,R.10.03.01
11,8,6,12,7,8,7,13,11,10,R.10.03.01
10,9,7,13,12,5,11,12,12,9,R.10.03.01
11,7,8,12,4,7,13,12,10,7,R.10.03.01
12,9,8,11,8,10,7,11,9,8,R.10.03.01
11,10,7,16,19,11,2,6,9,19,R.10.03.01
9,8,9,14,6,11,8,16,10,9,R.10.03.01
7,12,5,14,6,11,7,10,6,8,R.10.03.01
5,11,7,14,2,10,8,13,8,5,R.10.03.01
9,9,5,15,4,11,6,11,7,8,R.16.01
9,10,8,14,6,10,7,13,9,6,R.16.01
11,9,0,13,8,7,6,15,7,7,R.16.01
7,9,8,12,10,7,7,12,9,9,R.16.01
9,7,8,13,7,8,9,13,9,12,R.16.01
9,9,12,15,5,11,8,10,10,10,R.16.01
7,9,8,13,5,14,6,11,10,9,R.16.01
12,9,8,12,6,9,8,16,8,11,R.16.01
7,11,6,14,6,10,6,12,8,11,R.16.01
10,9,9,14,7,8,9,14,7,9,R.16.01
11,10,4,15,7,9,6,12,9,9,R.16.01
7,9,7,14,1,12,7,11,9,7,R.16.01
10,9,9,13,7,10,3,11,11,8,R.16.01
13,8,7,15,7,9,7,10,9,9,R.16.01
11,9,8,14,7,8,9,18,7,9,R.16.01
4,9,5,16,1,11,9,11,9,10,R.16.01
16,9,7,13,5,9,8,8,9,8,R.16.01
10,10,9,13,8,8,6,8,9,13,R.16.01
9,10,7,12,8,11,7,12,9,6,R.16.01
7,9,6,15,1,9,8,11,6,6,R.16.01
12,8,8,12,13,8,8,15,11,8,R.16.01
10,10,7,13,7,9,5,14,9,9,R.16.01
12,9,14,16,9,4,5,12,9,9,R.16.01
10,6,9,13,5,7,7,12,5,10,R.16.01
11,9,5,15,5,10,9,9,7,6,R.16.01
9,9,8,14,0,9,6,11,6,9,R.16.01
11,10,8,14,6,12,6,12,10,10,R.16.01
4,9,8,12,4,11,7,12,8,9,R.16.01
7,9,6,12,6,10,6,9,6,8,R.32.01.01
10,7,8,14,11,9,13,8,17,14,R.11.04.02
9,9,8,14,8,10,7,12,10,11,R.20.09.07.03
11,8,7,12,10,9,9,12,10,8,R.20.09.07.03
9,9,5,13,6,9,8,12,9,8,R.20.09.07.03
17,8,6,14,12,8,11,7,8,9,R.10.03.02
12,9,6,13,10,8,15,4,16,12,R.10.03.02
13,10,6,13,9,9,8,11,14,8,R.20.01.13
8,8,6,13,14,8,5,19,13,11,R.10.03.04.05
8,9,12,15,5,9,11,10,9,10,R.01.07
11,9,6,14,6,9,8,13,10,9,R.11.04.03.01
8,9,7,14,8,7,7,14,9,7,R.11.04.03.01
10,9,8,13,7,8,7,11,11,5,R.11.04.03.01
9,9,8,10,10,6,12,6,10,11,R.99
7,9,5,13,8,5,7,15,9,11,R.99
11,9,5,10,8,10,5,9,15,13,R.20.03
9,8,7,12,6,6,3,14,9,6,R.20.03
12,8,7,12,8,10,8,12,10,5,R.20.03
14,8,4,13,3,9,8,13,11,10,R.14.07.02.02
10,9,7,13,5,11,12,16,10,11,R.14.13
10,9,5,18,6,10,5,13,8,9,R.12.01
11,9,9,13,7,9,8,12,13,9,R.01.06
18,6,3,15,10,7,14,12,10,14,R.01.06
10,8,4,11,7,8,6,12,11,7,R.01.06
7,9,11,12,9,7,9,11,10,12,R.01.06
7,9,2,14,4,6,9,13,9,11,R.01.06
10,9,7,14,5,11,6,11,14,10,R.14.10
10,10,10,9,10,9,3,8,15,9,R.14.10
8,9,9,13,7,9,6,10,10,11,R.14.10
10,11,4,12,5,8,6,12,13,6,R.14.10
11,10,16,12,9,9,7,12,7,7,R.14.10
11,9,7,14,4,10,5,8,14,11,R.14.10
8,8,8,11,6,8,6,11,10,14,R.14.10
10,11,5,14,6,8,10,11,9,9,R.20.09.04
14,9,8,11,5,11,9,11,10,7,R.20.09.04
11,9,10,13,7,8,6,10,8,10,R.20.09.04
8,10,8,12,7,10,8,11,6,9,R.20.09.04
13,9,7,13,6,7,5,14,11,9,R.02.13.03
11,7,8,12,7,9,6,11,10,3,R.34.11.03.07
3,10,10,12,9,7,10,13,0,17,R.34.11.03.07
6,10,8,12,9,9,8,12,12,10,R.34.11.03.07
13,7,18,12,14,11,9,11,10,6,R.34.11.03.07
11,10,8,15,8,7,7,13,10,7,R.14.07.11
9,9,7,16,6,9,6,15,8,10,R.14.07.11
11,9,7,11,7,6,9,17,9,8,R.16.03.03
11,9,7,14,5,12,9,10,12,11,R.16.03.03
8,10,7,14,7,9,5,13,9,8,R.16.03.03
8,10,5,14,8,7,6,15,9,8,R.16.03.03
10,9,7,11,11,6,9,13,11,9,R.16.03.03
10,9,7,13,7,9,11,12,10,11,R.16.03.03
7,10,6,11,8,10,5,7,10,8,R.01.02
13,8,7,13,10,8,6,6,11,8,R.01.02
10,13,9,14,9,10,5,10,8,9,R.01.02
10,10,5,14,7,9,6,15,7,5,R.14.07.05
10,7,8,16,7,9,8,14,10,10,R.14.07.05
11,11,9,12,8,2,5,2,19,8,R.20.09.18
10,9,6,14,11,8,9,14,9,5,R.20.09.18
17,9,9,12,8,8,3,16,12,9,R.20.09.18
6,8,11,10,9,10,10,11,7,9,R.20.09.18
7,5,1,12,4,13,5,10,6,12,R.20.09.18
7,8,9,12,9,6,11,12,5,14,R.20.09.18
7,9,7,12,7,3,7,15,11,11,R.01.03.01
10,10,6,15,6,10,8,11,9,13,R.12.10
9,12,7,13,7,10,8,13,7,13,R.12.10
10,8,6,15,7,10,7,11,10,11,R.12.10
7,10,6,13,6,12,5,10,7,4,R.14.13.01.01
7,11,7,12,5,13,3,11,12,5,R.14.13.01.01
7,9,7,13,5,13,7,10,7,8,R.14.13.01.01
7,11,6,13,6,13,8,10,9,9,R.14.13.01.01
8,8,6,13,6,7,8,13,6,8,R.18.02.01
7,9,15,12,8,7,0,5,14,4,R.02.19
9,11,9,9,11,9,2,10,11,9,R.20.01.15
7,8,8,11,7,10,6,11,9,11,R.20.01.15
11,8,9,13,7,7,11,9,8,11,R.16.21.07
12,10,7,10,3,18,9,11,8,4,R.20.01.10
11,9,6,13,6,7,4,11,14,10,R.20.01.10
10,11,6,13,6,8,5,14,8,8,R.11.06.02
11,9,2,14,7,7,6,15,8,7,R.42.10.03
9,9,9,13,8,8,6,11,11,13,R.20.09.16
13,8,4,13,8,6,18,16,5,5,R.01.06.06.11
8,11,3,13,9,7,6,10,9,7,R.01.06.06.11
6,6,5,16,7,6,7,13,8,12,R.14.01
6,9,5,16,5,13,7,11,7,7,R.14.01
9,10,8,13,8,8,5,13,8,10,R.16.19.03
12,9,7,13,11,3,7,11,9,9,R.16.19.03
6,8,4,18,6,9,9,10,9,11,R.16.19.03
11,9,9,13,9,8,9,11,10,7,R.16.19.03
7,9,4,15,5,11,7,12,10,9,R.14.07.04
11,9,5,10,6,10,5,13,6,6,R.42.04.03
10,9,6,14,9,8,7,12,6,10,R.20.09.07
8,10,7,12,8,8,7,14,6,8,R.12.04.02
12,7,7,13,7,9,10,10,9,7,R.10.01.09.05
11,8,8,15,8,4,13,12,4,8,R.10.01.09.05
17,8,7,14,11,10,4,16,13,4,R.10.01.09.05
7,12,7,17,7,6,7,11,9,11,R.01.01.06.05
11,10,7,12,9,5,10,12,11,11,R.10.03.01.03
