@relation cellcycle0_TEST-D
 @attribute cln3-2 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute alpha0 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute alpha49 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_30 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_70 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_100 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_200 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_270 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute elu60 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute elu210 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@attribute class {R.11.02.03.01,R.12.04.02,R.01.04,R.43.01.03.09,R.32.01,R.20.01.17,R.12.04.01,R.14.10,R.20.09.07.03,R.16.03.03,R.10.03.01.01.11,R.42.01,R.01.05,R.20.03,R.01.03.01.03,R.10.01.09.05,R.11.02.03.04,R.12.10,R.01.05.25,R.16.19.03,R.11.04.03.01,R.34.11.03.07,R.42.04.05,R.10.01.03.05,R.14.04,R.16.01,R.43.01.03.05,R.42.16,R.12.01.01,R.01.07.01,R.20.09.07,R.32.07,R.01.03.07,R.01.05.02.07,R.01.06,R.20.09.04,R.20.01.13,R.01.06.02.01,R.20.01.27,R.11.06.02,R.14.07.02,R.10.01.05.01,R.20.09.13,R.14.07.02.02,R.01.01.06.06.01.03,R.12.07,R.14.13,R.10.03.01,R.10,R.16.03.01,R.42.04,R.34.01.01.01,R.01.01,R.02.01,R.11,R.20.01.01.01,R.01.05.13.01,R.20.01.03,R.01.20.15,R.11.04.01,R.01.03.01,R.14.07.11,R.20.09.18,R.42.27.03,R.10.03.01.01.09,R.20.01.07,R.42.04.03,R.20.01.15,R.01.01.06.04.02,R.14.07.04,R.20.09.16,R.14.01,R.11.02.03.04.03,R.01.06.06.11,R.14.13.01.01,R.14.07.09,R.10.03.02,R.01.07,R.20.01.10,R.01.02,R.99,R.01.01.06.05,R.32.01.01,R.10.01.05.03,R.10.03.04.03,R.01.01.09.06.01,R.14.13.01,R.01.03.04.03,R.02.13.03,R.01.20.19,R.01.05.09.04,R.11.04.03.05,R.14.07.03,R.10.01.03,R.42.25,R.32,R.14.07.05,R.42.10.03,R.02.19,R.10.01.05.03.01,R.01.03.04,R.20.09.01,R.02.13,R.11.02.03.01.04,R.02.16.01,R.11.04.02,R.12.04.03,R.18.02.01,R.16.19,R.01.06.05,R.12,R.10.03.01.03,R.16.21.07,R.02.10,R.01.01.11.03.01,R.34.01.01.03,R.20.09.07.27,R.12.01,R.42.08,R.10.03.04.05,R.20.03.01.01,R.11.02.03.04.01,R.20.01.23,R.01.01.03.02.01,R.32.01.09,R.34.11.03.13,R.01.04.04,R.14.07,R.14.07.11.01,R.32.01.03,R.01.06.02.02,R.40.01,R.01.01.09.04.01,R.42.19,R.11.04.03,R.01.01.09.07.01,R.01.03.10,R.02.16,R.01.06.06,R.01.02.07,R.01.01.09.05,R.32.07.03,R.20.01.01.01.01,R.34.07.01,R.20.01.21,R.34.01.01,R.01.01.11.04.01,R.20.01.03.01,R.30.01,R.14,R.01.01.13,R.01.01.06.05.01,R.11.02.03.01.01,R.02.04,R.01.01.06.02.01,R.12.04,R.20.01.25,R.38,R.01.01.03.05.01,R.40.10.02.02.01,R.14.07.01,R.01.02.02.09,R.20.09.07.25,R.20.01.01.07.07,R.01.03.16.01,R.40.20,R.10.03.03,R.01.06.10,R.01.03.01.01,R.02.45,R.14.13.04,R.20.01.01.07,R.01.01.06.05.01.01,R.20.09.18.09.01,R.10.01.05,R.01.01.09.02,R.30.01.05.05.01,R.11.04.03.03,R.02.01.03,R.01.01.09.03.01,R.18.02.09,R.42.10,R.20.09.07.05,R.20.01.03.03,R.16.21.17,R.01.03.04.01,R.01.05.06.07,R.11.02.01,R.18.02.01.01.01,R.01.01.03.03.01}
@data
7,7,10,9,8,11,12,7,12,10,R.11.02.03.04
8,7,9,10,10,11,10,9,10,11,R.11.02.03.04
9,8,8,11,9,10,10,10,12,10,R.11.02.03.04
7,9,9,12,9,10,10,8,11,10,R.11.02.03.04
9,10,11,12,11,12,6,6,14,7,R.11.02.03.04
8,2,12,10,9,11,10,8,8,18,R.11.02.03.04
8,9,10,9,13,11,8,5,15,10,R.11.02.03.04
11,6,6,16,7,8,5,10,13,11,R.11.02.03.04
6,8,10,10,6,17,12,8,13,10,R.11.02.03.04
9,9,11,6,11,19,12,6,12,11,R.11.02.03.04
7,8,11,6,8,15,9,1,14,14,R.12.01.01
8,8,8,9,10,13,10,4,12,12,R.12.01.01
9,8,10,9,9,9,6,5,11,16,R.12.01.01
5,9,8,8,7,9,8,10,10,10,R.12.01.01
8,8,10,9,8,13,9,7,13,14,R.12.01.01
8,8,9,9,12,12,9,7,13,14,R.12.01.01
8,9,9,7,9,13,13,3,12,13,R.12.01.01
7,8,8,9,8,9,9,13,12,15,R.12.01.01
7,10,10,9,8,10,8,11,12,11,R.12.01.01
9,7,10,15,9,12,5,6,14,11,R.12.01.01
8,7,10,9,6,12,12,6,13,11,R.12.01.01
8,8,10,10,9,10,8,10,12,12,R.12.01.01
7,8,10,8,7,9,9,13,10,16,R.12.01.01
7,9,11,8,9,12,14,4,14,11,R.12.01.01
6,8,9,8,9,13,10,5,10,14,R.12.01.01
8,10,9,9,9,11,9,6,15,14,R.12.01.01
8,15,10,7,9,13,7,2,15,13,R.12.01.01
8,7,9,15,10,11,5,3,12,13,R.12.01.01
8,8,10,11,8,18,9,5,12,13,R.12.01.01
8,7,9,9,8,10,8,11,10,11,R.12.01.01
9,7,12,8,10,13,13,1,10,13,R.12.01.01
14,5,9,8,9,10,13,8,12,12,R.01.05
8,9,10,10,8,10,11,10,11,11,R.01.05
5,17,12,12,9,10,11,9,12,7,R.01.05
6,8,11,10,7,11,14,7,12,12,R.01.05
9,9,11,10,8,13,11,5,8,16,R.01.05
8,8,10,8,7,12,10,3,14,12,R.01.05
8,9,7,9,6,9,13,9,16,9,R.01.05
6,7,8,11,8,12,11,10,15,12,R.01.05
9,5,11,9,7,11,11,10,11,16,R.01.05
11,8,8,8,10,9,11,10,12,12,R.01.05
8,5,11,9,5,11,12,5,10,14,R.01.05
9,8,9,10,7,14,14,5,12,11,R.01.05
15,10,9,7,15,12,12,5,5,19,R.01.05
9,8,9,10,8,12,10,7,11,12,R.01.05
9,8,9,11,10,11,7,7,12,11,R.01.05
3,10,7,9,5,11,11,7,19,10,R.01.05
7,9,9,11,9,10,9,9,12,10,R.34.01.01.01
8,6,9,11,8,13,11,3,9,13,R.34.01.01.01
8,9,10,9,9,12,11,6,12,10,R.34.01.01.01
9,9,8,10,9,12,12,4,16,14,R.34.01.01.01
7,8,11,9,9,12,9,4,17,12,R.01.05.02.07
9,8,10,1,6,12,17,5,15,10,R.01.05.02.07
7,8,9,9,9,11,11,6,13,6,R.01.05.02.07
8,7,9,6,8,11,11,9,9,13,R.01.05.02.07
7,8,9,11,8,13,12,3,12,10,R.43.01.03.09
8,8,11,11,9,13,11,7,14,10,R.43.01.03.09
6,7,11,8,5,6,6,15,16,9,R.43.01.03.09
4,7,12,10,8,14,11,3,13,10,R.43.01.03.09
8,8,8,7,7,11,15,9,12,10,R.43.01.03.09
8,10,8,10,7,13,13,6,12,10,R.01.05.25
5,5,5,6,7,9,8,15,10,9,R.01.05.25
9,8,10,11,9,10,9,11,12,9,R.20.09.01
8,8,10,11,10,12,5,7,11,10,R.40.01
7,8,11,16,11,11,12,3,11,11,R.30.01
8,10,9,11,8,12,10,4,16,13,R.16.03.01
9,8,10,9,11,10,3,10,14,14,R.16.03.01
9,9,10,11,9,8,11,6,12,8,R.16.03.01
9,7,10,16,9,12,13,2,8,7,R.16.03.01
8,9,12,15,10,12,5,8,10,11,R.16.03.01
7,6,5,13,7,10,8,6,11,14,R.16.03.01
9,8,10,9,8,11,10,7,10,14,R.16.03.01
8,7,11,10,10,11,10,5,17,10,R.16.03.01
7,7,11,10,8,12,12,5,14,10,R.01.07.01
8,6,9,5,8,12,12,8,12,13,R.01.07.01
7,9,9,12,7,11,10,8,13,10,R.01.07.01
13,7,10,11,9,9,9,10,11,13,R.01.07.01
7,9,7,9,8,9,10,12,13,11,R.01.07.01
8,10,11,11,10,13,10,5,17,10,R.01.07.01
5,8,10,11,9,11,8,6,9,10,R.12.07
8,7,8,10,9,11,11,6,12,9,R.12.07
5,4,10,7,6,14,13,2,16,8,R.32.07
6,7,11,7,8,13,19,6,10,11,R.32.07
7,6,11,12,11,12,9,9,13,10,R.32.07
9,8,9,9,8,14,13,11,12,13,R.32.07
9,9,9,12,9,10,10,8,11,11,R.14.04
9,8,10,9,10,11,9,8,10,10,R.14.04
9,10,9,11,10,11,10,7,11,11,R.14.04
12,6,12,13,9,11,5,7,11,15,R.14.04
7,10,9,9,8,11,8,10,10,10,R.14.04
10,11,9,10,9,12,11,4,13,12,R.14.04
10,8,10,12,9,9,7,9,16,8,R.14.04
5,9,10,10,9,11,10,7,12,11,R.14.04
7,7,10,9,8,19,10,8,13,9,R.14.04
8,8,10,5,10,11,12,5,12,9,R.14.04
8,8,10,10,14,10,9,7,10,11,R.14.04
8,7,8,12,9,11,9,6,17,13,R.14.04
6,7,10,10,10,12,12,7,15,9,R.14.04
9,7,8,7,9,13,12,3,14,12,R.14.04
8,9,9,8,9,12,9,6,11,11,R.14.04
8,9,9,11,9,13,12,1,14,10,R.14.04
7,6,8,10,7,11,10,4,13,11,R.14.04
9,10,8,8,9,11,8,13,10,12,R.32.01
10,7,11,10,9,13,13,7,9,13,R.32.01
8,9,9,9,8,12,12,8,12,11,R.32.01
7,9,7,13,7,11,14,5,11,11,R.32.01
7,10,11,8,9,9,11,7,13,6,R.32.01
11,9,9,3,9,9,10,11,11,11,R.32.01
9,7,9,14,10,10,9,6,12,12,R.43.01.03.05
8,9,8,10,9,11,10,6,11,14,R.43.01.03.05
9,1,2,15,6,8,7,10,13,8,R.43.01.03.05
10,7,13,9,11,10,8,9,10,12,R.43.01.03.05
10,7,10,9,8,10,6,10,11,13,R.43.01.03.05
9,9,10,12,8,9,7,10,12,9,R.43.01.03.05
7,8,10,10,10,12,12,4,14,11,R.43.01.03.05
15,7,10,11,9,11,10,6,7,15,R.43.01.03.05
9,8,9,13,11,9,9,6,11,10,R.43.01.03.05
0,19,6,12,6,10,8,9,13,8,R.43.01.03.05
8,7,11,7,8,15,11,6,12,8,R.43.01.03.05
7,10,10,13,10,11,11,6,10,10,R.43.01.03.05
19,0,1,18,11,3,8,8,14,16,R.43.01.03.05
8,8,9,11,9,11,11,7,11,11,R.43.01.03.05
5,9,10,11,8,14,13,8,13,11,R.20.01.01.01
8,8,8,13,11,11,11,5,9,14,R.42.01
0,16,2,13,2,7,15,6,17,6,R.42.01
1,9,0,16,0,3,7,15,8,6,R.42.01
6,8,9,10,8,12,10,6,11,8,R.42.01
3,8,11,9,9,13,11,8,10,13,R.42.01
8,14,8,10,7,10,6,10,9,11,R.42.01
8,7,10,8,10,11,11,7,12,12,R.42.01
8,7,9,9,11,13,13,4,10,12,R.42.01
3,8,9,5,5,15,10,3,16,11,R.42.01
12,6,10,11,8,11,8,5,16,14,R.42.01
9,9,9,10,10,10,15,3,11,11,R.12.04.01
10,7,10,14,10,11,7,5,16,12,R.12.04.01
6,9,8,11,9,13,12,7,13,8,R.01.06.05
10,9,11,6,13,13,12,6,13,17,R.02.13
10,9,9,10,10,11,11,7,11,12,R.10.03.01
5,5,12,10,1,14,10,8,8,10,R.10.03.01
9,6,10,9,10,12,13,4,12,13,R.10.03.01
9,8,10,10,9,13,10,4,11,11,R.10.03.01
4,11,11,8,13,14,11,5,12,13,R.10.03.01
11,9,11,9,9,11,8,6,9,11,R.10.03.01
5,0,0,19,9,0,1,10,18,0,R.10.03.01
8,10,9,10,9,12,10,8,11,11,R.10.03.01
9,9,8,12,9,11,8,8,11,10,R.10.03.01
8,7,9,11,10,10,10,7,15,15,R.10.03.01
12,8,10,12,10,10,9,8,11,12,R.16.01
8,8,9,10,9,11,10,9,15,8,R.16.01
10,9,11,9,10,12,15,5,8,11,R.16.01
8,8,10,9,10,12,7,1,12,11,R.16.01
8,8,11,10,10,13,10,7,14,9,R.16.01
8,8,9,12,9,10,8,7,13,11,R.16.01
9,8,10,9,9,11,7,11,11,12,R.16.01
8,4,12,10,10,11,7,5,18,11,R.16.01
7,8,11,11,8,11,8,8,10,10,R.16.01
7,8,12,10,8,12,9,6,15,11,R.16.01
8,7,9,12,10,11,10,4,16,10,R.16.01
2,8,11,10,13,7,9,12,9,10,R.16.01
8,8,10,9,9,13,9,7,13,9,R.16.01
6,8,10,11,11,10,9,7,9,11,R.16.01
8,8,10,11,11,12,17,6,12,11,R.16.01
8,9,8,14,13,9,4,8,10,13,R.16.01
7,11,8,11,8,13,7,7,15,12,R.16.01
9,9,10,9,10,13,7,4,12,13,R.16.01
10,7,11,6,8,11,7,9,12,12,R.16.01
11,6,9,11,10,10,11,6,9,14,R.16.01
7,8,9,10,8,14,10,6,11,10,R.16.01
4,8,10,11,9,11,10,8,13,11,R.16.01
6,16,7,12,12,12,16,4,11,11,R.16.01
7,9,10,12,9,11,12,4,16,8,R.16.01
13,8,9,12,9,11,13,8,10,12,R.16.01
7,8,10,11,9,12,10,5,10,13,R.16.01
8,10,10,11,7,8,11,9,9,10,R.16.01
8,8,10,7,9,10,14,12,11,11,R.16.01
8,8,8,4,7,11,12,10,13,10,R.32.01.01
5,6,9,15,6,10,9,6,11,11,R.11.04.02
9,8,9,10,9,12,11,7,4,13,R.20.09.07.03
8,7,9,9,8,11,12,5,10,11,R.20.09.07.03
8,7,19,9,6,11,17,7,13,12,R.20.09.07.03
16,3,7,15,9,8,8,6,10,14,R.10.03.02
9,7,11,10,8,10,18,7,9,12,R.10.03.02
11,7,8,8,9,11,15,5,10,11,R.20.01.13
7,7,13,8,10,12,12,5,12,10,R.10.03.04.05
8,7,10,11,6,10,13,6,13,9,R.01.07
8,8,7,11,8,10,11,3,12,11,R.11.04.03.01
7,9,12,13,7,11,10,8,14,7,R.11.04.03.01
6,11,9,10,8,11,15,6,13,8,R.11.04.03.01
9,8,10,14,8,14,13,7,15,10,R.99
8,8,12,11,9,13,12,1,13,16,R.99
11,7,9,3,8,15,13,9,12,10,R.20.03
8,8,11,8,11,15,9,2,14,10,R.20.03
9,7,9,10,9,13,12,8,17,11,R.20.03
16,7,9,10,11,10,10,6,8,17,R.14.07.02.02
5,7,12,10,8,11,12,7,12,8,R.14.13
9,9,11,15,12,9,9,7,13,10,R.12.01
8,8,8,11,7,11,9,6,14,8,R.01.06
17,6,9,13,13,10,10,3,6,15,R.01.06
10,6,11,6,9,12,16,5,9,12,R.01.06
7,8,10,8,9,13,14,4,13,9,R.01.06
9,7,10,9,12,11,10,2,9,11,R.01.06
9,8,8,10,11,12,10,8,12,9,R.14.10
10,6,10,1,10,12,13,6,11,11,R.14.10
8,9,8,9,9,11,10,7,11,11,R.14.10
12,7,9,6,11,11,15,5,10,12,R.14.10
7,7,7,8,9,13,7,7,13,12,R.14.10
9,8,10,10,9,12,11,6,7,12,R.14.10
7,8,11,12,9,13,12,5,11,11,R.14.10
8,8,9,10,10,11,11,6,10,13,R.20.09.04
14,7,9,6,10,12,9,10,7,11,R.20.09.04
6,8,9,12,5,12,12,7,13,13,R.20.09.04
10,7,10,8,7,11,11,6,7,14,R.20.09.04
8,8,12,9,7,10,12,6,13,12,R.02.13.03
12,8,9,11,12,9,2,9,17,13,R.34.11.03.07
0,9,9,12,5,14,13,8,11,7,R.34.11.03.07
9,5,9,10,7,11,10,8,9,10,R.34.11.03.07
14,5,9,10,9,8,7,8,9,13,R.34.11.03.07
10,8,9,11,9,11,13,0,14,10,R.14.07.11
9,8,12,11,12,10,9,6,12,10,R.14.07.11
8,7,10,5,11,11,14,5,11,14,R.16.03.03
8,9,11,14,10,9,6,10,11,11,R.16.03.03
7,8,11,11,9,11,10,7,14,8,R.16.03.03
9,7,9,10,10,12,9,2,13,12,R.16.03.03
8,8,10,9,10,13,11,7,12,11,R.16.03.03
11,8,9,11,7,12,10,6,12,11,R.16.03.03
11,7,11,4,9,12,10,8,13,9,R.01.02
8,7,9,11,5,12,16,6,14,11,R.01.02
8,8,8,12,8,12,11,5,9,13,R.01.02
8,7,9,12,8,11,11,5,13,9,R.14.07.05
8,9,9,12,9,11,11,7,11,14,R.14.07.05
5,8,12,12,8,12,17,6,13,16,R.20.09.18
9,8,9,12,11,11,9,4,12,13,R.20.09.18
10,7,8,9,8,12,13,5,12,7,R.20.09.18
2,9,5,7,8,13,13,7,11,13,R.20.09.18
4,3,12,4,6,9,13,12,11,10,R.20.09.18
2,10,7,10,11,13,16,0,8,8,R.20.09.18
6,8,12,10,12,13,13,8,16,12,R.01.03.01
11,10,8,13,12,8,10,8,10,15,R.12.10
10,7,10,10,9,11,9,7,13,10,R.12.10
9,8,10,12,9,10,0,5,16,10,R.12.10
9,9,9,8,8,8,11,11,10,9,R.14.13.01.01
11,8,9,8,9,10,10,10,10,11,R.14.13.01.01
9,7,9,10,10,9,0,12,11,13,R.14.13.01.01
10,7,11,9,8,10,11,11,12,9,R.14.13.01.01
8,8,8,10,10,14,13,5,10,11,R.18.02.01
6,10,7,10,7,11,12,7,12,8,R.02.19
8,9,10,1,9,12,15,5,15,8,R.20.01.15
7,10,9,8,9,13,10,7,14,9,R.20.01.15
6,10,7,9,8,12,14,5,13,12,R.16.21.07
7,9,11,6,4,18,12,17,13,8,R.20.01.10
9,8,11,9,10,13,14,2,12,10,R.20.01.10
7,9,11,7,10,10,11,5,9,10,R.11.06.02
9,7,10,12,8,12,11,5,11,12,R.42.10.03
5,11,9,7,6,13,14,5,8,14,R.20.09.16
7,8,10,8,7,13,14,4,12,13,R.01.06.06.11
9,7,11,8,11,14,12,3,14,8,R.01.06.06.11
8,8,13,13,9,13,10,5,17,8,R.14.01
7,9,10,15,11,10,6,9,11,11,R.14.01
8,9,9,9,11,12,14,4,11,7,R.16.19.03
8,8,10,9,12,14,15,10,12,11,R.16.19.03
10,9,11,15,11,10,6,5,13,11,R.16.19.03
8,10,8,11,8,14,13,6,11,7,R.16.19.03
9,9,10,10,9,10,11,8,10,13,R.14.07.04
11,7,10,10,12,14,8,8,13,9,R.42.04.03
10,9,9,10,9,10,12,5,10,11,R.20.09.07
9,8,10,7,8,12,11,4,6,16,R.12.04.02
7,8,9,10,9,11,10,7,12,9,R.10.01.09.05
9,8,9,12,8,11,10,13,10,11,R.10.01.09.05
13,7,9,11,8,10,12,3,8,9,R.10.01.09.05
10,9,11,13,8,12,12,2,12,11,R.01.01.06.05
8,5,12,8,3,16,12,5,14,11,R.10.03.01.03
