@relation 'spo0.names'
@attribute t0_green                                numeric
@attribute t0_green_bkg                            numeric
@attribute t0_red                                  numeric
@attribute t0_red_bkg                              numeric
@attribute t0_flag                                 numeric
@attribute t0point5_green                          numeric
@attribute t0point5_green_bkg                      numeric
@attribute t0point5_red                            numeric
@attribute t0point5_red_bkg                        numeric
@attribute t0point5_flag                           numeric
@attribute t2_green                                numeric
@attribute t2_green_bkg                            numeric
@attribute t2_red                                  numeric
@attribute t2_red_bkg                              numeric
@attribute t2_flag                                 numeric
@attribute t5_green                                numeric
@attribute t5_green_bkg                            numeric
@attribute t5_red                                  numeric
@attribute t5_red_bkg                              numeric
@attribute t5_flag                                 numeric
@attribute t7_green                                numeric
@attribute t7_green_bkg                            numeric
@attribute t7_red                                  numeric
@attribute t7_red_bkg                              numeric
@attribute t7_flag                                 numeric
@attribute t9_green                                numeric
@attribute t9_green_bkg                            numeric
@attribute t9_red                                  numeric
@attribute t9_red_bkg                              numeric
@attribute t9_flag                                 numeric
@attribute t11point5_green                         numeric
@attribute t11point5_green_bkg                     numeric
@attribute t11point5_red                           numeric
@attribute t11point5_red_bkg                       numeric
@attribute t11point5_flag                          numeric
@attribute gal_ndt80_green                         numeric
@attribute gal_ndt80_green_bkg                     numeric
@attribute gal_ndt80_red                           numeric
@attribute gal_ndt80_red_bkg                       numeric
@attribute gal_ndt80_flag                          numeric
@attribute ndt80_delete_early_green                numeric
@attribute ndt80_delete_early_green_bkg            numeric
@attribute ndt80_delete_early_red                  numeric
@attribute ndt80_delete_early_red_bkg              numeric
@attribute ndt80_delete_early_flag                 numeric
@attribute ndt80_delete_mid_green                  numeric
@attribute ndt80_delete_mid_green_green_bkg        numeric
@attribute ndt80_delete_mid_green_red              numeric
@attribute ndt80_delete_mid_green_red_bkg          numeric
@attribute ndt80_delete_mid_green_flag             numeric
@attribute t0_correlation                          numeric
@attribute t0point5_correlation                    numeric
@attribute t2_correlation                          numeric
@attribute t5_correlation                          numeric
@attribute t7_correlation                          numeric
@attribute t9_correlation                          numeric
@attribute t11point5_correlation                   numeric
@attribute ndt80_delete_early_correlation          numeric
@attribute ndt80_delete_mid_correlation            numeric
@attribute t0_regression                           numeric
@attribute t0point5_regression                     numeric
@attribute t2_regression                           numeric
@attribute t5_regression                           numeric
@attribute t7_regression                           numeric
@attribute t9_regression                           numeric
@attribute t11point5_regression                    numeric
@attribute ndt80_delete_early_regression           numeric
@attribute ndt80_delete_mid_regression             numeric
@attribute t0_g.r_ratio                            numeric
@attribute t0point5_g.r_ratio                      numeric
@attribute t2_g.r_ratio                            numeric
@attribute t5_g.r_ratio                            numeric
@attribute t7_g.r_ratio                            numeric
@attribute t9_g.r_ratio                            numeric
@attribute t11point5_g.r_ratio                     numeric
@attribute ndt80_delete_early_g.r_ratio            numeric
@attribute ndt80_delete_mid_g.r_ratio              numeric
@attribute failed_pcr                              {0,1,2,3,4,5}
@attribute blast_homology_within_genome            {0,1}
@attribute overlaps_another_orf                    {0,1}
@attribute class {42.01,01.05,11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,14.07.02,10.01.05.01,20.09.13,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,01.01.09,20.01,20.09,11.04,18.02,02,01}

@data
3498,1541,2859,956,0,4661,1467,4602,598,0,3009,1408,2794,790,0,4796,1973,4142,1298,0,5096,1636,5234,1004,0,3400,1795,3442,1615,0,2427,1426,2059,1080,0,5012,1234,7447,3145,0,2473,613,2816,450,0,4187,894,4750,460,0,0.951,0.946,0.958,0.955,0.932,0.95,0.888,0.959,0.962,0.997,0.743,0.761,0.91,0.758,0.853,0.901,0.756,0.728,1.02,0.79,0.79,0.99,0.81,0.87,1.02,0.87,0.78,1,1,0,20.09.07
1411,1086,756,552,0,1674,1251,788,533,0,1482,1162,752,554,0,1700,1302,1080,668,0,1928,1494,3062,1031,0,1903,1462,1832,1198,0,1334,1075,1016,627,0,1907,1587,4017,3560,0,828,647,684,455,0,1166,1008,879,579,0,0.254,0.665,0.658,0.766,0.609,0.525,0.677,0.697,0.18,0.393,1.137,1.035,0.801,0.12,0.43,0.421,0.499,0.062,1.59,1.65,1.61,0.96,0.21,0.69,0.66,0.7,0.79,2,1,0,34.11.03.07
2998,1074,2696,634,0,4104,1259,3466,630,0,2577,1371,2499,704,0,3504,1592,4538,908,0,3275,1423,6151,1108,0,2498,1186,4714,948,0,4280,1142,9811,893,0,2506,1177,4237,3336,0,1571,529,3301,411,0,1823,889,2330,420,0,0.957,0.934,0.904,0.856,0.938,0.956,0.949,0.952,0.956,0.88,0.994,0.592,0.475,0.326,0.33,0.335,0.334,0.295,0.93,1,0.67,0.52,0.36,0.34,0.35,1.47,0.36,1,1,0,11.02.03.04
1192,1033,716,516,0,1268,1038,488,339,0,1628,1314,1012,792,0,1626,1406,947,807,0,1487,1180,1060,803,0,1676,1107,1089,750,0,1079,943,674,564,0,5635,1345,8275,3649,0,646,537,523,410,0,1076,927,661,517,0,0.103,0.607,0.6,0.094,0.541,0.662,0.309,0.061,0.294,0.076,1.137,0.862,0.15,0.627,2.321,0.364,0.069,0.363,0.79,1.54,1.42,1.57,1.19,1.67,1.23,0.92,0.96,1,1,0,20.01
1817,1154,1296,601,0,1582,1071,986,426,1,2686,1351,1718,760,1,2181,1616,1578,999,0,2056,766,3853,554,0,2420,1166,4068,935,0,3108,1240,9421,838,0,2853,1448,6345,3794,0,1596,636,5636,453,0,1633,902,2720,532,0,0.891,0.85,-0.003,0.645,0.838,0.317,0.946,0.949,0.84,0.845,0.895,-0.01,0.612,0.266,0.162,0.196,0.17,0.254,0.95,0.91,1.39,0.97,0.39,0.4,0.21,0.55,0.18,1,1,0,14.07.02
4430,1332,4336,813,0,8287,1371,2174,509,0,6087,1359,2901,714,0,5795,1908,2234,833,0,14552,2308,5044,1337,0,3780,1665,2409,1384,0,4381,1094,3179,692,0,7286,1769,6112,3630,0,3617,638,1062,431,0,2602,956,868,502,0,0.931,0.954,0.932,0.922,0.945,0.922,0.968,0.809,0.956,0.843,4.284,2.084,2.578,3.055,2.213,1.26,3.772,2.776,0.87,4.15,2.16,2.77,3.3,2.06,1.32,2.22,4.72,2,1,0,12.01.01
2358,1234,1624,601,0,2400,1137,2704,473,0,1698,1186,3695,632,0,2598,1711,5087,1071,0,3213,1989,5805,1847,0,2144,1603,2235,1412,0,1507,1102,1201,718,0,6144,1332,6721,3232,0,1537,632,8855,488,0,1981,1006,3619,487,0,0.892,0.942,0.928,0.756,0.902,0.764,0.841,0.957,0.97,0.929,0.486,0.132,0.153,0.274,0.452,0.776,0.102,0.29,1.09,0.56,0.16,0.22,0.3,0.65,0.83,1.37,0.1,2,1,1,10.01.05.01
1717,1092,1227,608,0,2503,1603,1530,932,0,1997,1274,1252,648,0,2439,1533,1757,976,0,2324,1397,1907,1002,0,1785,1202,1519,984,0,2124,1037,1885,689,0,1902,1179,3962,3307,0,907,481,893,349,0,1505,933,1065,405,0,0.834,0.848,0.844,0.745,0.872,0.884,0.888,0.941,0.888,0.726,1.356,1.035,0.843,0.886,1.061,0.761,0.786,0.733,1,1.5,1.19,1.16,1.02,1.08,0.9,1.1,0.78,1,1,0,14.04
2381,1232,1814,686,0,3179,1281,2217,526,0,2334,1110,1656,619,0,2587,1405,1383,737,0,5304,1797,2941,1234,0,1931,1537,1512,1123,0,1934,1089,1027,667,0,8238,1705,6958,3636,0,2437,678,2471,461,0,1584,883,1103,455,0,0.902,0.969,0.942,0.92,0.916,-0.054,0.919,0.923,0.933,0.964,1.088,1.097,1.607,1.754,-0.051,2.361,0.811,0.987,1.01,1.12,1.18,1.82,2.05,1.01,2.34,1.96,0.87,1,1,0,14.07.02
6551,1544,6146,919,0,5068,1447,4141,620,0,4688,1111,4037,549,0,6878,2057,6053,1217,0,8749,2201,7267,1617,0,5586,1771,5010,1576,0,3646,1318,3017,961,0,5977,1411,6746,3502,0,3146,662,4820,530,0,4476,933,7456,444,0,0.951,0.972,0.948,0.912,0.964,0.968,0.95,0.962,0.981,0.91,1.017,0.984,0.913,1.084,1.1,1.044,0.548,0.481,0.95,1.02,1.02,0.99,1.15,1.11,1.13,1.4,0.57,2,1,0,10.03.01
1125,925,611,433,0,1297,1024,625,421,0,1324,1185,744,615,0,1776,1527,1099,880,0,1539,1324,1151,940,0,1187,1026,931,785,0,1048,907,682,558,0,1783,1346,4018,3531,0,667,581,554,450,0,944,831,542,444,0,0.209,0.722,0.203,0.361,0.518,0.114,0.173,0.121,0.083,0.26,0.676,0.202,0.368,0.501,0.124,0.193,0.086,0.109,1.12,1.33,1.07,1.13,1.01,1.1,1.13,0.89,0.82,1,1,0,10
4807,1254,5240,766,0,6768,1670,4079,873,0,4546,1612,2637,900,0,8018,1647,3089,888,0,7063,1429,2906,922,0,6574,1506,3070,1238,0,9959,1311,5327,891,0,2445,1047,4652,3311,0,857,422,553,296,0,1831,891,623,385,0,0.954,0.948,0.873,0.856,0.916,0.965,0.944,0.888,0.78,0.74,1.549,1.517,2.643,2.69,2.853,1.833,1.472,3.306,0.79,1.59,1.68,2.89,2.83,2.76,1.94,1.04,1.69,1,1,0,01.05
1185,1017,661,496,0,1178,1002,519,394,0,1388,1212,748,618,0,1742,1553,1043,867,0,1516,1260,1081,887,0,1253,1089,979,793,0,1061,899,702,583,0,4719,1278,5360,3572,0,656,567,545,449,0,976,855,555,455,0,0.137,0.236,0.435,-0.108,0.229,-0.059,0.079,0.061,0.361,0.131,0.251,0.6,-0.117,0.329,-0.055,0.092,0.061,0.473,1.01,1.4,1.35,1.07,1.31,0.88,1.36,1.92,0.92,2,1,0,12.01.01
2984,1616,2305,996,0,3760,1370,2085,566,0,2334,1353,1548,771,0,3944,2181,3104,1288,0,4023,1700,3501,1089,0,2956,1815,2871,1629,0,2057,1430,1571,1106,0,6026,1081,8436,3281,0,2378,631,1594,460,0,3994,1000,2679,464,0,0.889,0.963,0.936,0.908,0.948,0.925,0.826,0.941,0.977,0.898,1.565,1.197,0.857,0.934,0.836,1.191,1.472,1.304,1.04,1.57,1.26,0.97,0.96,0.91,1.34,0.95,1.54,1,1,0,01.07.01
2011,1577,1355,870,0,2068,1626,1025,692,0,2045,1667,1311,999,1,2410,1631,2243,935,1,2736,2011,4063,1292,1,2160,1852,2705,1480,1,1725,1460,2169,1094,1,1987,1415,13409,3449,0,743,594,610,444,0,1190,971,667,446,0,0.738,0.647,0.75,0.246,0.33,0.488,0.276,0.816,0.662,0.668,0.834,0.857,0.063,0.045,0.038,0.025,0.532,0.432,0.89,1.32,1.21,0.59,0.26,0.25,0.24,0.05,0.89,1,1,0,43.01.03.09
1129,930,700,550,0,1223,980,636,454,0,1388,1190,827,678,0,1892,1507,1183,902,0,1459,1229,960,807,0,1244,1093,980,828,0,1139,977,816,670,0,9379,1638,7771,3869,0,660,563,522,433,0,992,841,664,526,0,0.091,0.494,0.283,0.505,0.265,0.079,0.86,0.026,0.409,0.107,0.587,0.385,0.5,0.406,0.078,0.98,0.025,0.44,1.32,1.33,1.32,1.37,1.5,0.99,1.1,1.98,1.08,2,1,1,12.01.01
1104,906,628,495,0,1075,900,445,325,0,1356,1176,812,650,0,1729,1486,1089,912,0,1462,1228,1020,843,0,1240,1046,957,776,0,1020,891,705,594,0,1696,1296,4246,3510,0,609,530,506,399,0,1018,887,614,492,0,-0.21,0.217,0.149,0.107,0.14,0.093,0.352,0.148,0.286,-0.246,0.265,0.171,0.179,0.199,0.15,0.36,0.123,0.37,1.48,1.45,1.11,1.37,1.32,1.07,1.16,0.54,0.73,3,1,0,01.01
3507,1137,2778,636,0,4611,1131,4386,482,0,2539,1262,2646,663,0,3219,1797,2492,1114,0,4552,1612,4212,1134,0,3070,1183,3868,939,0,4326,1068,10234,863,0,2156,1320,4193,3548,0,7405,633,8389,447,0,6055,905,4564,499,0,0.923,0.919,0.928,0.925,0.858,0.943,0.95,0.983,0.946,0.975,0.821,0.583,0.951,0.824,0.619,0.335,0.829,1.221,1.1,0.89,0.64,1.03,0.95,0.64,0.34,1.29,0.85,1,1,0,20.01.03
2234,1187,1479,646,0,3557,1231,2133,472,0,2246,1204,1385,626,0,2337,1378,1411,663,0,4483,1900,3222,1220,0,1944,1395,1416,1035,0,2211,1145,1442,709,0,6804,2072,6407,3803,0,2960,718,1983,498,0,1995,904,1257,451,0,0.75,0.815,0.848,0.884,0.91,0.755,0.814,0.95,0.934,0.821,1.174,1.34,1.131,1.129,1.159,1.646,1.366,1.289,1.25,1.4,1.37,1.28,1.29,1.44,1.45,1.81,1.5,2,1,0,12.01.01
2652,1330,1755,645,0,3283,1333,2424,552,0,1818,1053,1393,514,0,3117,1541,3050,841,0,3086,1548,3070,994,0,2136,1480,2127,1102,0,1519,1025,1311,723,0,3203,1286,4423,3180,0,2544,598,3433,425,0,2976,970,4349,464,0,0.831,0.951,0.958,0.906,0.931,0.901,0.816,0.937,0.953,1.225,0.966,0.786,0.614,0.697,0.562,0.645,0.606,0.489,1.19,1.04,0.87,0.71,0.74,0.64,0.84,1.54,0.64,1,1,0,01.04
3045,1542,2131,880,0,3607,1456,3574,722,0,2372,1160,1320,638,0,2991,1662,1707,932,0,4381,2179,3208,1502,0,2181,1497,1922,1063,0,2126,1186,1824,783,0,6685,1617,5217,3436,0,3047,714,2333,519,0,2874,1292,2081,783,0,0.803,0.85,0.869,0.924,0.931,0.856,0.934,0.948,0.918,0.97,0.642,1.51,1.59,1.193,0.769,0.864,1.205,1.081,1.2,0.75,1.77,1.71,1.29,0.79,0.9,2.84,1.28,1,1,0,01.05.02.07
6042,1080,6494,631,0,7945,1236,10935,630,0,4702,1406,6501,809,0,5220,1563,5251,914,0,8235,1652,12237,1346,0,5380,1195,8230,1006,0,11239,1824,18039,2484,0,11932,1338,15970,4075,0,10083,694,12308,506,0,8593,1112,7251,591,0,0.952,0.874,0.921,0.913,0.832,0.94,0.937,0.946,0.936,0.799,0.599,0.541,0.774,0.516,0.544,0.559,0.782,1.055,0.84,0.65,0.57,0.84,0.6,0.57,0.6,0.89,0.79,1,1,1,01.05
1942,1382,1250,752,0,2414,1337,1540,494,0,1511,1123,978,574,0,1950,1506,1097,788,0,2698,1726,2122,1124,0,1607,1332,1171,928,0,1377,1148,923,733,0,4599,1752,5287,3604,0,1869,722,2364,524,0,1520,981,1246,489,0,0.706,0.861,0.79,0.572,0.907,0.532,0.662,0.947,0.922,0.738,0.857,0.705,0.701,0.834,0.631,0.842,0.6,0.605,1.12,1.02,0.96,1.43,0.97,1.13,1.2,1.69,0.62,1,1,0,10.03.01.01
2089,1424,1363,726,0,2775,1391,2184,600,0,1771,1168,1442,657,0,2246,1544,1597,874,0,2915,1916,2554,1324,0,1850,1500,1393,1051,0,1580,1100,1012,728,0,9469,2380,6859,4288,0,1400,732,2305,580,0,1324,1019,1075,478,0,0.745,0.865,0.796,0.882,0.812,0.575,0.784,0.897,0.825,0.795,0.703,0.62,0.835,0.657,0.608,1.122,0.378,0.412,1.04,0.87,0.76,0.97,0.81,1.02,1.69,2.75,0.38,1,1,1,01.04
4270,1293,3996,788,0,4495,1870,3825,1040,0,3772,1554,3288,893,0,5054,1786,2931,1008,0,5226,1710,3069,1283,0,6014,1492,3776,1180,0,8538,1553,6052,1197,0,3350,1317,5492,3476,0,1081,423,805,314,0,2972,855,1317,401,0,0.945,0.9,0.871,0.899,0.858,0.922,0.926,0.928,0.956,0.871,0.821,0.804,1.504,1.779,1.591,1.36,1.326,2.24,0.92,0.94,0.92,1.69,1.96,1.74,1.43,1,1.34,2,1,0,12.01.01
2650,1522,1743,881,0,3020,1482,3502,638,0,1877,1112,1401,607,0,2514,1589,1944,848,0,3707,1912,3504,1236,0,2052,1625,1663,1202,0,1668,1184,1283,760,0,6380,2420,7195,4142,0,2409,696,3108,498,0,2113,966,2687,480,0,0.761,0.909,0.889,0.928,0.897,0.658,0.855,0.943,0.942,0.914,0.443,0.793,0.754,0.697,0.641,0.877,0.622,0.48,1.3,0.53,0.96,0.84,0.79,0.92,0.92,1.29,0.65,1,1,0,14.04
5521,1790,4816,1192,0,5601,1410,10452,740,0,4376,1277,11879,901,0,4041,1636,9383,1665,0,9561,3413,26344,6884,0,6215,2346,9257,2199,0,5070,1312,10644,1252,0,7243,1776,5673,3718,0,4758,1144,9110,1187,0,5939,1022,793,506,0,0.935,0.953,0.939,0.955,0.906,0.968,0.936,0.945,0.847,0.933,0.404,0.267,0.293,0.28,0.533,0.382,0.407,14.933,1.02,0.43,0.28,0.31,0.31,0.54,0.4,2.79,0.45,1,1,0,01.05
2270,1116,1687,567,0,3102,1196,2452,438,0,2143,1305,2317,776,0,2680,1671,2979,992,0,2825,1466,4146,1071,0,2057,1248,3184,992,0,3394,1217,6588,981,0,2005,1201,4314,3337,0,1064,503,1372,387,0,1430,939,1573,424,0,0.898,0.955,0.932,0.896,0.91,0.881,0.941,0.897,0.942,0.968,0.92,0.467,0.46,0.402,0.333,0.39,0.489,0.396,1.03,0.94,0.54,0.5,0.44,0.36,0.38,0.82,0.56,2,1,0,10.01.05.01
3511,1128,3338,650,0,2946,1118,2549,437,0,2648,1306,2253,734,0,3076,1815,2138,1221,0,5497,1703,4037,1212,0,3069,1179,2226,913,0,7031,1085,4150,732,0,2480,1409,4390,3653,0,3653,632,3797,469,0,2568,904,3499,509,0,0.876,0.953,0.945,0.939,0.925,0.95,0.923,0.916,0.967,0.741,0.827,0.82,1.283,1.254,1.417,1.695,0.835,0.524,0.88,0.86,0.88,1.37,1.34,1.43,1.73,1.45,0.9,1,1,0,01.04
4979,1108,5320,610,0,5612,1099,4070,420,0,3617,1286,3297,692,0,4801,1540,4654,960,0,4927,1339,4780,889,0,4296,1196,4551,841,0,6524,974,7138,633,0,4077,1191,8658,3328,0,4014,485,4091,401,0,4532,969,5627,435,0,0.943,0.953,0.961,0.922,0.935,0.919,0.969,0.912,0.972,0.785,1.198,0.872,0.804,0.859,0.78,0.839,0.878,0.667,0.82,1.23,0.89,0.88,0.92,0.83,0.85,0.54,0.95,1,1,0,11.02.03.04
