@relation cellcycle0_TEST-D
 @attribute alpha28 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute alpha35 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute alpha63 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute alpha84 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_140 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_170 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_220 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc28_10 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc28_150 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute elu210 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@attribute class {R.11.02.03.01,R.12.04.02,R.01.04,R.43.01.03.09,R.32.01,R.20.01.17,R.12.04.01,R.14.10,R.20.09.07.03,R.16.03.03,R.10.03.01.01.11,R.42.01,R.01.05,R.20.03,R.01.03.01.03,R.10.01.09.05,R.11.02.03.04,R.12.10,R.01.05.25,R.16.19.03,R.11.04.03.01,R.34.11.03.07,R.42.04.05,R.10.01.03.05,R.14.04,R.16.01,R.43.01.03.05,R.42.16,R.12.01.01,R.01.07.01,R.20.09.07,R.32.07,R.01.03.07,R.01.05.02.07,R.01.06,R.20.09.04,R.20.01.13,R.01.06.02.01,R.20.01.27,R.11.06.02,R.14.07.02,R.10.01.05.01,R.20.09.13,R.14.07.02.02,R.01.01.06.06.01.03,R.12.07,R.14.13,R.10.03.01,R.10,R.16.03.01,R.42.04,R.34.01.01.01,R.01.01,R.02.01,R.11,R.20.01.01.01,R.01.05.13.01,R.20.01.03,R.01.20.15,R.11.04.01,R.01.03.01,R.14.07.11,R.20.09.18,R.42.27.03,R.10.03.01.01.09,R.20.01.07,R.42.04.03,R.20.01.15,R.01.01.06.04.02,R.14.07.04,R.20.09.16,R.14.01,R.11.02.03.04.03,R.01.06.06.11,R.14.13.01.01,R.14.07.09,R.10.03.02,R.01.07,R.20.01.10,R.01.02,R.99,R.01.01.06.05,R.32.01.01,R.10.01.05.03,R.10.03.04.03,R.01.01.09.06.01,R.14.13.01,R.01.03.04.03,R.02.13.03,R.01.20.19,R.01.05.09.04,R.11.04.03.05,R.14.07.03,R.10.01.03,R.42.25,R.32,R.14.07.05,R.42.10.03,R.02.19,R.10.01.05.03.01,R.01.03.04,R.20.09.01,R.02.13,R.11.02.03.01.04,R.02.16.01,R.11.04.02,R.12.04.03,R.18.02.01,R.16.19,R.01.06.05,R.12,R.10.03.01.03,R.16.21.07,R.02.10,R.01.01.11.03.01,R.34.01.01.03,R.20.09.07.27,R.12.01,R.42.08,R.10.03.04.05,R.20.03.01.01,R.11.02.03.04.01,R.20.01.23,R.01.01.03.02.01,R.32.01.09,R.34.11.03.13,R.01.04.04,R.14.07,R.14.07.11.01,R.32.01.03,R.01.06.02.02,R.40.01,R.01.01.09.04.01,R.42.19,R.11.04.03,R.01.01.09.07.01,R.01.03.10,R.02.16,R.01.06.06,R.01.02.07,R.01.01.09.05,R.32.07.03,R.20.01.01.01.01,R.34.07.01,R.20.01.21,R.34.01.01,R.01.01.11.04.01,R.20.01.03.01,R.30.01,R.14,R.01.01.13,R.01.01.06.05.01,R.11.02.03.01.01,R.02.04,R.01.01.06.02.01,R.12.04,R.20.01.25,R.38,R.01.01.03.05.01,R.40.10.02.02.01,R.14.07.01,R.01.02.02.09,R.20.09.07.25,R.20.01.01.07.07,R.01.03.16.01,R.40.20,R.10.03.03,R.01.06.10,R.01.03.01.01,R.02.45,R.14.13.04,R.20.01.01.07,R.01.01.06.05.01.01,R.20.09.18.09.01,R.10.01.05,R.01.01.09.02,R.30.01.05.05.01,R.11.04.03.03,R.02.01.03,R.01.01.09.03.01,R.18.02.09,R.42.10,R.20.09.07.05,R.20.01.03.03,R.16.21.17,R.01.03.04.01,R.01.05.06.07,R.11.02.01,R.18.02.01.01.01,R.01.01.03.03.01}
@data
9,14,7,3,8,8,12,10,14,10,R.11.02.03.04
11,15,8,3,4,9,6,9,11,11,R.11.02.03.04
10,12,7,7,5,9,7,10,13,10,R.11.02.03.04
12,14,8,5,5,8,10,10,8,10,R.11.02.03.04
8,12,8,4,6,9,7,11,10,7,R.11.02.03.04
11,19,4,6,7,8,9,5,18,18,R.11.02.03.04
7,11,6,7,7,11,12,11,11,10,R.11.02.03.04
14,14,7,7,12,16,4,13,7,11,R.11.02.03.04
12,14,6,4,6,6,11,11,12,10,R.11.02.03.04
9,16,9,5,5,10,10,6,12,11,R.11.02.03.04
8,13,5,6,11,6,15,9,16,14,R.12.01.01
11,14,7,5,8,8,6,9,13,12,R.12.01.01
9,9,10,5,8,12,7,10,16,16,R.12.01.01
10,12,5,6,6,12,6,13,14,10,R.12.01.01
11,8,6,5,8,8,10,9,14,14,R.12.01.01
10,12,7,6,6,13,6,9,12,14,R.12.01.01
11,11,8,6,9,9,9,10,14,13,R.12.01.01
9,12,10,6,14,11,8,11,18,15,R.12.01.01
11,12,8,4,7,13,6,10,16,11,R.12.01.01
8,12,9,6,7,11,2,12,13,11,R.12.01.01
7,14,12,3,10,10,12,11,12,11,R.12.01.01
9,12,8,6,9,12,3,10,17,12,R.12.01.01
11,12,9,6,6,13,7,12,13,16,R.12.01.01
9,12,6,7,8,9,12,11,19,11,R.12.01.01
8,12,10,7,7,10,9,11,15,14,R.12.01.01
7,10,6,7,8,10,8,9,14,14,R.12.01.01
9,11,7,3,9,8,13,10,16,13,R.12.01.01
10,11,8,4,7,7,9,14,12,13,R.12.01.01
9,13,7,5,7,9,8,9,15,13,R.12.01.01
9,13,7,6,8,12,7,6,12,11,R.12.01.01
9,14,9,5,10,8,10,10,15,13,R.12.01.01
19,17,4,1,8,9,13,12,14,12,R.01.05
13,11,6,5,8,13,8,10,9,11,R.01.05
6,14,7,0,5,10,9,9,11,7,R.01.05
11,11,7,5,12,12,9,11,15,12,R.01.05
11,16,7,2,9,10,11,0,16,16,R.01.05
10,14,7,5,9,7,11,13,10,12,R.01.05
11,12,6,7,8,10,14,9,12,9,R.01.05
9,13,9,4,7,9,15,9,10,12,R.01.05
11,13,6,5,8,10,10,12,12,16,R.01.05
11,12,8,5,4,11,9,10,15,12,R.01.05
8,15,8,4,11,15,12,13,11,14,R.01.05
11,13,7,5,10,11,13,9,18,11,R.01.05
15,16,2,8,7,17,5,7,11,19,R.01.05
11,11,7,6,7,8,9,12,10,12,R.01.05
11,13,7,5,6,10,10,10,11,11,R.01.05
10,13,6,5,9,6,13,11,12,10,R.01.05
9,13,9,6,4,7,5,9,14,10,R.34.01.01.01
10,12,9,6,9,9,11,8,13,13,R.34.01.01.01
11,12,6,5,8,9,7,10,16,10,R.34.01.01.01
8,14,10,5,6,7,11,8,13,14,R.34.01.01.01
8,14,8,5,8,9,10,9,11,12,R.01.05.02.07
12,12,5,5,9,8,16,8,13,10,R.01.05.02.07
10,15,9,4,8,10,10,13,9,6,R.01.05.02.07
10,13,8,4,8,9,7,5,8,13,R.01.05.02.07
10,13,8,5,8,8,10,11,13,10,R.43.01.03.09
10,13,7,6,8,10,9,10,13,10,R.43.01.03.09
9,14,11,5,12,5,13,13,12,9,R.43.01.03.09
8,13,5,4,10,11,13,15,12,10,R.43.01.03.09
14,14,4,5,9,10,0,10,10,10,R.43.01.03.09
12,10,7,7,12,10,13,9,13,10,R.01.05.25
10,10,8,8,10,15,8,8,11,9,R.01.05.25
12,15,5,5,5,9,5,15,14,9,R.20.09.01
13,15,7,6,8,14,10,12,13,10,R.40.01
11,12,9,5,5,8,9,12,13,11,R.30.01
7,13,9,6,8,8,11,12,16,13,R.16.03.01
9,13,7,5,6,13,5,9,14,14,R.16.03.01
11,11,5,5,9,10,9,11,12,8,R.16.03.01
8,15,9,6,6,7,8,12,8,7,R.16.03.01
11,12,9,7,5,10,6,11,15,11,R.16.03.01
15,13,2,9,11,12,7,11,12,14,R.16.03.01
11,11,8,6,7,11,8,12,13,14,R.16.03.01
10,13,7,5,8,14,12,12,8,10,R.16.03.01
6,14,8,4,9,8,11,10,12,10,R.01.07.01
8,13,11,5,7,9,10,8,13,13,R.01.07.01
12,14,7,6,7,11,8,12,12,10,R.01.07.01
12,12,6,4,7,12,7,8,9,13,R.01.07.01
10,11,10,6,7,8,8,14,15,11,R.01.07.01
9,17,6,5,7,9,8,13,12,10,R.01.07.01
7,12,12,6,6,15,10,10,8,10,R.12.07
12,12,7,8,6,10,9,11,7,9,R.12.07
6,8,11,7,7,5,13,11,11,8,R.32.07
9,12,8,3,10,8,12,10,17,11,R.32.07
11,12,7,6,5,7,6,12,8,10,R.32.07
11,12,7,4,7,4,12,9,11,13,R.32.07
10,11,8,7,5,10,9,12,12,11,R.14.04
9,13,7,5,6,10,11,9,12,10,R.14.04
10,11,8,6,5,10,12,10,12,11,R.14.04
10,13,6,5,6,11,5,9,13,15,R.14.04
10,12,8,4,7,12,9,6,17,10,R.14.04
11,17,5,4,8,11,11,12,7,12,R.14.04
8,15,8,7,6,12,6,12,13,8,R.14.04
13,15,5,7,7,10,9,11,14,11,R.14.04
10,12,6,4,5,9,7,9,12,9,R.14.04
10,13,6,5,8,9,11,11,12,9,R.14.04
8,14,9,6,6,12,8,8,16,11,R.14.04
9,12,11,5,7,11,7,10,14,13,R.14.04
14,16,7,2,5,9,10,9,12,9,R.14.04
11,15,8,7,10,13,12,8,11,12,R.14.04
11,10,8,6,7,8,9,11,12,11,R.14.04
10,14,9,7,10,4,12,12,12,10,R.14.04
10,14,10,5,10,16,12,9,14,11,R.14.04
11,11,8,6,5,12,6,10,13,12,R.32.01
10,10,9,5,7,10,11,10,5,13,R.32.01
10,12,7,7,9,7,14,9,9,11,R.32.01
13,13,5,6,8,8,10,13,12,11,R.32.01
10,13,6,6,9,9,7,9,14,6,R.32.01
10,11,8,4,8,12,8,8,14,11,R.32.01
9,14,11,6,8,11,8,9,12,12,R.43.01.03.05
11,12,9,6,8,10,9,10,14,14,R.43.01.03.05
5,14,9,12,15,12,8,10,7,8,R.43.01.03.05
8,13,9,3,4,11,8,10,15,12,R.43.01.03.05
9,10,8,5,5,10,9,9,13,13,R.43.01.03.05
8,11,11,5,7,8,3,9,10,9,R.43.01.03.05
9,13,7,6,7,8,12,11,12,11,R.43.01.03.05
15,16,3,6,8,9,5,8,13,15,R.43.01.03.05
13,12,7,6,7,12,7,10,6,10,R.43.01.03.05
11,10,6,4,9,6,8,6,13,8,R.43.01.03.05
9,14,7,4,10,10,13,10,14,8,R.43.01.03.05
11,12,8,7,7,10,9,14,12,10,R.43.01.03.05
16,14,0,13,17,19,4,14,11,16,R.43.01.03.05
12,12,4,3,7,9,8,7,11,11,R.43.01.03.05
11,13,6,4,8,12,12,11,10,11,R.20.01.01.01
17,14,2,7,10,9,11,12,12,14,R.42.01
11,9,6,8,9,3,17,17,8,6,R.42.01
3,0,15,12,15,5,12,11,13,6,R.42.01
9,10,9,6,8,7,13,17,7,8,R.42.01
12,13,6,7,4,6,7,12,8,13,R.42.01
9,8,8,3,10,9,9,8,12,11,R.42.01
7,13,10,7,7,12,11,6,11,12,R.42.01
10,15,8,5,6,6,12,8,15,12,R.42.01
10,10,8,4,12,4,16,10,16,11,R.42.01
12,17,9,5,7,11,8,10,13,14,R.42.01
11,13,6,5,6,8,13,10,12,11,R.12.04.01
7,14,11,6,7,13,4,11,12,12,R.12.04.01
6,17,10,7,8,9,10,10,10,8,R.01.06.05
11,15,9,2,2,13,9,12,15,17,R.02.13
13,11,6,6,6,10,6,11,12,12,R.10.03.01
1,3,14,4,8,0,14,11,19,10,R.10.03.01
9,14,12,7,7,12,7,9,10,13,R.10.03.01
10,12,7,6,12,13,9,18,10,11,R.10.03.01
10,9,5,4,4,13,9,8,11,13,R.10.03.01
9,11,8,4,8,14,11,8,10,11,R.10.03.01
0,0,19,19,19,7,9,9,17,0,R.10.03.01
10,12,8,3,6,8,8,8,12,11,R.10.03.01
10,11,7,7,6,11,5,11,17,10,R.10.03.01
7,13,9,6,2,11,6,10,9,15,R.10.03.01
11,15,7,5,4,11,5,11,18,12,R.16.01
9,12,6,4,6,10,9,8,13,8,R.16.01
11,12,8,4,8,7,13,11,11,11,R.16.01
10,13,8,5,10,12,10,10,12,11,R.16.01
11,14,8,6,7,12,8,8,13,9,R.16.01
9,11,8,6,5,11,6,8,12,11,R.16.01
9,13,8,5,5,13,4,9,12,12,R.16.01
8,15,9,5,6,13,10,6,14,11,R.16.01
10,12,7,5,6,11,7,9,14,10,R.16.01
10,14,5,3,7,11,12,12,14,11,R.16.01
12,11,8,4,7,10,7,13,11,10,R.16.01
13,12,8,4,1,12,3,10,13,10,R.16.01
8,13,8,5,7,11,10,10,13,9,R.16.01
10,10,7,4,7,12,5,9,11,11,R.16.01
10,13,8,5,7,11,8,13,0,11,R.16.01
12,11,7,6,1,11,4,10,11,13,R.16.01
10,11,10,5,5,10,9,8,14,12,R.16.01
12,13,6,7,8,8,10,10,16,13,R.16.01
10,12,7,4,8,12,11,6,11,12,R.16.01
9,12,10,5,1,8,11,9,10,14,R.16.01
9,12,7,5,13,9,9,6,12,10,R.16.01
12,15,7,7,7,9,8,11,13,11,R.16.01
9,9,7,3,9,13,12,9,13,11,R.16.01
9,13,7,6,5,9,11,14,11,8,R.16.01
12,13,6,4,5,9,9,10,9,12,R.16.01
8,14,11,6,0,14,8,9,13,13,R.16.01
10,13,9,5,6,9,9,8,11,10,R.16.01
10,13,7,6,4,10,9,10,14,11,R.16.01
10,9,8,7,6,11,10,9,15,10,R.32.01.01
11,11,7,5,11,10,11,12,3,11,R.11.04.02
9,13,10,5,8,8,9,10,15,13,R.20.09.07.03
12,12,5,5,10,12,10,7,11,11,R.20.09.07.03
10,13,7,6,6,7,11,11,16,12,R.20.09.07.03
12,12,5,7,12,12,9,11,7,14,R.10.03.02
9,13,6,6,10,8,9,7,16,12,R.10.03.02
14,13,6,6,9,11,11,9,8,11,R.20.01.13
10,15,6,3,14,10,10,8,13,10,R.10.03.04.05
7,10,4,4,5,13,11,12,13,9,R.01.07
12,14,8,5,6,9,9,10,12,11,R.11.04.03.01
11,9,7,4,8,8,10,12,9,7,R.11.04.03.01
10,12,5,6,7,9,14,10,10,8,R.11.04.03.01
10,12,7,6,10,6,12,10,14,10,R.99
5,8,11,5,8,6,13,9,7,16,R.99
13,14,6,6,8,11,10,8,15,10,R.20.03
8,13,7,4,6,8,11,8,11,10,R.20.03
11,10,5,4,8,10,12,11,10,11,R.20.03
14,13,6,6,3,13,7,9,13,17,R.14.07.02.02
11,14,8,5,5,7,11,12,13,8,R.14.13
10,12,8,5,6,9,3,13,14,10,R.12.01
11,13,6,6,7,5,13,12,12,8,R.01.06
14,17,4,9,10,13,4,9,9,15,R.01.06
11,12,8,5,7,7,14,8,13,12,R.01.06
5,14,9,5,9,6,11,10,12,9,R.01.06
10,12,7,7,4,10,12,10,13,11,R.01.06
13,13,7,4,5,10,5,9,14,9,R.14.10
7,16,9,5,10,9,15,8,16,11,R.14.10
8,11,9,4,7,10,9,10,8,11,R.14.10
11,16,6,6,5,10,11,8,10,12,R.14.10
10,11,4,7,9,10,7,9,17,12,R.14.10
12,11,8,5,4,7,7,13,10,12,R.14.10
9,15,7,7,6,11,12,12,6,11,R.14.10
11,15,6,6,6,9,7,9,14,13,R.20.09.04
14,13,6,7,5,12,6,7,11,11,R.20.09.04
9,12,9,6,7,12,14,12,13,13,R.20.09.04
10,14,9,5,7,9,11,10,10,14,R.20.09.04
12,14,5,6,6,11,11,8,12,12,R.02.13.03
10,15,5,6,7,15,7,11,18,13,R.34.11.03.07
11,14,9,6,9,9,10,14,9,7,R.34.11.03.07
7,16,10,4,9,9,10,10,10,10,R.34.11.03.07
9,11,3,6,14,14,8,10,8,13,R.34.11.03.07
11,13,6,5,8,12,12,10,12,10,R.14.07.11
10,14,4,4,6,12,6,10,13,10,R.14.07.11
13,15,5,6,7,12,12,6,15,14,R.16.03.03
11,12,7,6,5,11,5,12,11,11,R.16.03.03
10,12,9,4,7,10,8,10,13,8,R.16.03.03
10,13,6,4,8,10,11,10,12,12,R.16.03.03
10,13,7,6,11,11,11,11,11,11,R.16.03.03
11,14,6,8,7,13,10,9,10,11,R.16.03.03
9,13,8,5,8,10,9,9,18,9,R.01.02
11,11,7,8,10,9,14,13,9,11,R.01.02
11,13,5,7,9,7,10,8,15,13,R.01.02
12,14,8,3,7,9,12,11,8,9,R.14.07.05
10,12,8,6,7,13,8,13,11,14,R.14.07.05
11,12,7,4,8,8,14,10,15,16,R.20.09.18
12,13,8,3,11,16,8,13,11,13,R.20.09.18
13,12,8,6,8,8,12,7,13,7,R.20.09.18
12,9,9,8,9,5,12,6,13,13,R.20.09.18
10,14,10,5,4,11,14,12,18,10,R.20.09.18
10,9,8,9,9,6,12,5,10,8,R.20.09.18
9,9,10,5,7,11,12,11,15,12,R.01.03.01
10,11,6,5,6,11,3,9,13,15,R.12.10
8,13,8,5,7,10,9,9,13,10,R.12.10
9,11,10,6,7,11,9,9,10,10,R.12.10
11,11,8,6,6,11,10,11,14,9,R.14.13.01.01
11,11,7,5,5,10,6,8,17,11,R.14.13.01.01
10,12,11,4,5,13,7,9,13,13,R.14.13.01.01
8,16,8,3,6,10,7,10,10,9,R.14.13.01.01
11,11,9,6,6,9,10,10,12,11,R.18.02.01
15,12,4,3,8,12,12,9,15,8,R.02.19
10,14,3,5,11,8,13,8,18,8,R.20.01.15
9,14,6,6,7,9,9,5,12,9,R.20.01.15
9,12,8,6,7,8,13,12,12,12,R.16.21.07
11,16,7,2,3,3,7,10,15,8,R.20.01.10
9,12,7,5,6,8,10,9,13,10,R.20.01.10
10,10,9,5,6,10,12,12,9,10,R.11.06.02
10,14,9,5,7,8,11,10,5,12,R.42.10.03
11,11,6,5,8,9,12,9,12,14,R.20.09.16
13,17,6,4,8,6,13,14,2,13,R.01.06.06.11
10,12,7,6,9,8,7,8,14,8,R.01.06.06.11
9,15,9,6,7,10,9,11,15,8,R.14.01
8,12,8,5,5,10,1,9,13,11,R.14.01
12,13,6,5,8,11,12,9,16,7,R.16.19.03
10,12,8,5,11,8,14,9,15,11,R.16.19.03
10,13,8,6,6,10,8,12,11,11,R.16.19.03
10,10,9,3,9,8,12,11,11,7,R.16.19.03
11,12,7,6,5,9,9,9,12,13,R.14.07.04
11,17,8,3,6,13,4,10,13,9,R.42.04.03
11,11,7,4,9,8,12,10,12,11,R.20.09.07
8,12,9,5,8,8,8,11,19,16,R.12.04.02
11,12,7,6,7,9,9,11,10,9,R.10.01.09.05
4,12,12,6,8,1,13,15,8,11,R.10.01.09.05
10,12,8,3,11,7,10,8,11,9,R.10.01.09.05
12,11,4,6,7,7,10,9,18,11,R.01.01.06.05
11,18,7,5,9,18,12,10,9,11,R.10.03.01.03
